compn,pKa,correct name,reference,smiles,smarts,inchi,inchiKey
sm7-35_neut->an,9.87,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,CS(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(=O)=O,,"InChI=1S/C12H17NO3S2/c1-18(15,16)13-12(9-17(14)10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3/t12-,17?",IKCCGGPBCKYXJH-QGUQNAGSSA-N
sm7-36_neut->an,9.8,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,,"InChI=1S/C17H19NO3S2/c19-22-13-17(14-22,12-11-15-7-3-1-4-8-15)18-23(20,21)16-9-5-2-6-10-16/h1-10,18H,11-14H2/t17-,22?",IUZDEVPPTVLCPG-FYUAEQPTSA-N
sm7-37_neut->an,10.33,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(N(C)C)=O,,"InChI=1S/C13H20N2O3S2/c1-15(2)20(17,18)14-13(10-19(16)11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3/t13-,19?",KSLZYUFPIUDTGI-YNKSWIHASA-N
sm7-38_neut->an,9.44,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,CS(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(=O)=O,,"InChI=1S/C12H17NO4S2/c1-18(14,15)13-12(9-19(16,17)10-12)8-7-11-5-3-2-4-6-11/h2-6,13H,7-10H2,1H3",UGOFJYMDPOFIIG-UHFFFAOYSA-N
sm7-39_neut->an,10.22,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,,"InChI=1S/C17H19NO4S2/c19-23(20)13-17(14-23,12-11-15-7-3-1-4-8-15)18-24(21,22)16-9-5-2-6-10-16/h1-10,18H,11-14H2",WQAPJMXIYRTJAI-UHFFFAOYSA-N
sm7-40_neut->an,9.58,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(N(C)C)=O,,"InChI=1S/C13H20N2O4S2/c1-15(2)21(18,19)14-13(10-20(16,17)11-13)9-8-12-6-4-3-5-7-12/h3-7,14H,8-11H2,1-2H3",NDFRHTSAJSVBBW-UHFFFAOYSA-N
sm7-41_neut->an,5.22,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1=NOC(C2=CC=CC=C2)=C1)(C)=O,,"InChI=1S/C10H10N2O3S/c1-16(13,14)12-10-7-9(15-11-10)8-5-3-2-4-6-8/h2-7H,1H3,(H,11,12)",IZPIXDIDZLOIPG-UHFFFAOYSA-N
sm7-42_neut->an,6.62,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1=NOC(C2=CC=CC=C2)=C1)(C3=CC=CC=C3)=O,,"InChI=1S/C15H12N2O3S/c18-21(19,13-9-5-2-6-10-13)17-15-11-14(20-16-15)12-7-3-1-4-8-12/h1-11H,(H,16,17)",VVXJHLGAEFGYFM-UHFFFAOYSA-N
sm7-43_neut->an,5.62,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC1=NOC(C2=CC=CC=C2)=C1)(N(C)C)=O,,"InChI=1S/C11H13N3O3S/c1-14(2)18(15,16)13-11-8-10(17-12-11)9-6-4-3-5-7-9/h3-8H,1-2H3,(H,12,13)",NPCJBDMKFDYWEP-UHFFFAOYSA-N
sm7-44_neut->an,6.34,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC(N=N1)=CN1C2=CC=CC=C2)(C)=O,,"InChI=1S/C9H10N4O2S/c1-16(14,15)11-9-7-13(12-10-9)8-5-3-2-4-6-8/h2-7,11H,1H3",GELHRYLBISDEHI-UHFFFAOYSA-N
sm7-45_neut->an,5.93,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC(N=N1)=CN1C2=CC=CC=C2)(C3=CC=CC=C3)=O,,"InChI=1S/C14H12N4O2S/c19-21(20,13-9-5-2-6-10-13)16-14-11-18(17-15-14)12-7-3-1-4-8-12/h1-11,16H",VBQOGZVHGSKAGT-UHFFFAOYSA-N
sm7-46_neut->an,6.42,,https://github.com/samplchallenges/SAMPL7/blob/master/physical_property/SAMPL7_molecule_ID_and_SMILES.csv,O=S(NC(N=N1)=CN1C2=CC=CC=C2)(N(C)C)=O,,"InChI=1S/C10H13N5O2S/c1-14(2)18(16,17)12-10-8-15(13-11-10)9-6-4-3-5-7-9/h3-8,12H,1-2H3",GDFIIHOWLLSAAP-UHFFFAOYSA-N
