,compn,exp. pKa,pKa predicted by models:2-6,pKa predicted by models:3-3,pKa predicted by models:2-1,pKa predicted by models:3-9,pKa predicted by models:3-8,pKa predicted by models:3-5,pKa predicted by models:2-2,pKa predicted by models:2-3,pKa predicted by models:4-2,pKa predicted by models:2-9,pKa predicted by models:2-8,pKa predicted by models:2-5,pKa predicted by models:4-3,pKa predicted by models:2-4,pKa predicted by models:2-7,pKa predicted by models:2-0,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:3-0,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:4-7,pKa predicted by models:3-1,pKa predicted by models:4-6,pKa predicted by models:4-0,pKa predicted by models:4-1,consensus
10,sm11-11_neut->an,3.73,4.5411525,4.950185,5.4868426,5.105742,4.042846,5.755582,4.275357,4.574585,4.8552456,4.783484,4.1311727,5.817673,4.403305,4.097509,5.302806,4.4523354,4.238596,5.026849,4.721606,4.867951,5.0158825,4.376483,5.405233,5.7359023,3.8487258,4.6905975,4.74565,4.248764,5.229227,4.5997252,4.743774644174884
11,sm11-11_cation->neut,1.67,2.3942041,0.5335016,1.2215538,1.0275688,1.3172913,0.94508743,1.7194619,-0.021678448,1.089148,1.0053916,1.6065536,0.4921832,0.44677353,2.2344475,1.1859767,3.05219,1.1376414,2.6665702,0.46507978,1.3273058,1.4787903,1.3578458,2.289991,1.7546823,1.8281896,1.4142704,0.5779276,2.4903598,2.1936703,0.91508245,1.4134535918697235
12,sm11-12_cation->neut,1.98,2.4022396,1.8078995,1.4808521,2.0736208,1.9424353,1.4519229,2.3923757,1.0892043,1.2438097,1.900754,1.2830882,1.6330914,0.928493,1.7456002,1.4060111,2.7525072,1.1629791,2.5423071,2.2637339,2.1819797,2.2746015,1.5016885,2.6044855,2.5835497,2.162936,2.7183654,1.4409819,2.5949209,1.6728449,1.2956553,1.8875785252355761
13,sm11-12_neut->an,3.67,4.5844145,4.786043,5.0425234,4.3932815,5.0166874,4.9544945,4.3006887,4.7807975,4.354855,4.5420833,5.2864666,4.942474,4.7099113,5.1159725,5.0275683,4.8126106,5.3344803,4.9171505,5.262606,5.308565,4.330222,4.533535,4.126239,5.37582,5.15442,5.559619,4.895108,5.1969237,4.2056003,4.995473,4.823117238321612
14,sm11-13_neut->an,8.15,8.962873,8.156682,7.882665,8.75247,8.858712,8.397472,8.730577,8.89089,8.917419,8.846004,8.918845,8.731971,8.284141,7.751548,8.813765,8.9969845,8.909955,8.882037,8.514471,8.794153,8.81781,9.1148,8.904121,8.731789,8.456481,8.111017,7.980525,9.11162,8.746576,8.0287,8.617647598635765
15,sm11-14_neut->an,7.41,7.803536,7.3709445,8.297533,9.190864,8.142357,8.709032,8.159251,8.299761,9.269951,9.227208,7.444267,8.957551,7.392562,8.94654,9.88826,7.6699862,9.152317,8.485933,9.725664,7.8793583,8.929203,8.89659,8.411524,8.523253,8.4185295,9.000598,8.3509,8.558361,8.489876,8.675562,8.505718451469175
16,sm11-15_neut->an,5.18,6.466157,5.0570436,4.883225,6.031002,5.8888316,5.67273,5.4669027,5.0323143,5.4623103,6.4017467,6.1572056,5.269648,5.4011674,4.943669,6.700424,6.255918,5.809096,4.737859,5.597825,5.3657856,6.5932035,6.3391166,5.707796,6.000102,4.900047,5.6292076,4.4702654,5.9033766,5.238015,4.533804,5.5837353023406004
17,sm11-16_neut->an,9.46,9.5053215,9.178261,9.2655,10.411406,9.7412405,9.370773,9.173574,9.17095,9.785131,9.957582,9.988813,9.798798,9.227751,9.118601,9.877093,9.315926,10.3348675,9.613119,9.810423,9.222999,11.024277,10.2162,9.627663,9.544954,9.069759,9.516902,9.327442,9.627033,9.990241,9.349636,9.632975392495434
18,sm11-17_neut->an,3.79,4.3605337,3.6748028,4.197654,3.8876305,3.786034,3.2892013,4.2705607,3.7889454,3.940402,3.8401809,3.642932,3.3965063,4.126415,3.977675,3.8060002,4.3841395,4.281024,3.6401272,3.3146825,3.7569113,3.4973788,4.036536,4.3134775,3.8143682,4.0406055,3.779366,4.1053534,4.0428147,3.5900924,4.2245398,3.890222273795835
19,sm11-18_neut->an,8.96,8.9202585,9.173273,8.639341,9.469434,9.067364,9.15115,8.711015,9.553979,9.082699,9.959208,8.66334,9.414642,9.194511,9.180151,10.052104,9.026923,9.255255,9.090894,9.4491825,8.824535,9.286436,8.400288,9.2381315,9.326797,9.06445,9.057471,8.874342,8.865526,9.188347,8.935665,9.13150682633923
20,sm11-19_cation->neut,6.76,6.706996,6.8773713,6.2751684,7.205765,7.138752,7.8847513,6.0360875,5.5376334,6.2048345,6.7821746,6.8194056,6.3202367,6.7112403,7.0427995,7.4077873,7.6703997,6.0869226,7.3662863,7.6917796,6.6081324,7.139748,6.4764175,7.4004445,7.879157,7.4024124,6.8528004,6.1005454,7.523094,7.199138,6.1547856,6.8794537747290825
21,sm11-20_neut->an,4.24,4.635086,4.0956507,4.200142,4.4746404,4.659994,5.160307,4.9205213,3.9464889,4.702757,4.605382,4.605747,5.3014092,4.5113416,3.9395514,4.9022446,4.14223,4.824153,4.249485,4.3107653,4.5336914,4.5678363,4.558865,4.375988,5.4307,4.6420445,3.9619172,4.6685143,4.914879,4.218938,4.3156524,4.536029738456972
22,sm11-21_neut->an,3.05,4.2893405,4.82925,3.6736264,4.167178,5.375853,3.3009362,4.68282,4.5927057,4.6197405,4.494077,4.7392936,4.658185,4.4612684,4.7432156,4.2371564,3.8175635,4.7399836,4.104643,4.034459,4.5461025,4.3072395,4.8545494,4.5697074,3.3323822,4.712963,3.9471807,3.507619,4.715863,4.5147796,3.1873422,4.284097557683145
23,sm11-22_neut->an,8.93,9.326619,8.641399,9.165298,9.647436,9.864332,8.718063,9.2912655,7.8897934,9.50782,10.060625,9.370157,8.598101,8.486538,9.000528,9.609143,9.652413,9.531343,9.156669,9.1703415,9.744196,10.516624,9.691851,8.963918,8.714925,8.883751,9.199224,9.495932,9.78216,9.09708,9.451991,9.26321093282392
24,sm11-23_neut->an,3.16,4.154746,3.356914,4.881692,3.91051,3.2187467,3.3889985,4.185524,4.064315,3.8558803,3.9168348,3.7962222,5.136362,4.026654,4.106558,4.954537,5.8933115,4.0631385,4.7863016,5.2175064,3.985155,4.1284804,3.3641844,5.3487983,3.8459425,4.9826217,4.0767646,4.179291,4.1064816,5.376974,4.412508,4.254256561033187
25,sm11-23_cation->neut,3.16,2.158132,1.3654776,1.5029688,1.7264466,2.228104,1.3404007,1.8915429,0.77587795,1.8299317,2.052065,2.1433163,1.3972368,1.5315695,1.7786365,2.0094645,2.057119,1.6721616,2.4558299,2.4605436,1.4644375,2.2195864,1.5994363,3.0769906,1.7298832,2.1614087,2.104269,1.3955336,2.2940032,1.3352253,1.3733411,1.8803528942600372
26,sm11-24_cation->neut,7.63,7.118919,6.9974456,7.004381,7.6816483,7.385263,6.9944987,7.10935,5.923703,7.8232627,7.7392864,7.2312136,7.271456,6.385195,7.7411995,7.79704,7.31791,7.844636,8.074627,7.229118,7.654901,8.154981,7.110887,7.2180862,7.64573,7.874822,7.9319677,7.2845216,6.5140867,7.6577973,7.253641,7.374244332467356
27,sm11-25_cation->neut,5.75,6.184495,5.3874106,5.6360846,6.144316,5.3215876,5.3514166,5.563713,5.2630568,5.927347,6.094477,5.5962234,5.5622807,5.268886,5.4842854,5.849006,5.91673,5.8468657,6.167041,5.8051534,5.773412,5.8222713,5.6501737,5.826416,5.8993998,6.789484,6.4778767,5.2977495,6.477612,5.3701997,5.3763375,5.770364792116227
28,sm11-26_neut->an,9.24,9.52473,9.609407,9.002707,10.178847,9.051882,9.487909,8.87792,9.550598,9.601039,9.778784,8.180368,9.889441,9.151462,9.7318325,9.903157,9.777803,9.298703,9.787733,9.928941,9.117298,9.933748,9.25966,9.739214,9.07556,9.66657,9.91414,9.374444,10.168413,9.619562,9.892678,9.526275826731036
29,sm11-27_cation->neut,4.47,4.8143253,4.2735376,4.6477537,4.4117355,4.840019,3.7516723,4.845579,2.9789906,5.225014,4.3269825,4.801978,3.9600453,3.1614866,4.128706,4.260051,4.892659,5.105661,4.781913,3.882916,4.466555,3.8684187,5.279814,3.8987813,3.9414716,4.5856037,3.9842968,5.2156963,4.964074,4.7692766,5.3539696,4.448031724499118
30,sm11-28_cation->neut,5.95,5.6873636,5.677051,5.186795,6.0761003,5.851587,5.8225183,5.791955,5.318768,5.472865,5.5403776,5.920268,5.37683,5.0892835,5.629656,5.498097,6.0165367,5.599132,5.9945183,6.0148582,5.5692544,5.3078566,6.236695,5.992616,6.0189977,6.13831,6.5192566,5.4962416,5.77349,5.5446773,5.9732857,5.7446852099510926
31,sm11-29_neut->an,3.28,3.7283335,3.3527737,3.2105598,3.5248365,3.8062544,3.2432323,3.670383,3.078456,3.6468024,4.014347,3.2259645,3.4722137,2.9527044,2.9568262,3.3628774,3.6035004,4.001959,2.788455,3.683502,3.3200226,3.754179,3.9751768,4.2645736,3.6797523,3.1332006,3.487307,3.7252007,3.6190462,3.6933932,3.5343142,3.509359591391779
32,sm11-30_neut->an,7.89,8.25314,8.606997,7.680931,7.5995774,8.5587225,8.010039,7.9374833,9.155217,7.9558425,6.575343,7.166582,7.9654365,8.823269,7.9703135,8.340722,8.319761,8.178052,7.7963915,7.335498,7.7488666,8.293675,9.2275095,7.6081724,7.913142,7.5165844,8.3977585,8.200033,8.416788,8.0871,7.9666495,8.048245126662716
33,sm11-31_neut->an,2.87,3.271441,2.4731412,2.6359425,3.426755,3.369722,2.5283003,2.7579575,2.0268278,3.2030911,3.1405182,3.1579351,2.7383552,2.797759,2.625802,2.9956765,2.898131,3.4202452,2.2274609,3.1413455,2.8636737,3.448379,3.4780774,3.7554493,2.6696968,2.3536458,3.0175369,3.0568533,2.654323,2.9777768,2.5666647,2.920918822134695
34,sm11-32_cation->neut,6.64,6.8075066,7.6065197,7.761079,6.8629184,7.4312515,7.2928014,7.2526875,7.3863735,7.402573,8.453717,7.7532587,7.393503,7.1563044,6.8804893,8.951785,8.228118,8.029483,8.416484,8.126116,7.359709,7.1336164,7.958618,7.793687,6.7674847,8.417582,8.626637,7.023586,8.262836,7.9270096,7.8693733,7.644293804783975
35,sm11-33_cation->neut,6.79,6.7676916,7.2482066,5.738361,7.1008263,6.4915814,6.54416,6.027667,6.4154205,6.405033,6.7356195,5.755616,5.8616095,7.454006,6.664845,7.0425925,6.16323,6.7707543,7.253709,7.4732165,7.089185,7.250961,6.3963,6.0549827,6.8583183,6.9772844,7.366064,5.766279,6.6788135,6.352191,5.6692915,6.618187628715269
36,sm11-34_neut->an,4.04,5.0381136,3.5811677,4.1211114,4.479885,4.609252,3.7830005,4.921888,3.5786266,4.7373695,4.6687016,3.9086514,3.7631989,4.3323717,4.4267993,4.1991835,4.475601,4.7225184,4.858672,3.7413344,4.216156,3.9195356,4.569212,4.996435,4.5503407,4.4581895,4.10608,4.750327,4.27582,4.0442357,4.4791417,4.3339651643076245
37,sm11-35_cation->neut,6.3,6.8738403,7.2541227,6.3097396,6.42957,6.314102,6.5589504,6.7602224,6.678267,6.512708,6.042763,6.707487,5.9486513,6.6126976,6.7871547,7.136444,6.7921925,6.999857,7.118201,7.0327435,6.7353673,6.3682303,6.2908897,6.1818132,6.431838,7.329223,7.113956,6.3827424,6.492917,6.049455,6.7056637,6.621026156025549
38,sm6-1_neut->an,9.53,9.729145,9.465067,9.381458,10.330673,9.980106,10.234269,9.813562,10.4641075,10.255872,10.315107,10.17616,10.367329,9.614132,9.1688595,10.40728,9.778499,10.645859,9.502317,10.285202,9.049816,10.477781,10.375729,10.15003,9.631048,9.650605,10.15341,10.09008,9.804945,10.2128105,9.696453,9.959281068617297
39,sm6-2_cation->neut,5.03,5.103339,5.6706963,5.3325953,5.3568935,4.373094,4.8310246,5.1119013,5.50299,5.411063,5.36127,4.8219175,4.9529014,5.1894536,4.919096,5.015008,5.1939106,4.3441978,5.531354,5.2529764,5.0781226,5.9829483,5.5111303,5.341139,4.7923946,5.393708,5.59337,4.9903793,5.009465,5.508581,5.1654067,5.18297831566103
40,sm6-3_neut->an,7.02,6.5788393,8.413322,7.1661716,7.5256963,6.8166003,6.814512,6.1478267,7.586812,7.0901847,6.914386,6.4581246,7.2961626,7.9322777,6.7722826,7.7535753,6.5177693,6.572649,6.836447,6.8881545,5.8153663,7.2144513,6.597988,6.7143908,7.184717,6.7796,7.528054,7.201383,6.8944044,6.587207,7.4967604,7.003745679547709
41,sm6-4_cation->neut,6.02,6.7252455,6.3380156,6.304259,6.2012243,5.8901634,5.629613,6.3320937,6.02761,6.533643,6.413198,6.3426867,5.5278826,5.9763737,6.384645,7.0465856,6.2265644,6.5131464,6.1641493,6.742526,6.0655246,7.109008,6.1206126,6.236902,6.287895,7.0529776,7.521806,6.139193,5.9881077,6.4994526,6.363267,6.345947435440555
42,sm6-5_cation->neut,4.59,2.5598712,3.9962358,4.33174,2.8411083,3.2981682,3.6196203,3.6391773,4.169847,3.7474432,3.4142246,3.2527485,3.881499,3.7535138,3.1400652,3.523587,4.07404,2.7405362,3.7123055,4.0723505,3.2315865,3.1983767,4.243661,3.8935237,3.2898698,3.1036005,4.459599,4.280787,3.4265401,4.9103174,4.8769226,3.718479543808968
43,sm6-6_cation->neut,3.03,2.1421719,1.6264434,3.7840967,1.5019302,2.9604466,2.53248,0.7658982,2.0585952,2.1731262,2.4977002,1.9622488,2.4611478,2.533545,1.8561306,2.3678484,3.8003216,1.8861513,1.4995937,3.1324975,2.9013667,2.190239,2.3511777,1.9177151,2.2710757,1.7634401,2.0519466,1.9911714,2.7588294,3.7306066,3.1019473,2.374254481407904
44,sm6-6_neut->an,11.74,10.9047985,13.302928,10.841357,12.249326,12.0063305,11.914152,10.917716,12.185417,10.808156,11.007357,11.517014,11.137991,13.765186,11.901606,12.312174,11.40045,9.808083,12.661829,12.523876,10.848537,12.326564,11.441875,10.504463,10.841665,12.058139,12.65938,10.531239,10.605721,11.383298,10.385298,11.564255660272414
45,sm6-7_cation->neut,6.08,6.568962,5.642173,5.810905,6.339658,5.3192086,5.816288,5.7499285,5.885987,6.0909657,6.4315557,5.3097057,5.3955755,5.333446,6.3099775,6.5539336,6.186357,5.4164567,7.051652,6.241521,6.489949,6.976276,5.353542,6.0612764,5.8055744,6.8460813,7.12846,5.9828625,5.5716906,5.761772,6.342755,6.059822423381189
46,sm6-8_neut->an,4.22,3.5596175,2.6859136,3.2157545,5.068336,3.6401253,4.1183524,3.1349053,3.236103,3.4697528,4.8100624,4.7715707,3.8291297,3.5317707,3.9468484,4.498727,4.0577683,4.1888256,4.4705925,4.3124833,4.371058,4.686051,4.523389,4.456177,4.1375856,3.9911585,4.0145855,4.3213854,4.034215,4.579471,3.8291798,4.055190154660132
47,sm6-9_cation->neut,5.37,5.0414553,4.9944277,5.5175395,5.324485,5.51253,4.9778414,5.768167,5.2949986,5.5791597,5.339908,5.336665,4.027941,5.027146,5.351946,4.77296,4.535681,5.5908775,5.125366,5.3005266,5.6339035,5.7123785,5.0390763,4.7763395,5.2922883,5.433318,4.83334,4.746768,4.9364395,5.2876973,4.8850217,5.173102982428766
48,sm6-10_neut->an,9.02,9.109018,9.814185,8.154196,8.537094,9.856279,10.543814,8.388343,8.330239,9.131609,8.522962,7.844962,8.547552,9.262484,8.834239,9.304367,8.808205,8.048811,9.640874,8.844185,8.79843,9.455309,9.19434,8.821615,9.718435,8.405341,8.977992,9.197634,8.701524,8.900169,8.223833,8.933485170179797
49,sm6-11_cation->neut,3.89,3.9218771,3.8563833,3.635045,4.177964,3.5409489,2.9116368,3.8572564,4.0800486,4.3887815,4.5891447,3.5164027,3.563725,4.0138574,4.3379154,4.178583,4.025097,3.9032335,4.869165,4.914508,4.281207,4.567215,4.1467113,3.4568777,4.043928,4.072725,4.1502647,3.4030857,4.7614756,3.7579093,4.417062,4.039678539460705
50,sm6-12_cation->neut,5.28,5.221534,4.5250473,4.48299,5.280984,5.485298,4.7770414,5.8616114,4.982771,5.627743,5.3832517,5.164646,4.1956534,4.4550033,5.9830794,5.029216,4.947655,5.383319,5.9251833,5.3586626,6.033352,5.9781766,4.93789,5.224639,5.5992146,5.474922,5.0900965,4.741401,4.4560328,4.9992642,5.2297935,5.197273278390208
51,sm6-13_cation->neut,5.77,5.836998,5.649385,5.615573,5.3442388,5.1139226,5.873627,5.6870413,5.7794743,5.977048,6.1856985,5.0229764,5.810816,5.906033,5.8454585,6.310326,5.277953,5.192025,6.572076,6.207755,5.4391136,5.831358,5.853917,5.277307,5.942048,6.1309423,6.425643,5.7605247,5.2416563,5.7212043,6.0459824,5.762842655797158
52,sm6-14_2cation->cation,2.58,3.230927,3.0428066,2.7455597,2.950265,2.9052088,2.7882006,2.8101432,2.8956769,3.021577,3.1142216,3.3478527,2.5303166,2.8698416,3.7430193,3.4418924,3.0123012,2.9520946,4.1694827,2.8083086,3.5249352,2.8338506,2.9425511,2.7742753,2.7526455,3.8731709,2.638305,2.8033497,3.5187814,2.8273067,2.8038058,3.040408813722672
53,sm6-14_cation->neut,5.3,5.6870146,5.6214733,4.7701054,5.8500395,5.6174707,4.9029665,5.304273,5.316595,5.3325663,5.747574,5.5036926,4.753784,5.3550744,6.090502,5.64249,5.6727166,6.157945,6.489151,5.5232534,5.7085543,6.088463,5.6018686,5.3127184,6.0470533,6.401129,5.5547256,5.273611,5.475197,5.3182,5.4162006,5.575367998307751
54,sm6-15_cation->neut,4.7,4.853841,5.1050854,4.1484995,5.167042,4.537429,4.4231353,4.6330366,4.627346,4.681566,5.1297846,5.0931,4.0743847,4.562644,5.244079,4.575169,4.906212,5.2345114,5.4857635,4.770658,4.8987427,5.609718,4.2752743,4.27475,4.8286433,5.668744,5.309435,4.324591,4.209918,4.700914,4.8702135,4.8040074440740765
55,sm6-15_neut->an,8.94,9.187071,8.50659,8.379403,9.558003,9.502901,9.062239,9.178071,9.063422,9.5649805,9.052857,9.2332535,9.227606,9.003973,8.12166,8.98679,9.062987,9.566278,8.544515,8.675563,9.02425,9.822556,9.698582,8.282864,9.5246315,8.534138,8.537626,8.771703,9.386175,8.868841,8.9225235,9.025550086728988
56,sm6-16_cation->neut,5.37,5.2270584,4.974836,4.7343187,4.913506,4.749052,4.6001396,4.7351513,5.1194572,4.8363657,5.399766,5.639441,5.3622217,5.5478683,5.257938,4.9741664,5.0946627,4.9906073,4.979087,5.105163,5.264075,5.56256,5.2253623,4.512954,5.03183,5.930895,5.151864,4.5826163,5.525752,4.325028,5.111706,5.0914660767586
57,sm6-16_neut->an,10.65,11.311607,11.778919,11.512907,12.086159,11.589787,11.49714,11.7988405,11.427113,11.470247,11.254059,11.910475,11.463989,11.494315,11.104042,11.986764,11.879035,11.6436,11.365672,12.027433,11.315832,11.810858,11.46489,11.419075,11.622336,11.176065,12.469434,11.414407,10.659049,11.664506,11.639058,11.545406907604585
58,sm6-17_cation->neut,3.16,3.9327881,3.5349169,3.695776,3.7905636,3.3098073,3.4981093,3.3502526,3.5534787,3.8067722,4.2162957,3.6701803,3.6725798,3.2933626,4.0554667,3.8791301,4.1058,3.04912,4.568804,3.454254,3.8459344,4.619916,3.8360863,3.8754516,3.6563609,5.0888615,3.321351,3.480227,4.136589,3.4907527,3.5060866,3.756615312945458
59,sm6-18_cation->neut,2.15,2.8387764,2.0416756,2.3608716,3.1894248,2.8180006,2.5939374,2.4500065,2.23744,2.5829725,2.8120081,2.7926235,2.9700494,3.2188091,3.0098338,2.9663572,2.6463358,2.9111383,3.5110679,2.316855,2.314406,2.9842634,2.276422,2.2083862,2.8167996,3.2574058,2.7841353,2.6446772,3.1774237,2.3383555,2.545646,2.7021323911605344
60,sm6-18_neut->an,9.58,9.484565,10.871351,9.402933,10.181968,9.447983,9.226555,8.833674,9.760834,9.026546,10.239202,9.239969,9.462784,11.180546,9.766657,9.460568,9.003763,9.110975,8.4078245,10.59822,9.308909,10.500936,9.005649,8.827131,8.355461,8.273537,9.39312,9.960543,9.389276,8.563916,8.753035,9.439304138921921
61,sm6-18_an->2an,11.02,11.28396,11.525005,10.332145,11.427073,11.134793,10.999239,10.165358,10.889109,10.775316,10.189246,10.760626,10.507621,12.174686,10.947056,10.571125,11.271362,8.971867,11.553348,11.100957,11.072845,11.2734585,10.437736,11.640392,10.593365,10.999095,11.108289,11.950319,10.691298,10.69618,10.841611,10.93240256524855
62,sm6-19me_neut->an,9.56,9.681371,8.165596,9.75028,8.775591,9.458641,9.393778,9.1998825,8.266149,8.67024,7.9216967,9.287293,8.872185,8.24144,9.261932,8.855276,7.8910766,8.096207,9.082301,9.520538,9.923955,9.140879,9.38834,7.724398,8.79436,8.721266,9.451831,9.517839,10.143951,8.143204,9.155439,8.969578606390185
63,sm6-20_neut->an,5.7,5.8362303,6.3095236,6.612848,5.935452,5.541651,6.243288,5.5823917,6.279667,6.0507717,4.7913876,5.9298496,5.6795197,6.135751,5.091984,7.4461513,6.509397,5.872322,5.5412636,7.2826223,5.416521,4.866262,5.869208,6.456136,5.052099,5.5789385,6.454705,6.050546,5.5225754,7.1038103,6.5336227,5.9766611345352665
64,sm6-21_cation->neut,4.1,4.6267977,3.8199468,3.9885569,3.865467,3.785029,4.1005363,4.145442,3.5622058,4.8772726,4.25737,3.621313,3.9219968,3.914984,4.1527877,4.891465,3.9798489,4.421859,4.4880466,4.3889217,4.191056,4.4642158,3.907195,3.808394,3.7169049,4.701807,4.0620103,4.0038586,3.8764386,3.2700667,3.697587,4.084173567064346
65,sm6-22_cation->neut,2.4,3.3958776,2.1953878,1.6887956,2.5632768,3.6393702,3.6533968,3.0397215,1.9090748,2.1815763,2.0567904,2.177312,3.0989416,1.3587718,3.9181178,3.6451719,4.8383617,1.8385453,4.1607504,4.4006014,2.5832973,2.4598904,3.8125448,4.0385237,4.076191,4.0644193,3.463592,2.3544984,2.274945,3.5495932,2.189797,3.0008752699821226
66,sm6-22_neut->an,7.43,8.308765,8.534265,7.2927814,6.890256,8.015408,8.209325,6.913389,7.7587156,7.0038714,7.193286,8.066837,8.0634,7.9348793,7.193459,8.568413,6.515388,6.8137197,7.9890776,7.9269276,7.908503,7.5140185,8.471719,8.195116,7.958085,7.4263153,9.6550045,7.841441,7.4637985,8.124866,7.620064,7.767777217741935
67,sm6-23me_cation->neut,5.45,4.895963,6.436335,6.2150617,6.370041,5.8361645,5.9604826,6.5499444,6.726531,5.609276,5.916031,6.1486883,5.821405,7.007869,6.118557,6.1049724,6.0799527,6.8939376,6.3347793,6.2950544,5.42228,6.241283,5.0094347,6.24983,5.838749,5.032588,6.18432,6.1935005,4.9595366,5.9748907,7.2514973,6.036417890364124
68,sm6-24_cation->neut,2.6,2.6831832,3.6951776,3.1282415,3.3362355,2.5443602,3.6578367,2.8169317,3.4451942,2.6229448,3.7055721,3.5283442,2.9406734,3.3945026,3.3785286,3.5852852,2.7035527,2.5496097,3.0897942,4.124761,3.1835818,3.5487604,2.485673,2.2913456,2.4939651,3.245375,3.8981705,2.9557614,3.199211,1.9997606,3.2403684,3.099119412514471
