,compn,exp. pKa,pKa predicted by models:2-6,pKa predicted by models:3-3,pKa predicted by models:2-1,pKa predicted by models:1-2,pKa predicted by models:1-3,pKa predicted by models:1-9,pKa predicted by models:3-9,pKa predicted by models:1-8,pKa predicted by models:1-0,pKa predicted by models:1-5,pKa predicted by models:3-8,pKa predicted by models:1-4,pKa predicted by models:1-7,pKa predicted by models:1-6,pKa predicted by models:1-1,pKa predicted by models:3-5,pKa predicted by models:2-2,pKa predicted by models:2-3,pKa predicted by models:2-9,pKa predicted by models:2-8,pKa predicted by models:2-5,pKa predicted by models:2-4,pKa predicted by models:2-7,pKa predicted by models:2-0,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:3-0,pKa predicted by models:3-1,consensus
18,sm11-17_neut->an,3.79,4.3605337,3.6748028,4.197654,3.3156614,4.002429,4.111123,3.8876305,3.9887724,3.7483792,3.0977786,3.786034,3.6334705,4.3916073,4.1470995,4.2239065,3.2892013,4.2705607,3.7889454,3.8401809,3.642932,3.3965063,3.977675,3.8060002,4.3841395,4.281024,3.6401272,3.3146825,3.7569113,4.3134775,4.1053534,3.876277401831842
19,sm11-18_neut->an,8.96,8.9202585,9.173273,8.639341,9.628849,9.433367,10.185011,9.469434,9.430394,9.233125,9.159901,9.067364,9.566889,10.194282,8.481667,9.157732,9.15115,8.711015,9.553979,9.959208,8.66334,9.414642,9.180151,10.052104,9.026923,9.255255,9.090894,9.4491825,8.824535,9.2381315,8.874342,9.262765698586742
20,sm11-19_cation->neut,6.76,6.706996,6.8773713,6.2751684,5.7206564,7.37325,5.6530266,7.205765,6.8517323,7.411978,5.7167754,7.138752,6.6890526,6.7158375,6.8975887,7.1155643,7.8847513,6.0360875,5.5376334,6.7821746,6.8194056,6.3202367,7.0427995,7.4077873,7.6703997,6.0869226,7.3662863,7.6917796,6.6081324,7.4004445,6.1005454,6.769835495487336
21,sm11-20_neut->an,4.24,4.635086,4.0956507,4.200142,4.585907,4.3089414,4.5459127,4.4746404,5.2153597,4.5897303,3.94707,4.659994,4.881751,5.152502,4.8730273,4.372536,5.160307,4.9205213,3.9464889,4.605382,4.605747,5.3014092,3.9395514,4.9022446,4.14223,4.824153,4.249485,4.3107653,4.5336914,4.375988,4.6685143,4.5569267423691295
22,sm11-21_neut->an,3.05,4.2893405,4.82925,3.6736264,5.122942,3.7507486,6.3083506,4.167178,4.253108,4.453843,3.943397,5.375853,4.473128,3.4545927,4.4471874,4.7363987,3.3009362,4.68282,4.5927057,4.494077,4.7392936,4.658185,4.7432156,4.2371564,3.8175635,4.7399836,4.104643,4.034459,4.5461025,4.5697074,3.507619,4.35798101425171
23,sm11-22_neut->an,8.93,9.326619,8.641399,9.165298,9.094095,9.432232,10.358273,9.647436,9.817064,8.750439,10.203232,9.864332,9.449478,9.681216,8.466818,9.258873,8.718063,9.2912655,7.8897934,10.060625,9.370157,8.598101,9.000528,9.609143,9.652413,9.531343,9.156669,9.1703415,9.744196,8.963918,9.495932,9.301267552529612
24,sm11-23_neut->an,3.16,4.154746,3.356914,4.881692,4.4429517,3.725016,4.4232874,3.91051,3.5854998,5.5603786,3.6349823,3.2187467,5.2985296,4.421065,4.449439,5.2649193,3.3889985,4.185524,4.064315,3.9168348,3.7962222,5.136362,4.106558,4.954537,5.8933115,4.0631385,4.7863016,5.2175064,3.985155,5.3487983,4.179291,4.339081638397709
25,sm11-23_cation->neut,3.16,2.158132,1.3654776,1.5029688,2.273931,1.3960462,3.1575058,1.7264466,2.064455,2.2477865,0.46033525,2.228104,2.871357,1.3903537,2.26264,1.5141377,1.3404007,1.8915429,0.77587795,2.052065,2.1433163,1.3972368,1.7786365,2.0094645,2.057119,1.6721616,2.4558299,2.4605436,1.4644375,3.0769906,1.3955336,1.9274462395329628
26,sm11-24_cation->neut,7.63,7.118919,6.9974456,7.004381,7.2206125,7.5660577,6.56692,7.6816483,7.9395213,7.067307,6.5711045,7.385263,7.9628115,7.5784054,7.7544956,7.8368635,6.9944987,7.10935,5.923703,7.7392864,7.2312136,7.271456,7.7411995,7.79704,7.31791,7.844636,8.074627,7.229118,7.654901,7.2180862,7.2845216,7.364945254172048
27,sm11-25_cation->neut,5.75,6.184495,5.3874106,5.6360846,5.9355526,5.7475185,6.018203,6.144316,6.6679664,4.94402,4.4797683,5.3215876,5.8379087,6.6172533,5.365181,5.581888,5.3514166,5.563713,5.2630568,6.094477,5.5962234,5.5622807,5.4842854,5.849006,5.91673,5.8468657,6.167041,5.8051534,5.773412,5.826416,5.2977495,5.71022516681302
28,sm11-26_neut->an,9.24,9.52473,9.609407,9.002707,9.534937,9.974871,9.912058,10.178847,9.111011,9.867861,9.543024,9.051882,10.106456,9.816577,9.3389435,9.830191,9.487909,8.87792,9.550598,9.778784,8.180368,9.889441,9.7318325,9.903157,9.777803,9.298703,9.787733,9.928941,9.117298,9.739214,9.374444,9.550569264811854
29,sm11-27_cation->neut,4.47,4.8143253,4.2735376,4.6477537,6.352421,3.6231499,4.059556,4.4117355,5.4146833,4.568906,2.8951855,4.840019,5.3632445,3.5064602,4.159808,4.471065,3.7516723,4.845579,2.9789906,4.3269825,4.801978,3.9600453,4.128706,4.260051,4.892659,5.105661,4.781913,3.882916,4.466555,3.8987813,5.2156963,4.4248399033084995
30,sm11-28_cation->neut,5.95,5.6873636,5.677051,5.186795,5.612944,5.1059327,5.9909587,6.0761003,6.5996866,5.591056,4.845604,5.851587,6.6020937,5.714099,5.9080644,5.8452015,5.8225183,5.791955,5.318768,5.5403776,5.920268,5.37683,5.629656,5.498097,6.0165367,5.599132,5.9945183,6.0148582,5.5692544,5.992616,5.4962416,5.73632790042508
31,sm11-29_neut->an,3.28,3.7283335,3.3527737,3.2105598,3.4983306,3.8992977,4.1547937,3.5248365,4.414538,4.108848,3.3403819,3.8062544,2.7314782,3.2783365,3.449275,3.4560785,3.2432323,3.670383,3.078456,4.014347,3.2259645,3.4722137,2.9568262,3.3628774,3.6035004,4.001959,2.788455,3.683502,3.3200226,4.2645736,3.7252007,3.5369557805215157
32,sm11-30_neut->an,7.89,8.25314,8.606997,7.680931,7.892246,9.214343,8.021154,7.5995774,8.890038,7.946331,7.785831,8.5587225,8.436083,8.295465,7.7660065,8.720273,8.010039,7.9374833,9.155217,6.575343,7.166582,7.9654365,7.9703135,8.340722,8.319761,8.178052,7.7963915,7.335498,7.7488666,7.6081724,8.200033,8.060162917721655
33,sm11-31_neut->an,2.87,3.271441,2.4731412,2.6359425,2.688233,2.4007072,3.779169,3.426755,2.8399267,3.0391111,2.3923728,3.369722,2.387671,2.679225,3.0668411,3.1101022,2.5283003,2.7579575,2.0268278,3.1405182,3.1579351,2.7383552,2.625802,2.9956765,2.898131,3.4202452,2.2274609,3.1413455,2.8636737,3.7554493,3.0568533,2.895641676687425
34,sm11-32_cation->neut,6.64,6.8075066,7.6065197,7.761079,7.7204156,7.618737,6.96731,6.8629184,7.235581,7.216053,7.9804597,7.4312515,7.9335656,8.491478,7.976143,7.8344736,7.2928014,7.2526875,7.3863735,8.453717,7.7532587,7.393503,6.8804893,8.951785,8.228118,8.029483,8.416484,8.126116,7.359709,7.793687,7.023586,7.62662223508281
35,sm11-33_cation->neut,6.79,6.7676916,7.2482066,5.738361,6.620369,6.90585,5.7978096,7.1008263,6.599862,6.852047,5.6930137,6.4915814,7.2936687,8.234341,6.8406553,6.5251923,6.54416,6.027667,6.4154205,6.7356195,5.755616,5.8616095,6.664845,7.0425925,6.16323,6.7707543,7.253709,7.4732165,7.089185,6.0549827,5.766279,6.616721354453794
36,sm11-34_neut->an,4.04,5.0381136,3.5811677,4.1211114,3.9463882,3.9214258,4.617301,4.479885,5.038761,3.7827072,3.1755214,4.609252,4.26286,4.661624,4.490968,4.369836,3.7830005,4.921888,3.5786266,4.6687016,3.9086514,3.7631989,4.4267993,4.1991835,4.475601,4.7225184,4.858672,3.7413344,4.216156,4.996435,4.750327,4.295097306159234
37,sm11-35_cation->neut,6.3,6.8738403,7.2541227,6.3097396,6.081997,7.0541916,6.3700576,6.42957,6.4982557,6.3530235,5.176613,6.314102,6.740208,7.7637486,6.327244,6.6029806,6.5589504,6.7602224,6.678267,6.042763,6.707487,5.9486513,6.7871547,7.136444,6.7921925,6.999857,7.118201,7.0327435,6.7353673,6.1818132,6.3827424,6.590727461538007
38,sm6-1_neut->an,9.53,9.729145,9.465067,9.381458,10.549103,10.798104,10.701334,10.330673,10.281376,9.655676,9.983393,9.980106,9.481716,10.012124,9.149693,10.227051,10.234269,9.813562,10.4641075,10.315107,10.17616,10.367329,9.1688595,10.40728,9.778499,10.645859,9.502317,10.285202,9.049816,10.15003,10.09008,9.990467633893411
39,sm6-2_cation->neut,5.03,5.103339,5.6706963,5.3325953,5.6090145,4.7814,5.020661,5.3568935,5.0659423,5.421805,4.2457314,4.373094,5.5290627,4.630419,5.018712,5.803897,4.8310246,5.1119013,5.50299,5.36127,4.8219175,4.9529014,4.919096,5.015008,5.1939106,4.3441978,5.531354,5.2529764,5.0781226,5.341139,4.9903793,5.104562937213529
40,sm6-3_neut->an,7.02,6.5788393,8.413322,7.1661716,7.433187,8.017712,7.7802763,7.5256963,6.318614,7.644653,6.884316,6.8166003,6.7757516,7.509475,7.057379,6.9767637,6.814512,6.1478267,7.586812,6.914386,6.4581246,7.2961626,6.7722826,7.7535753,6.5177693,6.572649,6.836447,6.8881545,5.8153663,6.7143908,7.201383,7.038987037289527
41,sm6-4_cation->neut,6.02,6.7252455,6.3380156,6.304259,6.8226194,5.976506,6.8804455,6.2012243,6.059225,6.191869,5.7268314,5.8901634,6.4693274,6.5873632,6.0636826,6.3037567,5.629613,6.3320937,6.02761,6.413198,6.3426867,5.5278826,6.384645,7.0465856,6.2265644,6.5131464,6.1641493,6.742526,6.0655246,6.236902,6.139193,6.269446911965646
42,sm6-5_cation->neut,4.59,2.5598712,3.9962358,4.33174,4.967698,4.0117583,4.044439,2.8411083,4.160863,3.981063,4.653826,3.2981682,3.452227,3.158433,2.9621344,3.9141536,3.6196203,3.6391773,4.169847,3.4142246,3.2527485,3.881499,3.1400652,3.523587,4.07404,2.7405362,3.7123055,4.0723505,3.2315865,3.8935237,4.280787,3.7280521651237244
43,sm6-6_cation->neut,3.03,2.1421719,1.6264434,3.7840967,2.6815503,1.8517442,2.7167192,1.5019302,2.312046,2.787909,3.501667,2.9604466,2.9137554,1.4260712,1.5767345,2.561334,2.53248,0.7658982,2.0585952,2.4977002,1.9622488,2.4611478,1.8561306,2.3678484,3.8003216,1.8861513,1.4995937,3.1324975,2.9013667,1.9177151,1.9911714,2.3550156787133987
44,sm6-6_neut->an,11.74,10.9047985,13.302928,10.841357,11.061373,11.803456,10.965335,12.249326,10.896463,11.147054,10.35862,12.0063305,11.76553,12.388014,11.138415,11.379057,11.914152,10.917716,12.185417,11.007357,11.517014,11.137991,11.901606,12.312174,11.40045,9.808083,12.661829,12.523876,10.848537,10.504463,10.531239,11.455482551820817
45,sm6-7_cation->neut,6.08,6.568962,5.642173,5.810905,6.1077795,6.436622,6.1678753,6.339658,6.1252866,6.003075,4.1966724,5.3192086,6.44083,6.137064,5.7798815,6.0033236,5.816288,5.7499285,5.885987,6.4315557,5.3097057,5.3955755,6.3099775,6.5539336,6.186357,5.4164567,7.051652,6.241521,6.489949,6.0612764,5.9828625,6.001365894809846
46,sm6-8_neut->an,4.22,3.5596175,2.6859136,3.2157545,4.1617126,3.6932764,4.2048864,5.068336,3.352674,3.6611524,3.644479,3.6401253,3.6567988,5.463218,4.2934885,3.5950184,4.1183524,3.1349053,3.236103,4.8100624,4.7715707,3.8291297,3.9468484,4.498727,4.0577683,4.1888256,4.4705925,4.3124833,4.371058,4.456177,4.3213854,4.020659384266023
47,sm6-9_cation->neut,5.37,5.0414553,4.9944277,5.5175395,6.1673617,5.120624,5.025117,5.324485,5.795949,5.147767,4.6051316,5.51253,5.7756157,5.336281,5.493018,5.6151624,4.9778414,5.768167,5.2949986,5.339908,5.336665,4.027941,5.351946,4.77296,4.535681,5.5908775,5.125366,5.3005266,5.6339035,4.7763395,4.746768,5.23943078502532
48,sm6-10_neut->an,9.02,9.109018,9.814185,8.154196,9.094542,9.569229,8.710583,8.537094,9.1004505,9.191397,9.816699,9.856279,9.192076,10.09744,7.804504,8.897116,10.543814,8.388343,8.330239,8.522962,7.844962,8.547552,8.834239,9.304367,8.808205,8.048811,9.640874,8.844185,8.79843,8.821615,9.197634,8.98196900336973
49,sm6-11_cation->neut,3.89,3.9218771,3.8563833,3.635045,4.644618,4.240242,4.8293257,4.177964,4.198288,3.6793141,3.2570775,3.5409489,4.6549973,4.0305777,3.9834414,4.0526457,2.9116368,3.8572564,4.0800486,4.5891447,3.5164027,3.563725,4.3379154,4.178583,4.025097,3.9032335,4.869165,4.914508,4.281207,3.4568777,3.4030857,4.015504272214828
50,sm6-12_cation->neut,5.28,5.221534,4.5250473,4.48299,5.8203387,4.5896473,5.0908194,5.280984,5.832467,5.026565,3.6092484,5.485298,6.3971667,5.750704,6.0670557,5.294096,4.7770414,5.8616114,4.982771,5.3832517,5.164646,4.1956534,5.9830794,5.029216,4.947655,5.383319,5.9251833,5.3586626,6.033352,5.224639,4.741401,5.249853012023434
51,sm6-13_cation->neut,5.77,5.836998,5.649385,5.615573,6.194626,5.479662,6.64522,5.3442388,5.1938844,5.9932823,5.2465844,5.1139226,6.2395706,6.3747787,5.2757998,5.6135006,5.873627,5.6870413,5.7794743,6.1856985,5.0229764,5.810816,5.8454585,6.310326,5.277953,5.192025,6.572076,6.207755,5.4391136,5.277307,5.7605247,5.736425754177954
52,sm6-14_2cation->cation,2.58,3.230927,3.0428066,2.7455597,3.2035713,3.0597677,3.3123467,2.950265,3.0798035,3.147914,1.8941418,2.9052088,4.1253386,3.5578241,3.1544247,3.0051587,2.7882006,2.8101432,2.8956769,3.1142216,3.3478527,2.5303166,3.7430193,3.4418924,3.0123012,2.9520946,4.1694827,2.8083086,3.5249352,2.7742753,2.8033497,3.0874557635091966
53,sm6-14_cation->neut,5.3,5.6870146,5.6214733,4.7701054,5.8456492,5.614489,5.516391,5.8500395,5.6828237,5.3702707,4.738288,5.6174707,5.999361,6.9306755,5.9643574,5.009473,4.9029665,5.304273,5.316595,5.747574,5.5036926,4.753784,6.090502,5.64249,5.6727166,6.157945,6.489151,5.5232534,5.7085543,5.3127184,5.273611,5.577990602677868
54,sm6-15_cation->neut,4.7,4.853841,5.1050854,4.1484995,4.921445,5.13566,4.43353,5.167042,5.1696806,4.168159,3.7121952,4.537429,5.388523,6.3312106,5.1796246,4.45278,4.4231353,4.6330366,4.627346,5.1297846,5.0931,4.0743847,5.244079,4.575169,4.906212,5.2345114,5.4857635,4.770658,4.8987427,4.27475,4.324591,4.809676399538594
55,sm6-15_neut->an,8.94,9.187071,8.50659,8.379403,9.8523655,9.62299,9.865234,9.558003,9.499624,8.415957,8.421622,9.502901,8.933512,8.777858,8.2264,9.366655,9.062239,9.178071,9.063422,9.052857,9.2332535,9.227606,8.12166,8.98679,9.062987,9.566278,8.544515,8.675563,9.02425,8.282864,8.771703,8.997104689075101
56,sm6-16_cation->neut,5.37,5.2270584,4.974836,4.7343187,4.8752217,5.1630826,5.6771603,4.913506,5.2744555,4.9972568,4.6978493,4.749052,5.391735,4.780285,4.6835394,5.129318,4.6001396,4.7351513,5.1194572,5.399766,5.639441,5.3622217,5.257938,4.9741664,5.0946627,4.9906073,4.979087,5.105163,5.264075,4.512954,4.5826163,5.0405200410658315
57,sm6-16_neut->an,10.65,11.311607,11.778919,11.512907,12.798761,11.173049,12.618643,12.086159,11.505348,11.428721,13.48582,11.589787,12.183178,12.006685,10.385245,11.884972,11.49714,11.7988405,11.427113,11.254059,11.910475,11.463989,11.104042,11.986764,11.879035,11.6436,11.365672,12.027433,11.315832,11.419075,11.414407,11.674428336851058
58,sm6-17_cation->neut,3.16,3.9327881,3.5349169,3.695776,3.7169456,3.8603396,3.8063726,3.7905636,4.0050282,3.9624224,3.0086122,3.3098073,4.486195,4.0096035,3.160335,3.8040812,3.4981093,3.3502526,3.5534787,4.2162957,3.6701803,3.6725798,4.0554667,3.8791301,4.1058,3.04912,4.568804,3.454254,3.8459344,3.8754516,3.480227,3.7264152083858364
59,sm6-18_cation->neut,2.15,2.8387764,2.0416756,2.3608716,2.976739,3.0836606,3.8120224,3.1894248,3.23924,1.53864,2.0568767,2.8180006,2.09445,3.068251,2.488861,1.8634963,2.5939374,2.4500065,2.23744,2.8120081,2.7926235,2.9700494,3.0098338,2.9663572,2.6463358,2.9111383,3.5110679,2.316855,2.314406,2.2083862,2.6446772,2.645358320974535
60,sm6-18_neut->an,9.58,9.484565,10.871351,9.402933,9.086168,10.581877,9.508294,10.181968,8.891726,9.589104,7.3025255,9.447983,9.47153,9.5711975,9.9674,10.38619,9.226555,8.833674,9.760834,10.239202,9.239969,9.462784,9.766657,9.460568,9.003763,9.110975,8.4078245,10.59822,9.308909,8.827131,9.960543,9.501045814021941
61,sm6-18_an->2an,11.02,11.28396,11.525005,10.332145,11.5087,11.614382,11.052103,11.427073,9.926167,11.272191,9.778604,11.134793,9.74584,10.873211,11.231174,11.782255,10.999239,10.165358,10.889109,10.189246,10.760626,10.507621,10.947056,10.571125,11.271362,8.971867,11.553348,11.100957,11.072845,11.640392,11.950319,10.906389437029437
62,sm6-19me_neut->an,9.56,9.681371,8.165596,9.75028,9.573388,8.932787,10.240498,8.775591,8.95528,9.20454,8.716933,9.458641,8.714479,9.905075,7.8366795,8.444672,9.393778,9.1998825,8.266149,7.9216967,9.287293,8.872185,9.261932,8.855276,7.8910766,8.096207,9.082301,9.520538,9.923955,7.724398,9.517839,8.991300600113407
63,sm6-20_neut->an,5.7,5.8362303,6.3095236,6.612848,5.7653704,5.063406,5.0207787,5.935452,6.278677,6.87554,7.5547767,5.541651,6.6627107,6.313799,4.8293324,6.0791473,6.243288,5.5823917,6.279667,4.7913876,5.9298496,5.6795197,5.091984,7.4461513,6.509397,5.872322,5.5412636,7.2826223,5.416521,6.456136,6.050546,6.017815780639648
64,sm6-21_cation->neut,4.1,4.6267977,3.8199468,3.9885569,5.0776863,3.6683192,4.2276993,3.865467,4.2628946,3.9597702,3.441959,3.785029,4.2146654,3.8656242,4.509424,3.8972085,4.1005363,4.145442,3.5622058,4.25737,3.621313,3.9219968,4.1527877,4.891465,3.9798489,4.421859,4.4880466,4.3889217,4.191056,3.808394,4.0038586,4.104714496674076
65,sm6-22_cation->neut,2.4,3.3958776,2.1953878,1.6887956,3.1057072,3.18651,2.4401608,2.5632768,3.43669,2.9749966,2.1297066,3.6393702,3.30407,1.2374444,2.7493074,2.8710284,3.6533968,3.0397215,1.9090748,2.0567904,2.177312,3.0989416,3.9181178,3.6451719,4.8383617,1.8385453,4.1607504,4.4006014,2.5832973,4.0385237,2.3544984,2.9364978774901362
66,sm6-22_neut->an,7.43,8.308765,8.534265,7.2927814,7.0770335,7.7501516,7.28563,6.890256,7.83678,6.618691,7.4968653,8.015408,7.565866,9.363909,7.0859303,7.141718,8.209325,6.913389,7.7587156,7.193286,8.066837,8.0634,7.193459,8.568413,6.515388,6.8137197,7.9890776,7.9269276,7.908503,8.195116,7.841441,7.640356377017114
67,sm6-23me_cation->neut,5.45,4.895963,6.436335,6.2150617,6.4277577,7.067516,6.0181503,6.370041,5.8558116,5.4643006,4.7599564,5.8361645,6.2001424,6.274184,5.345104,5.51853,5.9604826,6.5499444,6.726531,5.916031,6.1486883,5.821405,6.118557,6.1049724,6.0799527,6.8939376,6.3347793,6.2950544,5.42228,6.24983,6.1935005,6.0306762633785125
68,sm6-24_cation->neut,2.6,2.6831832,3.6951776,3.1282415,4.1639423,2.981545,4.543558,3.3362355,3.4688702,3.079308,3.2679086,2.5443602,3.5335002,3.100717,3.0057435,4.087275,3.6578367,2.8169317,3.4451942,3.7055721,3.5283442,2.9406734,3.3785286,3.5852852,2.7035527,2.5496097,3.0897942,4.124761,3.1835818,2.2913456,2.9557614,3.2637528557931224
