,compn,exp. pKa,pKa predicted by models:1-2,pKa predicted by models:1-3,pKa predicted by models:1-9,pKa predicted by models:1-8,pKa predicted by models:1-0,pKa predicted by models:1-5,pKa predicted by models:1-4,pKa predicted by models:1-7,pKa predicted by models:1-6,pKa predicted by models:1-1,consensus
12,sm11-12_cation->neut,1.98,0.81684494,2.3374524,1.6962662,1.3749652,2.0873427,0.855463,2.9126937,1.1185203,1.7123408,1.7059224,1.6907101527127353
13,sm11-12_neut->an,3.67,4.9275723,5.483091,5.2889028,5.03424,4.364701,5.0650606,4.634628,4.5624065,4.784078,4.6076994,4.765670812780207
14,sm11-13_neut->an,8.15,9.243473,9.153397,9.489489,9.015293,8.366632,8.323677,8.256638,8.663887,7.87117,8.498531,8.639289717240768
15,sm11-14_neut->an,7.41,8.164718,8.298147,9.052598,9.740253,8.487951,8.174315,8.6683,9.601509,7.432974,9.017598,8.5498512580178
16,sm11-15_neut->an,5.18,5.290303,4.824333,6.2730627,6.383754,4.5517416,5.4949756,4.2056165,6.5244045,5.5601006,5.1240163,5.401118900992653
17,sm11-16_neut->an,9.46,10.056269,10.195761,10.2146635,9.961252,9.217247,10.075625,8.960287,10.029652,9.197828,9.873384,9.749269915494052
18,sm11-17_neut->an,3.79,3.3156614,4.002429,4.111123,3.9887724,3.7483792,3.0977786,3.6334705,4.3916073,4.1470995,4.2239065,3.8591115942868317
19,sm11-18_neut->an,8.96,9.628849,9.433367,10.185011,9.430394,9.233125,9.159901,9.566889,10.194282,8.481667,9.157732,9.402837749827993
20,sm11-19_cation->neut,6.76,5.7206564,7.37325,5.6530266,6.8517323,7.411978,5.7167754,6.6890526,6.7158375,6.8975887,7.1155643,6.6277692326632405
21,sm11-20_neut->an,4.24,4.585907,4.3089414,4.5459127,5.2153597,4.5897303,3.94707,4.881751,5.152502,4.8730273,4.372536,4.6102488682486795
22,sm11-21_neut->an,3.05,5.122942,3.7507486,6.3083506,4.253108,4.453843,3.943397,4.473128,3.4545927,4.4471874,4.7363987,4.363063274730336
23,sm11-22_neut->an,8.93,9.094095,9.432232,10.358273,9.817064,8.750439,10.203232,9.449478,9.681216,8.466818,9.258873,9.40379270033403
24,sm11-23_neut->an,3.16,4.4429517,3.725016,4.4232874,3.5854998,5.5603786,3.6349823,5.2985296,4.421065,4.449439,5.2649193,4.360551696257158
25,sm11-23_cation->neut,3.16,2.273931,1.3960462,3.1575058,2.064455,2.2477865,0.46033525,2.871357,1.3903537,2.26264,1.5141377,2.072595285068859
26,sm11-24_cation->neut,7.63,7.2206125,7.5660577,6.56692,7.9395213,7.067307,6.5711045,7.9628115,7.5784054,7.7544956,7.8368635,7.426736257726495
27,sm11-25_cation->neut,5.75,5.9355526,5.7475185,6.018203,6.6679664,4.94402,4.4797683,5.8379087,6.6172533,5.365181,5.581888,5.722296324643222
28,sm11-26_neut->an,9.24,9.534937,9.974871,9.912058,9.111011,9.867861,9.543024,10.106456,9.816577,9.3389435,9.830191,9.66144797932018
29,sm11-27_cation->neut,4.47,6.352421,3.6231499,4.059556,5.4146833,4.568906,2.8951855,5.3632445,3.5064602,4.159808,4.471065,4.444043568697842
30,sm11-28_cation->neut,5.95,5.612944,5.1059327,5.9909587,6.5996866,5.591056,4.845604,6.6020937,5.714099,5.9080644,5.8452015,5.796876404502175
31,sm11-29_neut->an,3.28,3.4983306,3.8992977,4.1547937,4.414538,4.108848,3.3403819,2.7314782,3.2783365,3.449275,3.4560785,3.601032563122836
32,sm11-30_neut->an,7.89,7.892246,9.214343,8.021154,8.890038,7.946331,7.785831,8.436083,8.295465,7.7660065,8.720273,8.259797325134278
33,sm11-31_neut->an,2.87,2.688233,2.4007072,3.779169,2.8399267,3.0391111,2.3923728,2.387671,2.679225,3.0668411,3.1101022,2.8412144721638075
34,sm11-32_cation->neut,6.64,7.7204156,7.618737,6.96731,7.235581,7.216053,7.9804597,7.9335656,8.491478,7.976143,7.8344736,7.601292405561967
35,sm11-33_cation->neut,6.79,6.620369,6.90585,5.7978096,6.599862,6.852047,5.6930137,7.2936687,8.234341,6.8406553,6.5251923,6.741164384321732
36,sm11-34_neut->an,4.04,3.9463882,3.9214258,4.617301,5.038761,3.7827072,3.1755214,4.26286,4.661624,4.490968,4.369836,4.2097629668495875
37,sm11-35_cation->neut,6.3,6.081997,7.0541916,6.3700576,6.4982557,6.3530235,5.176613,6.740208,7.7637486,6.327244,6.6029806,6.478938128731468
38,sm6-1_neut->an,9.53,10.549103,10.798104,10.701334,10.281376,9.655676,9.983393,9.481716,10.012124,9.149693,10.227051,10.033597190163352
39,sm6-2_cation->neut,5.03,5.6090145,4.7814,5.020661,5.0659423,5.421805,4.2457314,5.5290627,4.630419,5.018712,5.803897,5.105149510123513
40,sm6-3_neut->an,7.02,7.433187,8.017712,7.7802763,6.318614,7.644653,6.884316,6.7757516,7.509475,7.057379,6.9767637,7.219829734455455
41,sm6-4_cation->neut,6.02,6.8226194,5.976506,6.8804455,6.059225,6.191869,5.7268314,6.4693274,6.5873632,6.0636826,6.3037567,6.2819660377502435
42,sm6-5_cation->neut,4.59,4.967698,4.0117583,4.044439,4.160863,3.981063,4.653826,3.452227,3.158433,2.9621344,3.9141536,3.990599575042725
43,sm6-6_cation->neut,3.03,2.6815503,1.8517442,2.7167192,2.312046,2.787909,3.501667,2.9137554,1.4260712,1.5767345,2.561334,2.4872300650856713
44,sm6-6_neut->an,11.74,11.061373,11.803456,10.965335,10.896463,11.147054,10.35862,11.76553,12.388014,11.138415,11.379057,11.33121059070934
45,sm6-7_cation->neut,6.08,6.1077795,6.436622,6.1678753,6.1252866,6.003075,4.1966724,6.44083,6.137064,5.7798815,6.0033236,5.952582756389271
46,sm6-8_neut->an,4.22,4.1617126,3.6932764,4.2048864,3.352674,3.6611524,3.644479,3.6567988,5.463218,4.2934885,3.5950184,3.9951549850810655
47,sm6-9_cation->neut,5.37,6.1673617,5.120624,5.025117,5.795949,5.147767,4.6051316,5.7756157,5.336281,5.493018,5.6151624,5.404729766845704
48,sm6-10_neut->an,9.02,9.094542,9.569229,8.710583,9.1004505,9.191397,9.816699,9.192076,10.09744,7.804504,8.897116,9.135821344202215
49,sm6-11_cation->neut,3.89,4.644618,4.240242,4.8293257,4.198288,3.6793141,3.2570775,4.6549973,4.0305777,3.9834414,4.0526457,4.132775210467252
50,sm6-12_cation->neut,5.28,5.8203387,4.5896473,5.0908194,5.832467,5.026565,3.6092484,6.3971667,5.750704,6.0670557,5.294096,5.341646197058938
51,sm6-13_cation->neut,5.77,6.194626,5.479662,6.64522,5.1938844,5.9932823,5.2465844,6.2395706,6.3747787,5.2757998,5.6135006,5.820628037886186
52,sm6-14_2cation->cation,2.58,3.2035713,3.0597677,3.3123467,3.0798035,3.147914,1.8941418,4.1253386,3.5578241,3.1544247,3.0051587,3.101844631975347
53,sm6-14_cation->neut,5.3,5.8456492,5.614489,5.516391,5.6828237,5.3702707,4.738288,5.999361,6.9306755,5.9643574,5.009473,5.6337980183688074
54,sm6-15_cation->neut,4.7,4.921445,5.13566,4.43353,5.1696806,4.168159,3.7121952,5.388523,6.3312106,5.1796246,4.45278,4.872073429281062
55,sm6-15_neut->an,8.94,9.8523655,9.62299,9.865234,9.499624,8.415957,8.421622,8.933512,8.777858,8.2264,9.366655,9.083838067488237
56,sm6-16_cation->neut,5.37,4.8752217,5.1630826,5.6771603,5.2744555,4.9972568,4.6978493,5.391735,4.780285,4.6835394,5.129318,5.094536705017091
57,sm6-16_neut->an,10.65,12.798761,11.173049,12.618643,11.505348,11.428721,13.48582,12.183178,12.006685,10.385245,11.884972,11.829129340431907
58,sm6-17_cation->neut,3.16,3.7169456,3.8603396,3.8063726,4.0050282,3.9624224,3.0086122,4.486195,4.0096035,3.160335,3.8040812,3.7254486872933126
59,sm6-18_cation->neut,2.15,2.976739,3.0836606,3.8120224,3.23924,1.53864,2.0568767,2.09445,3.068251,2.488861,1.8634963,2.5792942610653964
60,sm6-18_neut->an,9.58,9.086168,10.581877,9.508294,8.891726,9.589104,7.3025255,9.47153,9.5711975,9.9674,10.38619,9.448728308244185
61,sm6-18_an->2an,11.02,11.5087,11.614382,11.052103,9.926167,11.272191,9.778604,9.74584,10.873211,11.231174,11.782255,10.891329723704944
62,sm6-19me_neut->an,9.56,9.573388,8.932787,10.240498,8.95528,9.20454,8.716933,8.714479,9.905075,7.8366795,8.444672,9.098575640591708
63,sm6-20_neut->an,5.7,5.7653704,5.063406,5.0207787,6.278677,6.87554,7.5547767,6.6627107,6.313799,4.8293324,6.0791473,6.013048882917925
64,sm6-21_cation->neut,4.1,5.0776863,3.6683192,4.2276993,4.2628946,3.9597702,3.441959,4.2146654,3.8656242,4.509424,3.8972085,4.111386437849565
65,sm6-22_cation->neut,2.4,3.1057072,3.18651,2.4401608,3.43669,2.9749966,2.1297066,3.30407,1.2374444,2.7493074,2.8710284,2.712329227274114
66,sm6-22_neut->an,7.43,7.0770335,7.7501516,7.28563,7.83678,6.618691,7.4968653,7.565866,9.363909,7.0859303,7.141718,7.513870428258723
67,sm6-23me_cation->neut,5.45,6.4277577,7.067516,6.0181503,5.8558116,5.4643006,4.7599564,6.2001424,6.274184,5.345104,5.51853,5.852859384363348
68,sm6-24_cation->neut,2.6,4.1639423,2.981545,4.543558,3.4688702,3.079308,3.2679086,3.5335002,3.100717,3.0057435,4.087275,3.439306181127375
69,sm7-25_neut->an,4.49,4.8995347,5.2465715,5.2922754,5.4485745,5.5049386,5.3840427,4.463035,5.903695,4.8776903,5.5257635,5.185101963390004
70,sm7-26_neut->an,4.91,6.345661,5.876363,6.337289,6.4423385,6.0145397,7.8437457,4.971832,7.6089783,5.735491,5.9946203,6.1891689005765045
71,sm7-27_neut->an,10.45,11.000162,11.025163,11.53138,13.089195,10.898713,11.9899,11.164862,11.901533,10.786016,11.237926,11.370440847223456
72,sm7-29_neut->an,10.05,11.461568,11.799614,10.560616,12.469608,11.315178,13.247344,11.806728,12.634586,10.504857,12.06018,11.628207189386542
73,sm7-30_neut->an,10.29,9.870496,9.658813,10.023363,10.4549885,9.724847,10.022902,10.035538,9.187063,9.649265,9.964197,9.898315693248401
74,sm7-31_neut->an,11.02,10.4976425,10.375082,11.430681,12.657412,10.590269,11.54876,10.870052,11.335556,10.289992,10.713119,11.02986964485862
75,sm7-32_neut->an,10.45,9.990001,9.889664,10.126536,11.0695095,10.322007,11.332362,11.300499,13.099668,10.735888,10.164632,10.770978684858843
76,sm7-34_neut->an,11.93,10.546607,10.252523,11.679405,12.56333,10.598501,10.178282,10.231727,11.057552,9.957725,10.766422,10.887461287758567
77,sm7-35_neut->an,9.87,9.88284,9.878958,9.82231,11.054684,10.542139,11.903997,10.742077,11.619562,9.743125,10.180714,10.476400559165262
78,sm7-36_neut->an,9.8,9.374233,8.179962,9.454918,10.030438,8.885228,9.098474,9.410629,9.888445,9.240643,9.181319,9.322208127108487
79,sm7-37_neut->an,10.33,9.946428,9.037659,10.616518,11.348977,9.718779,9.469861,8.838698,9.8182745,9.485875,9.593267,9.836757926940917
80,sm7-38_neut->an,9.44,10.087967,9.177676,9.934607,10.767445,9.471514,10.475125,10.308151,10.408788,9.512035,9.566439,9.922704214616255
81,sm7-39_neut->an,10.22,8.750538,8.493218,10.199832,9.206331,8.859489,8.887271,9.30023,10.148721,9.294289,8.233196,9.235737776322798
82,sm7-40_neut->an,9.58,9.89385,9.778391,11.002391,11.517744,9.749819,9.814985,10.062574,11.134182,9.929819,9.228038,10.15379941073331
83,sm7-41_neut->an,5.22,6.515836,6.142628,5.582214,6.55818,5.8458905,5.781023,5.223453,6.9210205,5.8805685,6.501136,6.015631738142534
84,sm7-42_neut->an,6.62,6.6072817,5.8761353,6.2766933,7.0236764,5.604814,6.506242,5.844131,6.203623,5.5684595,5.798654,6.175428184162487
85,sm7-43_neut->an,5.62,6.9893847,6.054496,7.1282196,6.9578276,6.8476257,8.031255,6.093368,8.443248,6.0758896,7.1444407,6.853250383897262
86,sm7-44_neut->an,6.34,8.739367,8.124287,7.2574825,8.315116,7.6061935,9.188719,7.9482675,8.231594,7.3395915,8.110418,7.927366849725897
87,sm7-45_neut->an,5.93,8.191676,6.803821,7.3547897,7.728296,7.151669,6.657875,6.7722754,8.169776,6.9448156,7.0108485,7.155985674424605
88,sm7-46_neut->an,6.42,8.550447,8.227018,7.4209447,8.441879,7.5272813,8.853578,7.4691834,8.721273,7.4737935,7.915365,7.9109785704179245
89,sm8-1_neut->an,3.99,4.0809593,4.465239,4.736602,4.9092813,4.810161,4.1566133,3.1054125,5.0427046,4.0365486,4.067809,4.309211881810969
90,sm8-2_neut->an,4.5,5.6482296,4.2348757,5.1781416,5.2981396,4.518084,3.330607,4.9571767,5.6812363,4.5974064,4.1772633,4.7382872754877265
91,sm8-3_neut->an,4.0,3.4537172,3.4866304,4.2117457,4.348771,3.7903914,3.8007622,3.9912825,4.4212685,3.6990995,3.6429467,3.8951468467712402
92,sm8-4_neut->an,5.77,4.686819,5.064892,4.315942,4.2784357,4.820776,3.7721286,4.4402547,4.9402094,4.24221,4.7060065,4.639788499311967
93,sm8-5_neut->an,4.23,4.1492314,4.8517914,4.6848745,4.117449,4.6754107,3.9142566,3.4640536,4.601321,3.8369894,3.8342075,4.214507751464844
94,sm8-6_neut->an,4.17,3.9350343,4.1930213,4.899829,5.0840235,4.1868086,4.439894,4.1065106,4.904627,4.561751,4.03851,4.410909905867143
95,sm8-7_cation->neut,6.63,5.978305,6.1727514,6.7578955,6.354162,6.4217806,4.807595,7.0983534,7.5556517,6.2780437,5.9653616,6.365445430062033
96,sm8-8_cation->neut,2.78,3.7824683,1.6031675,1.274951,1.7122669,1.6537519,0.41145277,3.354237,0.54960823,1.8183007,1.8228278,1.8875483842329546
97,sm8-9_cation->neut,6.08,6.782116,6.8348126,7.1795025,6.7715235,5.909925,4.935116,7.1574073,7.743066,6.7502775,6.59437,6.612555987618186
98,sm8-10_cation->neut,7.71,7.8245525,9.2344475,7.6984887,8.3631,8.129625,6.601138,8.533059,9.173418,7.5201197,9.523074,8.210093017924917
99,sm8-12_cation->neut,6.98,6.9494104,7.134637,7.404104,6.9786596,6.362134,6.30296,7.087722,7.5670495,7.0206943,6.778722,6.960553861097856
100,sm8-14_cation->neut,7.27,6.7470293,6.842611,7.1851664,7.426431,5.678146,6.1107044,6.7264414,7.183258,6.8987675,7.0970907,6.833240510767156
101,sm8-15_cation->neut,2.54,2.1667156,2.069714,1.5459223,2.4178038,2.42057,0.3567853,2.389604,1.9923873,1.9911733,2.286255,2.016084587790749
102,sm8-16_cation->neut,5.1,5.2094464,6.2475224,6.31497,6.145334,5.3444924,5.5041213,5.643179,6.576555,5.300404,5.258499,5.69495665810325
103,sm8-17_cation->neut,6.58,7.581949,7.1606174,6.865903,7.3654943,6.9986205,5.3140287,7.632305,7.8496766,6.632098,6.5832033,6.960354205044833
104,sm8-18_cation->neut,2.72,2.4494343,1.6599503,1.9582801,1.8439627,1.9609547,0.92235065,1.8665504,2.0804062,1.5468359,1.814117,1.8929856447740034
105,sm8-19_cation->neut,4.93,5.3348804,6.378399,6.0259037,5.958935,4.0773344,4.75173,6.0492454,5.5192423,5.371332,5.8450966,5.4765544093738905
106,sm8-19_neut->an,6.99,7.920976,6.0549126,7.3930187,7.3913403,7.176918,6.7138996,6.609779,7.0777464,7.5450954,6.3513145,7.020454600941052
107,sm8-20_cation->neut,2.44,3.438381,2.478664,3.2264273,2.1639762,1.3353477,1.3970401,2.816164,2.977103,2.9840755,2.4649565,2.520194113471291
108,sm8-20_neut->an,11.44,13.426421,12.02356,13.662097,12.12696,12.012459,11.1421585,13.1803665,13.451056,12.626196,12.121136,12.47385531685569
109,sm8-21_cation->neut,5.38,6.0380363,5.935594,5.5798054,5.668744,5.075784,5.450685,5.596109,5.1656165,5.7342386,5.7247186,5.5772119764848185
110,sm8-22_cation->neut,2.57,2.8463407,2.7106423,2.5949593,2.6485672,2.8204803,1.9612176,2.9121408,2.4224918,3.166383,2.7108302,2.669459392374212
111,sm8-23_cation->neut,2.65,2.419353,3.0519075,2.1537886,3.551469,2.77141,2.2006915,2.46072,2.523053,3.0265067,3.0080028,2.7106274604797362
112,sm8-23_neut->an,9.02,10.134712,10.056885,10.453786,9.714027,9.201534,9.395132,9.035072,10.019555,8.779022,9.100757,9.537316627502442
