,compn,exp. pKa,pKa predicted by models:4-2,pKa predicted by models:4-3,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:5-2,pKa predicted by models:4-7,pKa predicted by models:4-6,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:4-0,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:4-1,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:5-1,pKa predicted by models:6-0,consensus
10,sm11-11_neut->an,3.73,4.8552456,4.403305,5.0158825,4.376483,5.7359023,3.8487258,4.932193,4.6905975,4.248764,4.1624565,4.8133144,4.069751,5.1299896,4.7808976,5.229227,4.8078766,4.2657948,4.4420056,4.70599,4.6393914,4.4982276,5.8230085,4.5997252,4.9656887,4.3622932,4.720303,5.0921636,5.444738,5.202759,4.7197566502889
11,sm11-11_cation->neut,1.67,1.089148,0.44677353,1.4787903,1.3578458,1.7546823,1.8281896,0.6948824,1.4142704,2.4903598,0.8298359,1.5439463,1.1255717,1.6261778,1.0658517,2.1936703,1.511744,1.4301062,2.0254614,2.07253,1.5073533,1.062232,1.4141517,0.91508245,1.1720676,1.2138143,1.8181753,2.5331411,1.5729339,2.7777894,1.5212192827860516
12,sm11-12_cation->neut,1.98,1.2438097,0.928493,2.2746015,1.5016885,2.5835497,2.162936,0.59766006,2.7183654,2.5949209,1.1427212,2.1242213,1.7649751,1.7119265,1.270175,1.6728449,2.4017673,2.2488012,2.0022762,2.7479572,2.275934,1.7402787,1.8823037,1.2956553,1.7120657,1.1875687,1.7010832,2.5342064,1.0826893,2.6000757,1.856185038248698
13,sm11-12_neut->an,3.67,4.354855,4.7099113,4.330222,4.533535,5.37582,5.15442,4.79902,5.559619,5.1969237,4.682428,4.8742514,5.2644525,5.9909096,4.110614,4.2056003,5.0127034,5.256938,4.7592735,3.9790606,4.246202,5.1440687,4.704585,4.995473,5.4678707,5.1232004,4.0533843,4.762387,4.5398617,4.5996704,4.781908668518067
14,sm11-13_neut->an,8.15,8.917419,8.284141,8.81781,9.1148,8.731789,8.456481,8.810434,8.111017,9.11162,8.248026,9.63129,8.618071,8.86203,8.259508,8.746576,8.541355,8.223457,8.39369,8.731655,9.834841,8.783507,8.683416,8.0287,8.238895,8.075883,8.533911,9.009168,8.682075,8.902571,8.65113790512085
15,sm11-14_neut->an,7.41,9.269951,7.392562,8.929203,8.89659,8.523253,8.4185295,9.174831,9.000598,8.558361,7.644749,9.003699,7.904555,8.47047,9.031387,8.489876,8.277746,7.992219,8.340027,9.17957,9.764775,8.552332,8.880793,8.675562,8.401701,9.235697,8.0062065,8.380705,8.759812,8.23876,8.560150723775227
16,sm11-15_neut->an,5.18,5.4623103,5.4011674,6.5932035,6.3391166,6.000102,4.900047,6.049017,5.6292076,5.9033766,5.389459,6.5325193,5.7161093,5.6661777,5.825334,5.238015,4.990195,5.4532075,5.5372868,6.3508406,7.3284774,6.9120398,6.1212163,4.533804,5.7134843,5.8185287,6.083716,5.932047,5.014056,5.6169205,5.774366066614787
17,sm11-16_neut->an,9.46,9.785131,9.227751,11.024277,10.2162,9.544954,9.069759,9.1229725,9.516902,9.627033,9.18515,11.537838,10.094244,9.331136,9.468106,9.990241,9.100528,9.153277,9.145859,9.239117,11.625417,9.9278755,9.232565,9.349636,9.230452,9.351812,8.891524,9.365019,9.622611,10.065076,9.650082110087078
18,sm11-17_neut->an,3.79,3.940402,4.126415,3.4973788,4.036536,3.8143682,4.0406055,3.5285187,3.779366,4.0428147,3.927885,4.297779,3.522283,3.5652952,4.264492,3.5900924,3.657959,4.130246,3.7307575,4.1269407,4.2694235,3.765944,3.5352,4.2245398,3.75211,3.2922845,3.5465565,4.241415,3.465045,3.8665423,3.8456398658752438
19,sm11-18_neut->an,8.96,9.082699,9.194511,9.286436,8.400288,9.326797,9.06445,9.238014,9.057471,8.865526,8.898763,9.540252,9.726829,9.25953,9.198077,9.188347,8.854454,8.697527,8.95502,9.737482,9.598867,8.7539215,9.263383,8.935665,8.62537,9.55485,8.863741,9.680094,9.374791,9.147296,9.144348365783692
20,sm11-19_cation->neut,6.76,6.2048345,6.7112403,7.139748,6.4764175,7.879157,7.4024124,5.829621,6.8528004,7.523094,7.017716,8.089161,5.591504,7.928056,5.781018,7.199138,6.9789658,8.026401,6.3159866,7.8303156,7.291922,6.1242085,7.914775,6.1547856,6.2711577,7.816241,7.8617806,7.023272,6.0229387,7.627616,6.988209446589152
21,sm11-20_neut->an,4.24,4.702757,4.5113416,4.5678363,4.558865,5.4307,4.6420445,4.501819,3.9619172,4.914879,4.197825,4.677969,4.566731,5.269212,4.6832285,4.218938,4.799059,4.35654,4.1731195,4.786216,4.6711106,4.300249,5.42323,4.3156524,4.808765,4.144497,4.1678414,4.32392,4.1408663,4.752493,4.560320710817973
22,sm11-21_neut->an,3.05,4.6197405,4.4612684,4.3072395,4.8545494,3.3323822,4.712963,4.624435,3.9471807,4.715863,4.1235576,4.1121693,4.3306265,4.052471,5.471635,4.5147796,4.185566,4.7583985,4.190037,4.4766073,4.5948143,4.9394107,4.2309146,3.1873422,4.8740067,3.93855,4.293038,3.6364436,2.713831,3.582634,4.2277484830220535
23,sm11-22_neut->an,8.93,9.50782,8.486538,10.516624,9.691851,8.714925,8.883751,9.217033,9.199224,9.78216,8.065302,10.474041,10.008021,8.922049,9.029665,9.09708,8.692942,8.864986,9.152277,9.214626,10.476513,9.940472,8.779958,9.451991,8.053569,9.07213,9.1287,8.296661,9.590755,9.033298,9.209165435791016
24,sm11-23_neut->an,3.16,3.8558803,4.026654,4.1284804,3.3641844,3.8459425,4.9826217,3.9294212,4.0767646,4.1064816,4.001964,3.8344316,3.1850586,4.5486794,3.9722948,5.376974,5.495861,4.1404023,4.060234,4.113676,3.5474997,3.054862,3.4945269,4.412508,5.7196393,4.609915,3.7111773,5.3464756,4.2049274,5.6259604,4.197783260663351
25,sm11-23_cation->neut,3.16,1.8299317,1.5315695,2.2195864,1.5994363,1.7298832,2.1614087,1.1770792,2.104269,2.2940032,1.1297679,2.453434,1.697907,1.6201682,1.7855449,1.3352253,2.1231914,1.3516803,1.9369724,1.933656,2.7834206,1.561554,1.3001251,1.3733411,2.123374,2.015345,2.2048616,2.4074903,1.4696937,1.4216571,1.8611858975092568
26,sm11-24_cation->neut,7.63,7.8232627,6.385195,8.154981,7.110887,7.64573,7.874822,7.155541,7.9319677,6.5140867,6.3845263,8.361406,7.060851,7.4011126,7.726772,7.6577973,7.2405033,7.3161497,7.394063,6.644619,7.6510935,7.550262,7.403555,7.253641,7.287318,7.9361115,6.7773223,7.4876995,7.248289,6.8126097,7.360739163716634
27,sm11-25_cation->neut,5.75,5.927347,5.268886,5.8222713,5.6501737,5.8993998,6.789484,5.636074,6.4778767,6.477612,5.2198415,5.8022594,6.064706,5.6069255,6.46245,5.3701997,5.713973,5.3718615,5.636831,6.238476,5.976454,5.7882347,5.607131,5.3763375,5.3689857,6.229621,6.0809965,6.3761406,5.206615,5.5772195,5.825812768936157
28,sm11-26_neut->an,9.24,9.601039,9.151462,9.933748,9.25966,9.07556,9.66657,9.226936,9.91414,10.168413,8.753143,10.700098,8.548206,9.163847,9.389601,9.619562,9.365512,8.190466,9.729149,9.786216,10.625677,9.001451,9.316387,9.892678,9.642567,9.967492,9.677619,10.093667,10.269629,9.891179,9.56205575434367
29,sm11-27_cation->neut,4.47,5.225014,3.1614866,3.8684187,5.279814,3.9414716,4.5856037,4.760825,3.9842968,4.964074,4.2856383,4.1587796,4.849491,3.6453276,5.0562363,4.7692766,4.472022,4.837329,4.4943705,4.2082233,4.2672334,3.576456,3.9932108,5.3539696,4.3304515,4.660861,4.580222,4.6266203,4.3601084,5.3986287,4.472182026545207
30,sm11-28_cation->neut,5.95,5.472865,5.0892835,5.3078566,6.236695,6.0189977,6.13831,5.512265,6.5192566,5.77349,4.6248302,5.7136908,5.2959747,5.8242874,5.3489656,5.5446773,5.401705,5.607237,5.7576046,6.2888937,5.1285915,5.7370896,6.2935867,5.9732857,5.7286487,5.856313,6.5408134,6.413888,5.242832,6.730772,5.769090213775635
31,sm11-29_neut->an,3.28,3.6468024,2.9527044,3.754179,3.9751768,3.6797523,3.1332006,3.873198,3.487307,3.6190462,3.3755927,3.533247,3.6930957,3.4006505,3.9955363,3.6933932,3.2704782,3.5828314,3.6634016,3.554647,4.0648165,3.897138,3.4021387,3.5343142,3.4021873,3.157383,3.3272357,3.6825385,3.6595378,3.606718,3.5632749487559
32,sm11-30_neut->an,7.89,7.9558425,8.823269,8.293675,9.2275095,7.913142,7.5165844,7.8526087,8.3977585,8.416788,9.109749,8.326564,8.994671,8.184064,8.489669,8.0871,7.2859573,9.305267,8.38821,9.075397,8.629595,7.9611025,8.398334,7.9666495,7.6443586,8.559739,7.8873057,7.483725,8.305555,8.366826,8.29123387781779
33,sm11-31_neut->an,2.87,3.2030911,2.797759,3.448379,3.4780774,2.6696968,2.3536458,2.6445441,3.0175369,2.654323,2.5696244,3.4705925,3.0890503,2.8877277,3.1573973,2.9777768,2.1354098,3.0353084,3.12953,2.5643234,4.2241173,3.291573,2.3781013,2.5666647,2.9195886,2.8406856,2.323688,3.5932703,3.3408642,3.2059374,2.9612761456171675
34,sm11-32_cation->neut,6.64,7.402573,7.1563044,7.1336164,7.958618,6.7674847,8.417582,8.161811,8.626637,8.262836,7.1352224,7.850045,7.8769426,7.296791,8.262239,7.9270096,7.8457494,7.8920107,8.18054,7.45998,7.999918,7.937773,7.1652746,7.8693733,6.864582,7.5683594,7.857995,7.2244005,7.3040957,7.9128623,7.665287594477335
35,sm11-33_cation->neut,6.79,6.405033,7.454006,7.250961,6.3963,6.8583183,6.9772844,6.6096783,7.366064,6.6788135,6.568599,7.5028625,6.264825,6.6691933,7.260424,6.352191,6.5487185,6.9384146,6.704451,7.158302,6.9081564,6.4734917,7.4663057,5.6692915,6.131652,7.5521464,7.336104,6.971829,5.6143675,6.549951,6.780924480438232
36,sm11-34_neut->an,4.04,4.7373695,4.3323717,3.9195356,4.569212,4.5503407,4.4581895,4.0748444,4.10608,4.27582,4.026299,5.05008,3.9602804,4.1324964,4.565166,4.0442357,4.68788,4.123841,4.2238383,4.6343937,4.594643,4.2322817,4.3482237,4.4791417,4.91357,3.5170207,3.9322004,4.557407,4.4064465,4.3062787,4.326649555842081
37,sm11-35_cation->neut,6.3,6.512708,6.6126976,6.3682303,6.2908897,6.431838,7.329223,6.6200895,7.113956,6.492917,6.311231,6.6579905,7.047888,6.2059755,6.5681477,6.049455,7.3094645,6.7818494,6.4615064,6.38643,7.153756,6.5826592,6.1878986,6.7056637,7.563643,7.357043,6.468507,6.304203,7.0962305,6.871332,6.6714474455515544
38,sm6-1_neut->an,9.53,10.255872,9.614132,10.477781,10.375729,9.631048,9.650605,10.103416,10.15341,9.804945,9.527462,11.116187,10.372631,9.870235,10.432435,10.2128105,9.80867,9.757873,9.890044,9.6584635,11.576439,9.90525,9.831327,9.696453,10.05341,9.808214,9.212032,9.98262,9.645933,10.563003,10.017281032562256
39,sm6-2_cation->neut,5.03,5.411063,5.1894536,5.9829483,5.5111303,4.7923946,5.393708,4.7834787,5.59337,5.009465,5.639179,5.8585014,5.455263,5.230627,5.0321774,5.508581,5.5176907,4.465466,4.8182364,5.152281,5.8661346,5.2862177,4.5971193,5.1654067,5.2600546,5.3753834,4.6453967,6.0139856,5.049364,5.84512,5.282639941533406
40,sm6-3_neut->an,7.02,7.0901847,7.9322777,7.2144513,6.597988,7.184717,6.7796,6.399763,7.528054,6.8944044,7.377464,7.446515,6.2993326,7.402027,7.438387,6.587207,6.337888,7.8787985,6.816787,6.1657896,7.311086,6.2057467,7.53419,7.4967604,7.445657,7.864567,6.469786,6.617065,6.6127295,5.8783655,6.994252968470255
41,sm6-4_cation->neut,6.02,6.533643,5.9763737,7.109008,6.1206126,6.287895,7.0529776,5.75842,7.521806,5.9881077,5.7800155,6.382771,6.3283005,6.0306196,6.215715,6.4994526,6.452682,5.7846017,6.383885,6.024783,6.8335457,6.305895,5.5851808,6.363267,6.3206463,6.915066,5.8185997,6.050269,5.98137,6.485929,6.297047901789346
42,sm6-5_cation->neut,4.59,3.7474432,3.7535138,3.1983767,4.243661,3.2898698,3.1036005,3.338639,4.459599,3.4265401,3.868763,3.7222776,3.902487,4.329884,4.182584,4.9103174,4.172529,4.3540573,4.054681,3.4791653,3.69339,3.8744385,3.7366946,4.8769226,3.5621476,3.932036,3.1392293,3.4626694,4.7812357,4.0666046,3.9084452260335287
43,sm6-6_cation->neut,3.03,2.1731262,2.533545,2.190239,2.3511777,2.2710757,1.7634401,1.0864048,2.0519466,2.7588294,2.4627304,2.8091822,2.0500994,3.2007227,1.9062781,3.7306066,1.5168257,3.22556,3.0869467,2.6147363,2.349679,2.0355377,2.6939516,3.1019473,1.6338992,2.457701,2.145701,1.7723951,2.79542,2.0886416,2.396278199513753
44,sm6-6_neut->an,11.74,10.808156,13.765186,12.326564,11.441875,10.841665,12.058139,10.467923,12.65938,10.605721,12.681052,11.981959,11.539062,10.582312,10.958255,11.383298,12.6819725,13.252618,12.16843,12.066467,12.840282,11.476881,10.810361,10.385298,12.798061,12.593236,11.302629,11.69728,9.99461,10.827358,11.691201090494792
45,sm6-7_cation->neut,6.08,6.0909657,5.333446,6.976276,5.353542,5.8055744,6.8460813,5.9184823,7.12846,5.5716906,5.816974,6.7109523,5.8461504,5.9533043,5.9827695,5.761772,7.0142384,5.6569448,5.797234,5.963639,6.6474056,5.9308825,5.9375,6.342755,6.3040824,6.3817554,6.2872915,6.088278,6.8187866,6.0373564,6.146152991612752
46,sm6-8_neut->an,4.22,3.4697528,3.5317707,4.686051,4.523389,4.1375856,3.9911585,3.2456608,4.0145855,4.034215,3.233644,4.5641375,4.0808454,3.599368,3.5033145,4.579471,4.3843474,3.783362,4.0993695,3.7426133,5.077684,3.9385586,3.8513079,3.8291798,3.9127831,4.1018486,3.9243999,4.434079,4.068635,3.721559,4.009489209493001
47,sm6-9_cation->neut,5.37,5.5791597,5.027146,5.7123785,5.0390763,5.2922883,5.433318,4.9731035,4.83334,4.9364395,5.461552,5.8411646,5.8020554,5.1871796,5.216801,5.2876973,4.8715267,5.414732,5.14884,5.3342466,6.2411017,5.760708,5.398001,4.8850217,5.069951,5.603262,5.050302,5.862038,5.1733537,4.9080906,5.323795846939087
48,sm6-10_neut->an,9.02,9.131609,9.262484,9.455309,9.19434,9.718435,8.405341,8.622287,8.977992,8.701524,9.037104,9.367893,8.482601,8.929369,8.577183,8.900169,8.796429,9.151749,8.588518,8.277258,8.943496,9.237432,9.701971,8.223833,8.363724,9.591565,8.67208,9.269029,8.6353655,9.661261,8.963244931538899
49,sm6-11_cation->neut,3.89,4.3887815,4.0138574,4.567215,4.1467113,4.043928,4.072725,3.7637503,4.1502647,4.7614756,4.033078,4.590538,4.0994973,3.5399199,3.547482,3.7579093,4.1058335,4.2050095,4.5295534,4.1769133,4.586943,4.0029516,3.3789673,4.417062,4.1882124,4.1607957,4.068984,3.440896,4.3496833,3.7862735,4.092173731803894
50,sm6-12_cation->neut,5.28,5.627743,4.4550033,5.9781766,4.93789,5.5992146,5.474922,5.001109,5.0900965,4.4560328,4.3481407,6.772274,5.5796294,5.271969,5.1694016,4.9992642,5.2487493,5.5099506,4.8952594,5.326005,5.841181,5.8321447,5.2924185,5.2297935,5.6490326,5.3003616,4.7295656,5.8414726,5.159622,5.102583,5.299966868718466
51,sm6-13_cation->neut,5.77,5.977048,5.906033,5.831358,5.853917,5.942048,6.1309423,5.2120323,6.425643,5.2416563,5.8446364,6.104034,5.488726,6.294485,5.9895177,5.7212043,6.165099,5.7624855,6.480716,5.4710407,6.3835645,5.553912,6.0627003,6.0459824,5.459137,6.441934,5.0293617,5.239651,5.5523186,4.894613,5.809193262100219
52,sm6-14_2cation->cation,2.58,3.021577,2.8698416,2.8338506,2.9425511,2.7526455,3.8731709,3.116734,2.638305,3.5187814,2.9540834,3.0449116,3.1770186,2.880963,2.8982155,2.8273067,3.5307684,2.9799793,2.384041,3.5124652,3.0227394,3.2591963,2.7542672,2.8038058,3.284153,2.8760529,3.2972403,2.7584314,2.8709164,2.858084,3.004069887161255
53,sm6-14_cation->neut,5.3,5.3325663,5.3550744,6.088463,5.6018686,6.0470533,6.401129,5.5868106,5.5547256,5.475197,5.3846674,6.107745,6.0245094,5.635331,5.461698,5.3182,6.000524,5.7349496,4.414171,5.2990713,6.0411816,5.6843557,6.06733,5.4162006,5.7491875,6.416381,5.459605,5.851458,5.712446,5.9408517,5.682091738382976
54,sm6-15_cation->neut,4.7,4.681566,4.562644,5.609718,4.2752743,4.8286433,5.668744,4.9293957,5.309435,4.209918,4.7836523,5.5365067,4.800557,4.608654,4.8231187,4.700914,5.1473627,5.115626,4.1623526,4.4019175,5.432684,4.5728965,4.688444,4.8702135,5.041072,5.9708385,4.385886,5.125919,4.442355,4.7470903,4.8711132907867425
55,sm6-15_neut->an,8.94,9.5649805,9.003973,9.822556,9.698582,9.5246315,8.534138,9.415602,8.537626,9.386175,9.063267,10.352892,9.460674,9.830963,9.7209,8.868841,8.869539,9.013647,8.482203,9.096842,10.724784,9.285696,9.266868,8.9225235,9.331829,8.353605,8.599939,8.819384,9.008921,9.421633,9.23077374903361
56,sm6-16_cation->neut,5.37,4.8363657,5.5478683,5.56256,5.2253623,5.03183,5.930895,4.7135878,5.151864,5.525752,5.078394,5.060258,5.2381563,5.0704966,4.5318346,4.325028,5.7661223,5.2662277,4.96513,5.1915007,5.5188804,5.380824,4.9692874,5.111706,5.369703,5.6539516,5.307218,4.731881,4.6856356,4.3821297,5.150014976501465
57,sm6-16_neut->an,10.65,11.470247,11.494315,11.810858,11.46489,11.622336,11.176065,11.498367,12.469434,10.659049,11.839165,12.117507,11.793606,11.867984,11.950487,11.664506,10.954591,11.442305,11.518414,11.378999,11.555024,11.949738,11.869447,11.639058,11.629078,12.408424,11.595837,11.4876995,12.24971,11.289691,11.617227662404378
58,sm6-17_cation->neut,3.16,3.8067722,3.2933626,4.619916,3.8360863,3.6563609,5.0888615,3.51288,3.321351,4.136589,3.8803706,4.459999,3.681828,4.163783,2.8641357,3.4907527,4.573279,3.7771115,3.6053011,3.9945056,4.8961773,3.6922882,3.2873354,3.5060866,4.187998,3.962253,4.162012,4.1332855,3.304799,3.1383214,3.8397934169769288
59,sm6-18_cation->neut,2.15,2.5829725,3.2188091,2.9842634,2.276422,2.8167996,3.2574058,2.3665898,2.7841353,3.1774237,2.9116683,3.4492986,1.9211793,3.0798686,2.442832,2.3383555,2.2618465,2.6013489,2.6615381,2.8573544,3.063513,2.8307822,2.4748342,2.545646,2.7185657,2.4456947,2.605336,2.1655068,2.6784713,2.632692,2.6767051188151045
60,sm6-18_neut->an,9.58,9.026546,11.180546,10.500936,9.005649,8.355461,8.273537,9.4309,9.39312,9.389276,10.174709,9.501149,9.90309,8.630216,9.311304,8.563916,8.797588,10.841615,8.837327,10.108579,9.088995,9.605604,8.594999,8.753035,9.50697,9.079544,8.776184,9.369477,8.894026,8.985073,9.315312292734781
61,sm6-18_an->2an,11.02,10.775316,12.174686,11.2734585,10.437736,10.593365,10.999095,9.304956,11.108289,10.691298,12.005474,10.058886,10.930419,10.979321,10.752939,10.69618,10.393173,11.858753,10.217901,10.790343,10.775436,10.488695,11.362366,10.841611,11.284276,11.201878,10.338686,11.563653,11.299738,11.972976,10.939696773529052
62,sm6-19me_neut->an,9.56,8.67024,8.24144,9.140879,9.38834,8.79436,8.721266,9.298851,9.451831,10.143951,8.469278,9.618213,9.3273945,8.675643,9.124271,8.143204,8.926834,9.242958,9.683698,9.659658,9.28124,9.381367,8.915354,9.155439,9.174839,9.9759245,8.771778,7.7937927,9.47222,7.6345153,9.061292682011922
63,sm6-20_neut->an,5.7,6.0507717,6.135751,4.866262,5.869208,5.052099,5.5789385,5.4336777,6.454705,5.5225754,6.253472,5.3651285,4.9406447,5.320735,5.724408,7.1038103,5.076508,6.6655245,6.506608,5.506141,6.963196,5.7500124,6.317437,6.5336227,6.203489,6.160362,5.570351,6.7919693,6.782133,5.8323183,5.934395303726196
64,sm6-21_cation->neut,4.1,4.8772726,3.914984,4.4642158,3.907195,3.7169049,4.701807,3.4770858,4.0620103,3.8764386,4.0748105,4.3523273,4.263119,3.8339972,4.585495,3.2700667,4.4011536,3.8846614,3.8783975,3.596061,4.243266,3.9796515,3.6636703,3.697587,4.193879,4.34484,4.3371773,3.9470277,2.9708767,4.5997086,4.040522928237915
65,sm6-22_cation->neut,2.4,2.1815763,1.3587718,2.4598904,3.8125448,4.076191,4.0644193,2.5803072,3.463592,2.274945,1.1589065,2.9272857,4.0271006,4.50832,2.905272,3.5495932,3.0733733,2.247191,2.9102952,2.897184,3.125305,3.0287213,4.768035,2.189797,3.1588535,3.4263058,2.8724055,3.0697954,2.1912627,3.0122252,2.990648838678996
66,sm6-22_neut->an,7.43,7.0038714,7.9348793,7.5140185,8.471719,7.958085,7.4263153,6.9119415,9.6550045,7.4637985,6.796035,7.0924263,7.746793,8.046439,7.0621967,8.124866,7.469683,7.5292563,9.063219,7.4674854,7.1415377,8.142059,7.9499607,7.620064,7.566045,8.814468,7.9668174,8.117267,7.554834,8.338922,7.779333549499512
67,sm6-23me_cation->neut,5.45,5.609276,7.007869,6.241283,5.0094347,5.838749,5.032588,5.4226956,6.18432,4.9595366,6.6072254,6.6006083,5.2635975,5.8182163,6.058786,5.9748907,4.7493625,6.6302423,6.5068746,5.6324263,6.548316,4.841353,5.490999,7.2514973,5.148473,6.604675,4.726835,6.302999,6.6117287,5.7362957,5.862038412094116
68,sm6-24_cation->neut,2.6,2.6229448,3.3945026,3.5487604,2.485673,2.4939651,3.245375,3.1622138,3.8981705,3.199211,3.3005805,4.0976543,3.435462,3.2888322,3.4075189,1.9997606,3.2700958,4.084446,3.3210754,3.113202,3.3200483,3.1383095,3.1610441,3.2403684,3.2512922,3.1712086,3.0417376,2.83313,2.828744,2.5759583,3.1510428222020463
69,sm7-25_neut->an,4.49,5.208532,4.902282,4.441195,4.842712,4.897095,3.9014244,4.6993275,4.701792,4.581068,4.3752813,3.9707623,5.2031536,5.1018195,4.560869,3.9243183,4.9425025,4.5282497,4.7507815,4.2355156,3.9017754,5.436161,4.7728977,4.6485734,4.633857,5.058866,4.000278,4.1214547,3.992344,4.6060977,4.581032871882121
70,sm7-26_neut->an,4.91,6.498263,5.1269026,5.6688566,6.5051413,6.151361,4.8220634,6.220438,4.952548,6.340885,4.8460064,6.05289,6.614105,6.3889456,5.7543607,5.539303,4.8844204,5.1294117,5.1552978,6.0867343,5.182929,6.368702,6.5100985,5.3969536,5.0027003,5.610283,5.4412193,5.25546,4.6680603,5.568606,5.621764839808146
