,compn,exp. pKa,pKa predicted by models:8-9,pKa predicted by models:5-2,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:6-0,pKa predicted by models:8-4,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:6-1,pKa predicted by models:7-0,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:8-1,consensus,std. dev.
10,sm11-11_neut->an,3.73,5.0027556,4.926154,4.141138,4.81933,4.071148,5.1216273,4.775937,4.8149214,4.2639914,4.423805,4.6982155,4.6436157,4.4979253,5.80684,4.3949075,4.119461,4.9685783,4.3428116,4.3245554,3.9814377,4.7196865,5.082161,4.8841734,5.031504,4.700251,4.742798,3.855649,4.9222736,4.047982,5.4336424,4.526042,5.2086296,5.0105653,4.861598,4.3734646,5.432221,4.887365,4.8013678,4.969677,5.204244,4.696693943302806,0.4490934472047201
11,sm11-11_cation->neut,1.67,0.1748929,0.680686,0.8048897,1.5709295,1.0923748,1.6509919,1.0537095,1.503519,1.4211249,2.0346656,2.0653274,1.5175738,1.0408602,1.4325581,0.9851117,1.3586855,1.1825166,1.2545395,2.0287352,0.7451272,1.8106482,2.5058777,1.6035976,1.8790469,1.5012393,1.7692156,1.3533258,0.22455883,2.4540682,1.5890515,1.68716,2.751555,1.6868033,1.3282471,1.6848576,1.5772371,2.4691408,3.0691705,1.3170202,1.1400313,1.528552966466764,0.5966173351620668
12,sm11-12_cation->neut,1.98,1.9881649,0.5838423,1.1276283,2.1119852,1.7538147,1.7334881,1.2202568,2.3665893,2.2113972,2.0020652,2.7531192,2.255961,1.7189355,1.9128156,0.7811737,1.3099394,1.7124951,1.1470394,2.353868,1.1636791,1.7002192,2.5055397,1.7146904,2.1620855,2.2964342,1.9402328,1.5509329,1.4094748,1.8749583,1.0638151,1.7723448,2.5952528,1.6757722,1.562005,1.9269581,1.4927049,3.2537975,2.7216587,1.1645894,1.2843337,1.801367264956963,0.555510374765993
13,sm11-12_neut->an,3.67,4.621077,4.809055,4.676459,4.849205,5.26895,6.004332,4.1085916,5.0007615,5.2496176,4.760361,3.9554663,4.2352023,5.1388702,4.7061787,3.9246774,4.9300203,5.4606977,5.101974,4.718306,4.8631115,4.0312634,4.7552724,4.272353,4.799933,4.9099073,4.8401556,4.1234503,4.3799458,4.6867437,4.5551715,5.0274262,4.5923567,4.5910277,4.6526413,4.057292,4.432973,3.821035,4.161213,4.452589,4.753746,4.632912436229427,0.467989055660202
14,sm11-13_neut->an,8.15,8.947061,8.808771,8.234777,9.620971,8.62879,8.865099,8.268361,8.537764,8.241285,8.370798,8.713346,9.848037,8.797322,8.700942,8.453232,8.363619,8.242368,8.062182,8.884256,8.531654,8.5455475,9.011939,7.9876604,8.993614,8.994979,8.005332,8.933049,8.165784,8.235111,8.669522,8.310319,8.91654,8.4198475,8.101133,8.655918,8.155114,8.63746,8.366858,8.53427,8.321145,8.566628744544053,0.3986679974376863
15,sm11-14_neut->an,7.41,9.370574,9.169719,7.640514,9.008147,7.9171257,8.484235,9.017437,8.277203,7.989222,8.340838,9.184791,9.760934,8.5490885,8.88973,9.044589,7.6937,8.399464,9.230911,9.026529,8.626966,8.003902,8.368206,8.606541,8.544571,7.860931,8.242483,8.819294,8.159748,8.600113,8.772051,8.351209,8.239119,8.395958,8.003681,8.42059,9.121853,8.173226,8.106594,8.487997,7.9362803,8.493806458915152,0.5109577782982907
16,sm11-15_neut->an,5.18,6.426533,6.080429,5.3858056,6.5338497,5.7352095,5.671133,5.8158793,4.9741516,5.4552298,5.5405793,6.330388,7.340373,6.9274197,6.0945406,5.673725,5.9367375,5.691966,5.81596,6.395046,6.267357,6.060836,5.951233,5.618185,6.092361,6.269033,5.32564,5.8283653,4.756726,5.7103176,4.9778776,5.6410255,5.6279964,5.436452,4.637211,5.330221,5.1499224,5.5713735,5.829895,5.1135263,5.2305923,5.742222022545047,0.5501141507774773
17,sm11-16_neut->an,9.46,10.586028,9.1221485,9.170567,11.551197,10.084437,9.361525,9.469664,9.100559,9.142464,9.128234,9.22177,11.614258,9.9460745,9.209675,9.60134,9.222958,9.20344,9.344045,10.617564,10.20406,8.899105,9.388529,9.387407,9.372608,9.519792,9.332165,10.368149,9.128708,8.774153,9.627692,9.34349,10.092827,9.451902,9.476358,8.972799,9.473872,9.116592,9.667164,9.435743,9.435274,9.57625209901391,0.6182135645056088
18,sm11-17_neut->an,3.79,4.595043,3.5279326,3.9088593,4.327135,3.5028644,3.5562243,4.282375,3.60287,4.127256,3.71912,4.1275387,4.2733,3.7692633,3.5162182,4.260715,5.0352716,3.7373376,3.2868154,3.6158204,3.8528028,3.5454993,4.2486386,3.792473,3.518721,4.303018,3.6235757,3.6127453,3.4186997,3.8528824,3.479333,3.3195705,3.8458374,3.4131804,4.0562572,3.641543,4.551504,4.219823,4.1132865,4.176459,3.920613,3.8797176300607075,0.38595478740537426
19,sm11-18_neut->an,8.96,9.971641,9.238078,8.890718,9.5240965,9.734358,9.262836,9.18939,8.857984,8.6771345,8.951929,9.734037,9.583448,8.784565,9.2691765,8.998552,9.118274,8.629257,9.5351095,9.296416,9.271685,8.867904,9.674295,8.683802,9.332874,8.742613,9.131264,9.313022,8.664109,8.461453,9.385265,9.158885,9.145919,9.0913515,8.721472,9.015668,9.128115,9.378914,9.308081,8.995344,8.572812,9.128093858114104,0.3481846977625146
20,sm11-19_cation->neut,6.76,7.4419327,5.823802,7.0171,8.103886,5.5877876,7.949072,5.789578,6.9679956,8.004974,6.317705,7.835758,7.3042674,6.107956,7.894231,6.0309095,7.0906053,6.259821,7.837207,7.992325,5.634759,7.8412685,7.0222445,6.0674005,8.352985,6.628231,7.2516127,6.5323696,6.7008667,7.4743156,6.0166016,6.9117293,7.6098475,6.9530625,7.0652795,7.5870285,5.5243425,7.1006503,7.1616206,5.6767707,5.6438994,6.899360941910162,0.8167850733909587
21,sm11-20_neut->an,4.24,4.500901,4.4826207,4.2114196,4.719308,4.5635123,5.275378,4.667229,4.791258,4.3711524,4.1528635,4.7765217,4.6870365,4.299337,5.430564,4.8944364,5.0392323,4.7985835,4.13609,4.295829,4.2374144,4.1466913,4.356243,4.055203,4.665748,4.2911305,4.6788917,4.3998184,4.258565,4.5646057,4.123799,5.0208945,4.7664723,4.0929637,4.3708878,3.8148499,4.339651,4.854595,4.167888,4.1113205,3.95893,4.478288679355528,0.35583952496015586
22,sm11-21_neut->an,3.05,4.551674,4.620899,4.091859,4.1260223,4.339889,4.0348887,5.4727297,4.1613717,4.7511296,4.1919937,4.4992003,4.610264,4.951949,4.245175,4.549093,4.7115955,4.8387065,3.9404259,4.5120573,4.4848337,4.295065,3.6361732,4.525594,4.145299,4.740693,3.962534,4.451332,3.837709,4.8143454,2.7146106,3.5711012,3.5921474,4.1951876,4.325548,3.907289,3.836422,4.0372415,3.606526,3.8819213,3.5628986,4.204277917815418,0.5161250428383349
23,sm11-22_neut->an,8.93,10.017444,9.222664,8.044352,10.469816,10.0183,8.936638,9.053299,8.666729,8.827221,9.12427,9.195054,10.480496,9.939661,8.77169,9.171001,8.798418,8.0468025,9.028421,9.878254,9.569816,9.121531,8.331605,8.98707,8.856087,9.156273,8.701696,9.857833,9.232754,9.364809,9.600985,8.515279,9.055458,8.697801,8.968477,9.656049,9.116695,8.926346,9.37571,10.044434,9.561629,9.202899181086842,0.5657543261032882
24,sm11-23_neut->an,3.16,3.2998738,3.9603305,3.999949,3.7762861,3.1787214,4.565225,3.9714642,5.4890566,4.1356697,4.0594788,4.127697,3.5177774,3.0631256,3.480239,3.7834826,3.9485679,5.709797,4.6180944,3.4290547,3.4456816,3.7068658,5.3296423,3.7465928,3.8546672,4.1094723,5.06227,3.3369117,2.6958046,4.499151,4.1942368,3.8078723,5.6148205,5.169242,4.2649274,3.0543718,4.395979,5.924817,5.523777,4.161394,4.048773,4.1273453854351505,0.7947497916171657
25,sm11-24_cation->neut,7.63,7.280328,7.157426,6.3770638,8.38376,7.0611897,7.390707,7.7391057,7.244267,7.3159423,7.3988028,6.6508126,7.6261606,7.5525846,7.3843565,7.4731984,6.30021,7.2846265,7.9310226,7.715767,7.131975,6.777819,7.464031,7.608934,6.809303,6.6423826,7.887226,7.2415724,7.374382,6.903507,7.2247314,7.1349716,6.8011656,7.8151474,7.907284,6.6894636,7.620786,7.364007,7.4333663,7.4987535,7.0784035,7.300159602746731,0.43438492302236603
26,sm11-25_cation->neut,5.75,5.9102345,5.629386,5.2261257,5.8133554,6.0692472,5.5931544,6.447458,5.714532,5.3808846,5.6361513,6.232594,5.9755554,5.7911243,5.6013412,6.0573626,6.0679398,5.370619,6.2354984,6.1533504,5.496354,6.0763874,6.367527,6.1003075,6.002596,5.519863,5.631679,5.663472,5.265616,6.072888,5.206156,5.541573,5.5775127,6.0196795,5.430478,6.2022524,4.8811326,5.503738,5.6465807,5.495449,5.2956815,5.747630177474603,0.353559566109295
27,sm11-26_neut->an,9.24,10.543178,9.236219,8.746001,10.686165,8.570206,9.156704,9.389402,9.370525,8.176741,9.737316,9.801884,10.611776,9.039274,9.306366,9.370777,9.2843275,9.6372175,9.978796,10.261034,9.307004,9.677009,10.100762,8.805539,9.326414,9.223682,9.563574,8.791929,9.994431,9.093248,10.275572,8.625523,9.914061,9.846068,9.838772,9.805911,9.746264,10.033869,9.863032,10.199621,9.729898,9.558685215275462,0.5666531448313065
28,sm11-27_cation->neut,4.47,3.7283053,4.743147,4.267989,4.1367455,4.813504,3.6162558,5.021614,4.488655,4.816064,4.503208,4.2572136,4.256859,3.5283914,3.9708085,4.829266,4.6346025,4.3080254,4.6717634,3.7102313,3.8301811,4.5618587,4.6360884,4.590665,4.6315994,4.1852016,4.6285367,3.9705338,4.6196246,4.450115,4.303634,4.044035,5.407677,3.9944396,4.2769184,3.6426945,4.972914,5.3293667,5.716268,5.0801287,5.369275,4.463765975207817,0.5108722114934459
29,sm11-28_cation->neut,5.95,5.043384,5.505157,4.6085324,5.715349,5.2799463,5.841035,5.3269753,5.402602,5.5956573,5.759614,6.2791586,5.1178017,5.7250276,6.2912636,5.2755866,5.5269628,5.717613,5.85023,5.708381,5.4841413,6.543491,6.4075594,5.354268,6.402221,5.135863,5.9806724,5.932044,5.4761605,5.9332323,5.219014,5.659816,6.7537727,5.4907894,4.465492,6.341028,5.5141134,6.482076,6.6478186,5.2626553,4.8928804,5.68047285545163,0.530521938519722
30,sm11-29_neut->an,3.28,4.0125012,3.877242,3.3509145,3.5468159,3.6653638,3.4010372,3.9874706,3.2599692,3.5769835,3.6712737,3.547318,4.082819,3.8669043,3.3939838,3.5239701,3.9566374,3.4179492,3.1546588,3.4547138,3.590654,3.3185554,3.67284,3.3806925,3.1847625,3.6889296,3.3719177,3.8302622,3.095848,3.366211,3.682747,2.9895673,3.6100402,2.89649,3.590887,3.2532053,3.566208,3.393776,3.5721412,4.0905056,3.4087968,3.526428368731243,0.2831040130734775
31,sm11-30_neut->an,7.89,8.187206,7.8335485,9.0799675,8.331196,8.998199,8.176042,8.477217,7.305001,9.281143,8.350761,9.062591,8.667587,7.9729943,8.397348,8.770769,9.16412,7.6259723,8.551632,8.382397,8.427867,7.8419647,7.4619207,8.381109,9.001352,9.434291,7.7680125,8.6733265,8.061774,7.6977615,8.318666,8.088217,8.336443,7.8743615,7.846986,8.007708,8.4186735,7.9593563,8.498764,7.917877,7.941636,8.303994135507724,0.5021963754023432
32,sm11-31_neut->an,2.87,3.5941157,2.6351366,2.5647225,3.4895334,3.0637193,2.8721972,3.138741,2.1134586,3.0365186,3.1048818,2.55799,4.236053,3.272007,2.3738003,2.53047,3.1230464,2.9055681,2.8695107,2.9097838,2.7830424,2.3148336,3.6088033,2.5333395,2.3072538,2.855485,2.5018544,3.0771818,2.7248912,2.5351882,3.3284068,2.482449,3.215611,2.9208403,3.034975,2.555078,2.7092175,3.3005385,2.9446344,2.9339037,2.851685,2.8970845529509757,0.4066008357170139
33,sm11-32_cation->neut,6.64,7.092383,8.166683,7.135251,7.853161,7.887884,7.292153,8.262997,7.8478627,7.8889704,8.195559,7.4537115,7.9987097,7.946357,7.1644387,8.10462,7.1780987,6.868955,7.5814185,6.5195146,7.7972255,7.858214,7.2324934,7.268502,7.543064,6.760836,7.9429736,7.4029193,8.0480795,7.654868,7.306609,7.481762,7.9162607,7.2508535,7.708399,8.160034,7.3817315,7.6716046,7.773835,7.5820856,7.080257,7.5585691438070155,0.438147197472306
34,sm11-33_cation->neut,6.79,7.2981014,6.5812,6.580533,7.5086393,6.2565603,6.662528,7.236023,6.5356665,6.9428997,6.721587,7.1691933,6.911394,6.462044,7.486481,6.959831,7.731365,6.1401043,7.555019,7.3963456,5.65076,7.3660717,6.9773455,7.2970753,7.30742,6.858169,6.7586775,6.6060243,7.162878,7.4707847,5.601227,6.998063,6.5443144,7.0549216,6.5363913,7.48294,6.5931244,6.6311493,6.634369,5.942052,5.7047186,6.831804695129394,0.5266689721823379
35,sm11-34_neut->an,4.04,4.4339194,4.0762053,4.0245037,5.044259,3.9614778,4.127914,4.5764794,4.66344,4.1062336,4.2092485,4.643057,4.598402,4.240603,4.3490906,4.7562428,4.6544085,4.8996787,3.5100884,3.9704566,4.5818405,3.9234738,4.5836143,4.546749,4.5591016,4.662212,4.527524,4.6714115,3.9113338,4.254758,4.4177675,4.154997,4.2864246,4.3340898,4.020513,3.9234114,4.806919,4.5003605,4.4662914,4.8540154,4.239117,4.368576428715776,0.32777941244093495
36,sm11-35_cation->neut,6.3,6.835039,6.6270766,6.295743,6.6539097,7.0552025,6.2039175,6.5738697,7.295266,6.7540245,6.4590254,6.3714476,7.1493864,6.607324,6.1781387,6.816403,6.6941805,7.5558987,7.344967,6.425677,6.31099,6.4591446,6.3011246,6.7558684,6.312544,6.5938044,7.42542,6.351143,7.475672,6.0165434,7.084876,6.412219,6.865196,7.246488,7.055696,6.4359374,6.5167985,6.404833,6.016435,7.052411,6.7339897,6.683503181178396,0.4038159950947905
37,sm6-1_neut->an,9.53,11.090725,10.098873,9.525673,11.102533,10.382809,9.881443,10.425433,9.835516,9.7667885,9.878012,9.638895,11.569242,9.926373,9.836024,10.572536,9.720953,10.073121,9.797694,10.209978,10.128697,9.219676,9.997197,9.7092705,9.614772,10.399363,9.943558,10.160686,9.693337,9.085349,9.646356,9.745298,10.5731325,10.074657,9.934906,9.102031,9.440413,9.996037,10.11771,9.4977865,9.406716,9.959745622960533,0.5083922892312832
38,sm6-2_cation->neut,5.03,5.6657653,4.7786436,5.6250725,5.8576393,5.4512434,5.2280025,5.0238976,5.514924,4.4502354,4.825214,5.1580057,5.8629026,5.285305,4.602563,5.0105295,5.5447617,5.2551394,5.3690023,5.4167175,5.08856,4.635697,6.020747,5.1526327,4.712679,5.991477,5.339259,4.4513907,4.930134,4.65425,5.042677,4.6309195,5.8407145,5.731336,4.670779,4.7986097,4.243407,6.028495,6.1162386,4.781594,5.064722,5.192241047184642,0.4915782058668016
39,sm6-3_neut->an,7.02,6.6301255,6.3983927,7.3868933,7.4461994,6.261045,7.3965673,7.4279666,6.3329167,7.8878393,6.825026,6.133515,7.288323,6.2024446,7.5126057,7.136032,7.8706975,7.4289184,7.839303,7.067314,6.5833445,6.466921,6.607925,8.085415,7.544142,8.102106,7.4580736,6.7478094,7.354248,6.8374233,6.594351,7.5439405,5.865948,6.962036,6.829457,6.093665,6.964511,6.8430843,6.5283937,7.4626236,6.8057137,7.018859910267155,0.5676278276591583
40,sm6-4_cation->neut,6.02,6.2243094,5.762931,5.7763724,6.38228,6.3363547,6.0338693,6.2182336,6.4439363,5.769105,6.3773437,6.028046,6.816537,6.3113203,5.5735826,5.976781,6.7053146,6.3097143,6.906053,6.6283317,6.325143,5.8137717,6.055913,6.8832173,5.6093054,6.6197424,6.153476,5.5544987,6.5381784,6.120493,5.975997,5.556057,6.4891253,6.700362,6.2655597,5.7394733,5.223899,5.9403296,6.357932,5.81336,6.3606257,6.163338429055562,0.39727835077058865
41,sm6-5_cation->neut,4.59,3.0813184,3.2961025,3.8686094,3.714693,3.903957,4.3248234,4.177139,4.1790123,4.3365726,4.1015954,3.4598987,3.6982324,3.8697226,3.7336586,2.9310398,3.871317,3.559279,3.95184,3.1465588,4.1176167,3.129315,3.4557447,3.7852387,2.9570808,4.177152,3.5543315,4.152314,3.4626756,3.2287266,4.778054,3.5302813,4.0494576,3.5986829,3.5863872,3.2221916,4.631837,4.3352513,3.9714055,4.8816614,4.933936,3.837431985343375,0.513845597138512
42,sm6-6_cation->neut,3.03,2.28844,1.0782251,2.4337301,2.8044116,2.045607,3.1867619,1.9199572,1.5030236,3.2078788,3.074761,2.6165278,2.3571267,2.0355043,2.6865308,2.2507548,2.431263,1.6189466,2.4517195,1.622859,2.1631923,2.148591,1.7628887,2.0016613,2.893622,2.389714,1.59585,1.8806515,2.3256245,2.2936413,2.775269,2.1872318,2.0966578,1.4796357,2.5558376,2.1821868,3.4121299,2.079556,2.8333874,3.248936,3.032495,2.341043618365032,0.5424247173961166
43,sm6-6_neut->an,11.74,11.684962,10.478057,12.660987,11.973189,11.556103,10.572739,10.950815,12.672447,13.203077,12.160151,12.019178,12.826904,11.46422,10.813914,10.804407,13.008879,12.785007,12.58683,11.88048,10.838591,11.292683,11.681427,10.745302,10.063074,13.2276945,12.374535,11.281992,12.45846,11.046919,9.985591,10.83787,10.840056,12.785998,12.547812,10.801047,10.309732,11.086597,10.804712,10.189371,10.494705,11.549671155417839,0.9370191413129957
44,sm6-7_cation->neut,6.08,6.4203296,5.919736,5.8111143,6.703353,5.852412,5.9462023,5.9779315,7.008656,5.66248,5.803093,5.963477,6.641811,5.937681,5.932457,5.754353,6.3131504,6.3080845,6.367445,6.467608,5.7166877,6.2919016,6.079243,5.9673624,5.745553,6.5943036,6.3856463,5.632248,6.2871084,6.051332,6.8076167,5.945942,6.025398,6.2056413,6.0651274,5.9116244,6.0243454,6.0653505,6.648099,6.1333766,6.67041,6.149407121146597,0.3346163990673775
45,sm6-8_neut->an,4.22,4.813102,3.2337904,3.2202263,4.5844283,4.0559483,3.6060395,3.4916182,4.371086,3.7564964,4.081984,3.7209888,5.1114764,3.943624,3.8471193,2.9791117,3.8025417,3.9074087,4.094419,4.479374,3.5681548,3.9110222,4.4495945,3.4897823,3.1945505,3.73348,4.5880785,4.2384295,4.3276024,3.7193794,4.073202,3.9173813,3.7196422,4.1211653,4.563338,2.9727087,3.700324,3.853559,3.8162599,4.0501504,4.1978774,3.9396698816811164,0.46893727876031516
46,sm6-9_cation->neut,5.37,5.7280445,4.983402,5.464634,5.843918,5.816834,5.1813226,5.217494,4.862235,5.417268,5.1440954,5.338253,6.233533,5.767973,5.3966293,5.282771,5.420461,5.07925,5.593875,5.7061806,6.059577,5.051638,5.8874216,5.4100285,5.6276164,5.880135,5.280637,6.096608,5.4201527,5.285968,5.16121,4.925374,4.9015694,5.2512517,5.4964867,5.034362,4.7166605,5.6341133,5.4777603,5.388054,5.4402103,5.421341631354355,0.3482228767644591
47,sm6-10_neut->an,9.02,8.94046,8.631006,9.034956,9.379423,8.491878,8.915409,8.5542145,8.791025,9.1437645,8.594464,8.265487,8.942677,9.251059,9.685707,9.029011,9.530291,8.352282,9.589099,8.972733,9.212723,8.640033,9.268142,9.451078,9.547351,9.376957,8.614967,9.309504,8.903429,8.096792,8.6193905,9.509378,9.667618,8.583778,9.109755,7.374009,8.490283,8.963161,8.931817,8.244186,8.196852,8.907954832867878,0.4908557476976468
48,sm6-11_cation->neut,3.89,3.8550832,3.748226,4.0244923,4.59808,4.091961,3.5475607,3.5401354,4.102606,4.180835,4.54016,4.1779327,4.5836387,3.9905295,3.380663,3.35119,3.8591523,4.1934934,4.171858,3.9616108,3.9759517,4.06061,3.4275546,3.4353716,3.8229823,4.631326,4.2259417,3.3450613,4.1766415,3.6607416,4.3410025,3.850553,3.7950284,4.531624,4.152446,4.1279526,4.0171,4.2742524,4.1240954,4.447709,4.296757,4.012436829311091,0.35139167133363164
49,sm6-12_cation->neut,5.28,5.646723,4.997007,4.34281,6.76923,5.575014,5.2743597,5.168131,5.2372923,5.5149717,4.895647,5.3258266,5.827998,5.8344173,5.276178,5.207282,5.1149673,5.6429095,5.2923026,5.8987327,4.9892273,4.7311773,5.8571844,5.3678327,5.1639543,5.3841314,5.8025618,5.0928555,5.0849485,5.3055096,5.1557913,4.6772566,5.101422,6.0891685,5.2690306,4.758134,4.708291,5.123102,5.243049,4.8934755,4.668644,5.282647488291671,0.4440198323769692
