,compn,exp. pKa,pKa predicted by models:8-9,pKa predicted by models:5-2,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:9-2,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:9-3,pKa predicted by models:6-0,pKa predicted by models:9-9,pKa predicted by models:8-4,pKa predicted by models:9-8,pKa predicted by models:10-2,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:9-5,pKa predicted by models:10-3,pKa predicted by models:10-9,pKa predicted by models:6-1,pKa predicted by models:10-8,pKa predicted by models:11-2,pKa predicted by models:9-4,pKa predicted by models:11-4,pKa predicted by models:7-0,pKa predicted by models:9-7,pKa predicted by models:10-5,pKa predicted by models:11-3,pKa predicted by models:9-6,pKa predicted by models:11-9,pKa predicted by models:11-7,pKa predicted by models:11-8,pKa predicted by models:10-4,pKa predicted by models:11-6,pKa predicted by models:10-7,pKa predicted by models:11-5,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:10-6,pKa predicted by models:9-0,pKa predicted by models:8-1,pKa predicted by models:10-0,pKa predicted by models:9-1,pKa predicted by models:11-0,pKa predicted by models:10-1,pKa predicted by models:11-1,consensus,std. dev.
12,sm11-12_cation->neut,1.98,1.9881649,0.5838423,1.1276283,2.1119852,1.7538147,1.7334881,1.2202568,2.3665893,2.2113972,2.0020652,2.7531192,2.255961,1.7189355,1.9128156,0.7811737,1.3099394,1.7124951,1.1470394,2.353868,1.1636791,1.7002192,2.5055397,1.7146904,2.1620855,2.2964342,1.9402328,1.5509329,1.4094748,1.8749583,1.4182525,1.0638151,1.7723448,1.468926,2.5952528,2.475286,1.6757722,1.7447696,1.5752292,1.562005,1.9269581,2.2270021,2.6037636,2.1470532,1.4927049,1.2796674,1.8376358,1.9137149,2.1686587,3.2537975,1.6587241,2.6617901,2.05614,2.4719594,1.9706748,1.402869,1.5292673,2.6571689,2.1009417,1.8307664,2.1046686,2.7216587,1.1645894,1.914839,3.1103468,1.2843337,2.4814763,1.1822772,3.1587255,0.88688517,0.4800024,1.8644442152641192,0.5807923108438667
13,sm11-12_neut->an,3.67,4.621077,4.809055,4.676459,4.849205,5.26895,6.004332,4.1085916,5.0007615,5.2496176,4.760361,3.9554663,4.2352023,5.1388702,4.7061787,3.9246774,4.9300203,5.4606977,5.101974,4.718306,4.8631115,4.0312634,4.7552724,4.272353,4.799933,4.9099073,4.8401556,4.1234503,4.3799458,4.6867437,4.929773,4.5551715,5.0274262,4.4614754,4.5923567,5.0032682,4.5910277,3.8123064,5.0751967,4.6526413,4.057292,4.81719,4.597725,4.7303452,4.432973,3.5966692,5.198199,5.032298,4.772501,3.821035,4.7461815,4.3604956,4.663661,4.320053,4.426075,5.087796,3.485322,4.887666,4.232294,4.1078806,4.554316,4.161213,4.452589,4.303916,4.5799236,4.753746,5.003767,4.785719,4.7323008,4.2012243,5.1730204,4.614478439277327,0.4552634353689911
14,sm11-13_neut->an,8.15,8.947061,8.808771,8.234777,9.620971,8.62879,8.865099,8.268361,8.537764,8.241285,8.370798,8.713346,9.848037,8.797322,8.700942,8.453232,8.363619,8.242368,8.062182,8.884256,8.531654,8.5455475,9.011939,7.9876604,8.993614,8.994979,8.005332,8.933049,8.165784,8.235111,7.871491,8.669522,8.310319,8.228676,8.91654,9.286592,8.4198475,8.530668,8.17898,8.101133,8.655918,8.777967,8.065264,9.202308,8.155114,8.739086,8.034848,8.364093,8.269725,8.63746,8.135539,8.357742,7.909405,8.355009,8.626538,7.9994802,8.828672,8.6621475,8.31277,8.183272,8.161117,8.366858,8.53427,8.86993,9.144315,8.321145,8.870917,8.367946,8.801882,8.291299,8.128581,8.518141389228928,0.3958325307063789
15,sm11-14_neut->an,7.41,9.370574,9.169719,7.640514,9.008147,7.9171257,8.484235,9.017437,8.277203,7.989222,8.340838,9.184791,9.760934,8.5490885,8.88973,9.044589,7.6937,8.399464,9.230911,9.026529,8.626966,8.003902,8.368206,8.606541,8.544571,7.860931,8.242483,8.819294,8.159748,8.600113,8.653248,8.772051,8.351209,7.617309,8.239119,8.584264,8.395958,8.765858,9.184275,8.003681,8.42059,8.980625,7.9716525,8.598316,9.121853,8.717768,8.739269,8.726015,8.159811,8.173226,8.948757,8.944026,8.002089,8.123532,8.253982,8.812558,8.574447,9.034687,8.269942,8.140751,9.289714,8.106594,8.487997,8.408052,8.508173,7.9362803,8.435907,8.105945,8.565143,8.067921,7.9376507,8.49813733517284,0.46820021890002145
16,sm11-15_neut->an,5.18,6.426533,6.080429,5.3858056,6.5338497,5.7352095,5.671133,5.8158793,4.9741516,5.4552298,5.5405793,6.330388,7.340373,6.9274197,6.0945406,5.673725,5.9367375,5.691966,5.81596,6.395046,6.267357,6.060836,5.951233,5.618185,6.092361,6.269033,5.32564,5.8283653,4.756726,5.7103176,6.3065248,4.9778776,5.6410255,5.3075514,5.6279964,6.503362,5.436452,5.52387,5.734087,4.637211,5.330221,6.3116255,5.6134396,6.684278,5.1499224,6.113305,5.634863,5.272575,5.7859254,5.5713735,5.1930714,6.4504175,6.222279,6.0047235,6.2170825,5.31222,5.3849955,5.4536943,4.995167,5.202624,5.8098807,5.829895,5.1135263,5.2720585,5.762656,5.2305923,5.270596,5.5583177,5.750918,4.78101,4.6024146,5.710797688390167,0.5353742771132425
17,sm11-16_neut->an,9.46,10.586028,9.1221485,9.170567,11.551197,10.084437,9.361525,9.469664,9.100559,9.142464,9.128234,9.22177,11.614258,9.9460745,9.209675,9.60134,9.222958,9.20344,9.344045,10.617564,10.20406,8.899105,9.388529,9.387407,9.372608,9.519792,9.332165,10.368149,9.128708,8.774153,9.380007,9.627692,9.34349,8.890087,10.092827,11.686312,9.451902,9.455326,9.426363,9.476358,8.972799,9.269716,9.054073,11.232464,9.473872,9.657132,9.950799,9.712351,9.78375,9.116592,9.396936,8.638161,9.422684,9.044137,10.439373,9.509659,9.729976,10.002117,8.993113,9.448445,9.046587,9.667164,9.435743,9.19593,9.570778,9.435274,9.240781,9.407988,9.121841,9.359592,9.524994,9.566447982788086,0.6204446301859757
18,sm11-17_neut->an,3.79,4.595043,3.5279326,3.9088593,4.327135,3.5028644,3.5562243,4.282375,3.60287,4.127256,3.71912,4.1275387,4.2733,3.7692633,3.5162182,4.260715,5.0352716,3.7373376,3.2868154,3.6158204,3.8528028,3.5454993,4.2486386,3.792473,3.518721,4.303018,3.6235757,3.6127453,3.4186997,3.8528824,4.0381927,3.479333,3.3195705,4.2883983,3.8458374,4.3651752,3.4131804,4.154238,3.8604872,4.0562572,3.641543,4.1654863,3.9499493,4.170351,4.551504,4.0875053,3.9767652,4.244973,4.3146057,4.219823,3.8011255,4.0732737,4.0460367,4.230708,3.8305573,3.8571165,3.883162,4.3493505,3.6626105,4.553426,3.6215272,4.1132865,4.176459,3.9479146,4.341858,3.920613,4.364886,4.122889,4.2344384,4.359316,3.4095564,3.9630183440195,0.35084961376084617
19,sm11-18_neut->an,8.96,9.971641,9.238078,8.890718,9.5240965,9.734358,9.262836,9.18939,8.857984,8.6771345,8.951929,9.734037,9.583448,8.784565,9.2691765,8.998552,9.118274,8.629257,9.5351095,9.296416,9.271685,8.867904,9.674295,8.683802,9.332874,8.742613,9.131264,9.313022,8.664109,8.461453,8.952015,9.385265,9.158885,9.11856,9.145919,9.0681305,9.0913515,9.162243,8.98262,8.721472,9.015668,9.158707,9.185652,9.832653,9.128115,9.364945,8.279661,9.3402,9.450109,9.378914,9.618595,9.1119995,8.928165,8.993549,8.744469,9.234071,8.827192,9.721597,8.419949,8.784328,9.315073,9.308081,8.995344,8.921921,9.444091,8.572812,9.350983,8.638831,9.533747,9.020375,9.015209,9.123542086641553,0.348566335025903
20,sm11-19_cation->neut,6.76,7.4419327,5.823802,7.0171,8.103886,5.5877876,7.949072,5.789578,6.9679956,8.004974,6.317705,7.835758,7.3042674,6.107956,7.894231,6.0309095,7.0906053,6.259821,7.837207,7.992325,5.634759,7.8412685,7.0222445,6.0674005,8.352985,6.628231,7.2516127,6.5323696,6.7008667,7.4743156,6.0115266,6.0166016,6.9117293,7.0350714,7.6098475,7.126054,6.9530625,6.551104,6.2398653,7.0652795,7.5870285,6.568569,6.820625,7.346873,5.5243425,6.5020638,5.700488,7.308266,6.8355913,7.1006503,6.877591,6.6076965,7.3874726,7.571435,6.7715826,7.100247,6.3565674,7.044064,7.824911,6.562869,7.5119634,7.1616206,5.6767707,8.3500185,7.4350743,5.6438994,7.7731404,4.715959,7.434822,5.14835,4.7073174,6.846492636505986,0.832640452470915
21,sm11-20_neut->an,4.24,4.500901,4.4826207,4.2114196,4.719308,4.5635123,5.275378,4.667229,4.791258,4.3711524,4.1528635,4.7765217,4.6870365,4.299337,5.430564,4.8944364,5.0392323,4.7985835,4.13609,4.295829,4.2374144,4.1466913,4.356243,4.055203,4.665748,4.2911305,4.6788917,4.3998184,4.258565,4.5646057,4.462811,4.123799,5.0208945,4.385124,4.7664723,4.4291434,4.0929637,4.735971,4.5381722,4.3708878,3.8148499,5.090743,4.2088265,4.2434278,4.339651,4.46014,4.663137,4.930907,5.1183143,4.854595,4.452354,5.3632526,4.692379,4.3624554,4.7485805,4.506965,4.6768184,5.2803698,4.0866127,5.013507,4.6320586,4.167888,4.1113205,4.2754374,4.284365,3.95893,4.5565157,3.9284744,4.633792,4.039186,3.933319,4.511873181302783,0.3620943976238818
22,sm11-21_neut->an,3.05,4.551674,4.620899,4.091859,4.1260223,4.339889,4.0348887,5.4727297,4.1613717,4.7511296,4.1919937,4.4992003,4.610264,4.951949,4.245175,4.549093,4.7115955,4.8387065,3.9404259,4.5120573,4.4848337,4.295065,3.6361732,4.525594,4.145299,4.740693,3.962534,4.451332,3.837709,4.8143454,4.4303904,2.7146106,3.5711012,4.6430693,3.5921474,4.0171266,4.1951876,5.019215,3.865817,4.325548,3.907289,4.2160125,4.7584434,3.9634385,3.836422,4.3294253,3.970292,4.0634794,4.0048523,4.0372415,3.9771435,3.970057,4.6254582,4.6713896,3.5263867,4.1237326,4.352564,4.5695686,4.662632,3.935357,4.2034817,3.606526,3.8819213,4.3055124,3.6927114,3.5628986,3.560431,3.3734941,4.1999316,3.8743515,3.6819334,4.182578772558293,0.46882034840065684
23,sm11-22_neut->an,8.93,10.017444,9.222664,8.044352,10.469816,10.0183,8.936638,9.053299,8.666729,8.827221,9.12427,9.195054,10.480496,9.939661,8.77169,9.171001,8.798418,8.0468025,9.028421,9.878254,9.569816,9.121531,8.331605,8.98707,8.856087,9.156273,8.701696,9.857833,9.232754,9.364809,8.859272,9.600985,8.515279,9.493505,9.055458,10.827526,8.697801,9.436158,8.273338,8.968477,9.656049,9.025101,9.389378,10.946514,9.116695,9.615324,8.682268,8.931463,9.209129,8.926346,9.173285,8.607633,9.436836,9.355605,9.975347,9.339338,9.358246,9.232426,10.009424,9.418831,8.668657,9.37571,10.044434,9.501867,9.930125,9.561629,9.585202,10.157487,9.188837,9.841124,10.462421,9.313387799330162,0.5976947687757437
24,sm11-23_neut->an,3.16,3.2998738,3.9603305,3.999949,3.7762861,3.1787214,4.565225,3.9714642,5.4890566,4.1356697,4.0594788,4.127697,3.5177774,3.0631256,3.480239,3.7834826,3.9485679,5.709797,4.6180944,3.4290547,3.4456816,3.7068658,5.3296423,3.7465928,3.8546672,4.1094723,5.06227,3.3369117,2.6958046,4.499151,3.445271,4.1942368,3.8078723,3.6937442,5.6148205,3.499761,5.169242,3.4241176,4.017956,4.2649274,3.0543718,3.5833206,3.8038936,3.603208,4.395979,3.49334,3.99114,5.6000867,5.92048,5.924817,3.9664068,3.5600681,3.9074848,3.89946,3.345313,4.313736,3.1192865,5.5445566,4.6163254,3.6519217,4.219484,5.523777,4.161394,4.140663,6.1499867,4.048773,5.975279,3.9513285,5.8024335,4.2556357,4.605069,4.173548136429048,0.8304006901954577
25,sm11-24_cation->neut,7.63,7.280328,7.157426,6.3770638,8.38376,7.0611897,7.390707,7.7391057,7.244267,7.3159423,7.3988028,6.6508126,7.6261606,7.5525846,7.3843565,7.4731984,6.30021,7.2846265,7.9310226,7.715767,7.131975,6.777819,7.464031,7.608934,6.809303,6.6423826,7.887226,7.2415724,7.374382,6.903507,7.3046584,7.2247314,7.1349716,7.1084414,6.8011656,6.950544,7.8151474,7.6395826,7.1529894,7.907284,6.6894636,7.7008142,7.225668,7.5803804,7.620786,7.6858516,7.533431,8.092262,7.7544146,7.364007,7.802559,7.6290817,6.74846,6.8814116,7.191275,7.833454,7.344183,7.6293087,6.9628596,7.8174386,7.186142,7.4333663,7.4987535,6.9707656,7.2783833,7.0784035,7.7837863,7.126521,7.3427634,7.431866,7.086334,7.339185558641461,0.3986719194337503
26,sm11-25_cation->neut,5.75,5.9102345,5.629386,5.2261257,5.8133554,6.0692472,5.5931544,6.447458,5.714532,5.3808846,5.6361513,6.232594,5.9755554,5.7911243,5.6013412,6.0573626,6.0679398,5.370619,6.2354984,6.1533504,5.496354,6.0763874,6.367527,6.1003075,6.002596,5.519863,5.631679,5.663472,5.265616,6.072888,6.1985044,5.206156,5.541573,5.706413,5.5775127,6.0020943,6.0196795,5.0163317,5.735264,5.430478,6.2022524,5.948045,5.2732234,5.809043,4.8811326,5.3260045,5.8378944,6.4377074,6.1998234,5.503738,5.5371656,5.5892725,5.5395427,6.7604856,5.740307,6.212563,5.3645525,5.830308,6.2185307,5.374221,6.1360626,5.6465807,5.495449,6.2851763,5.8851233,5.2956815,5.4480486,5.641228,5.2290583,5.6828327,5.486581,5.762031608903912,0.37192583732050916
27,sm11-26_neut->an,9.24,10.543178,9.236219,8.746001,10.686165,8.570206,9.156704,9.389402,9.370525,8.176741,9.737316,9.801884,10.611776,9.039274,9.306366,9.370777,9.2843275,9.6372175,9.978796,10.261034,9.307004,9.677009,10.100762,8.805539,9.326414,9.223682,9.563574,8.791929,9.994431,9.093248,9.005856,10.275572,8.625523,9.451286,9.914061,10.2586565,9.846068,9.375429,9.283076,9.838772,9.805911,8.496374,9.664909,10.123583,9.746264,8.682467,8.71752,10.40439,9.8238125,10.033869,10.418797,8.406989,9.088678,9.583898,9.799394,10.259421,9.123118,10.2480345,9.274935,9.772355,8.49131,9.863032,10.199621,9.590365,10.323616,9.729898,9.7521925,10.246735,9.779425,10.350904,10.475507,9.579987717212086,0.5951690209546326
28,sm11-27_cation->neut,4.47,3.7283053,4.743147,4.267989,4.1367455,4.813504,3.6162558,5.021614,4.488655,4.816064,4.503208,4.2572136,4.256859,3.5283914,3.9708085,4.829266,4.6346025,4.3080254,4.6717634,3.7102313,3.8301811,4.5618587,4.6360884,4.590665,4.6315994,4.1852016,4.6285367,3.9705338,4.6196246,4.450115,4.503212,4.303634,4.044035,4.762097,5.407677,3.615016,3.9944396,3.613574,4.5735755,4.2769184,3.6426945,4.932703,3.9911084,3.7559233,4.972914,4.3942895,4.8918724,4.3957815,4.1625476,5.3293667,5.0490613,4.060496,4.6732764,4.6897297,4.0132475,4.661504,3.9764843,4.712824,4.2238226,4.565385,4.3023396,5.716268,5.0801287,4.7371206,5.4712257,5.369275,5.6542873,5.4361906,4.8937473,4.79705,4.7558527,4.496897875020202,0.5099829789539018
