,compn,exp. pKa,pKa predicted by models:6-2,pKa predicted by models:6-3,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:6-6,pKa predicted by models:6-0,pKa predicted by models:6-1,consensus,std. dev.
67,sm6-23me_cation->neut,5.45,6.0547304,6.6297684,6.548281,4.841382,5.492281,5.1473513,6.601289,4.7301426,5.73503,7.603652,5.893991617722945,0.8432771156213111
68,sm6-24_cation->neut,2.6,3.4131904,4.0849705,3.3177485,3.1316452,3.1567516,3.2518213,3.172268,3.0407782,2.580155,2.9385366,3.153442283110185,0.3892374489626988
69,sm7-25_neut->an,4.49,4.790776,4.4839635,4.028468,5.474619,5.110995,4.5931406,4.576771,4.8663335,4.8534536,4.5649557,4.712134121981534,0.35845055871583414
70,sm7-26_neut->an,4.91,5.7534146,5.0920105,5.1960154,6.4077616,6.4976945,5.0165315,5.5982246,5.469315,5.572215,4.7884684,5.481968286687677,0.5429593686417007
71,sm7-27_neut->an,10.45,10.797937,10.8268585,12.022762,12.686928,10.612966,11.292472,12.069406,10.987248,11.262482,10.732318,11.249216097051447,0.6810123948590212
72,sm7-29_neut->an,10.05,12.30249,11.429432,11.9990635,12.130463,11.787032,11.334641,11.816352,10.889087,11.918253,11.384092,11.54917325106534,0.6136933204719286
73,sm7-30_neut->an,10.29,9.394445,8.754808,10.561887,11.205045,10.100345,9.847507,10.668685,10.218543,10.602454,9.3883295,10.093822656111284,0.6699819475208361
74,sm7-31_neut->an,11.02,10.342739,9.641617,10.717358,11.989557,11.207675,10.38046,10.2842,10.321398,10.276845,9.849916,10.548342229669744,0.6280011732732266
75,sm7-32_neut->an,10.45,10.672546,10.463328,11.116137,11.137313,11.242238,10.377883,10.566755,10.263048,11.299522,10.783726,10.761136072332208,0.35871806979448273
76,sm7-34_neut->an,11.93,10.150299,9.103855,12.156317,11.246943,11.627437,8.971489,10.05372,10.339661,10.308969,10.825795,10.61040771484375,1.0116863291222642
77,sm7-35_neut->an,9.87,10.756348,10.074421,10.932308,10.918316,10.902232,10.399736,11.080923,10.324789,10.440653,10.710369,10.582735939025879,0.3714962243120101
78,sm7-36_neut->an,9.8,8.426015,8.81456,8.243141,9.203198,9.365615,8.965429,9.105132,8.138579,9.5247345,8.742852,8.939023347334428,0.5051112429901223
79,sm7-37_neut->an,10.33,10.50099,9.654705,11.197417,10.410508,11.01549,10.370865,9.525431,9.618057,9.065899,10.026995,10.156032395796343,0.6198802720447337
80,sm7-38_neut->an,9.44,9.928063,8.912947,10.465946,9.714179,10.034223,9.906307,10.44024,9.249235,10.140086,9.797253,9.820770822004839,0.4546771408064626
81,sm7-39_neut->an,10.22,9.396293,8.2481365,9.358694,9.532491,9.882278,8.86207,8.345594,8.747858,8.7590885,7.6992183,9.004701980244029,0.7174478004466547
82,sm7-40_neut->an,9.58,10.386537,9.220562,11.043211,10.999289,11.061214,10.455515,11.282749,10.051033,9.85552,9.211282,10.286082881580699,0.7226588511435436
83,sm7-41_neut->an,5.22,6.309963,5.7817354,5.8786645,5.8542595,6.7611094,5.5989223,7.055744,5.8157196,6.5072536,5.5056405,6.026273833188143,0.5369009699873966
84,sm7-42_neut->an,6.62,5.5400987,4.948835,5.3288937,5.2161555,6.6062346,5.138822,6.812065,5.4361324,6.1232977,5.8269463,5.7815891716697,0.6304840173070799
85,sm7-43_neut->an,5.62,6.753822,6.095946,5.908062,6.6440945,6.7370367,5.821422,7.230247,5.224736,6.9901314,6.1974993,6.292999711470171,0.5961884294373686
86,sm7-44_neut->an,6.34,8.195261,7.6393003,8.46018,7.906778,7.9097214,7.817759,8.185619,7.4615965,8.445181,8.082447,7.85853124445135,0.5636583660846308
87,sm7-45_neut->an,5.93,6.8525634,6.436344,7.1156154,7.4729066,7.144512,7.279846,8.302229,6.4266033,7.6947117,6.8438444,7.045379654277455,0.6273675940186146
88,sm7-46_neut->an,6.42,7.971505,7.560878,7.5159125,7.8839884,8.176361,7.105838,8.581199,7.333124,8.20447,7.923648,7.697902108972723,0.5716584465418313
89,sm8-1_neut->an,3.99,4.51825,4.334817,3.6563978,4.073408,4.888434,4.002763,4.267664,3.9083667,4.815805,4.033102,4.226273384094238,0.3664370431865234
90,sm8-2_neut->an,4.5,5.4356,4.330228,5.7611933,5.069032,4.779127,4.831351,5.033073,4.6921673,5.4473343,5.217534,5.0087854211980645,0.4147490768642778
91,sm8-3_neut->an,4.0,3.5141382,3.527102,3.7745094,3.7062955,4.485273,3.9033737,3.503006,3.2692466,3.7936752,4.1367645,3.783034909855236,0.3255896285425939
92,sm8-4_neut->an,5.77,4.930607,4.5052114,5.4486628,4.092379,4.46062,4.4873133,3.8824043,3.6126275,4.1392517,4.272563,4.509239978790283,0.6190872402322243
93,sm8-5_neut->an,4.23,4.7149773,4.1825776,4.8861685,3.7838073,4.15202,3.98521,3.5855818,3.1730504,4.6256466,3.855914,4.106813949238171,0.48571136565236417
94,sm8-6_neut->an,4.17,4.3414288,3.794783,3.570181,3.8207455,4.5439825,4.4064474,4.20595,3.7196536,4.035577,3.8927789,4.045593384829434,0.2979453658646337
95,sm8-7_cation->neut,6.63,6.6896567,6.561456,6.672036,5.8981185,6.002775,6.95665,6.8094645,6.155687,7.1462007,7.002083,6.593102488084273,0.3923008235963457
96,sm8-8_cation->neut,2.78,2.2558699,1.9992046,2.6518102,1.4100609,1.9439268,1.4691896,2.0088828,2.5872145,2.8102415,1.6165476,2.139358934922652,0.4923464405702302
97,sm8-9_cation->neut,6.08,7.0378785,6.372513,7.3070283,5.8797197,6.3112373,6.921589,7.0006495,6.7753553,6.981971,7.0679846,6.703265977339311,0.4429510768739199
98,sm8-10_cation->neut,7.71,8.5539255,8.219479,6.881919,7.8330965,7.108458,7.1713066,7.0564766,7.920576,8.386831,10.318989,7.923732450658625,0.932179956356018
99,sm8-12_cation->neut,6.98,7.375063,6.741013,7.0635433,6.9534626,6.284177,7.1353807,7.276814,6.9932666,7.405322,6.472706,6.970977087887851,0.3377480916135797
100,sm8-14_cation->neut,7.27,7.0708885,6.602282,8.111925,6.7785563,6.3931293,7.0020423,7.363843,6.5998793,6.5597725,6.1179576,6.897297817577015,0.525535911653813
101,sm8-15_cation->neut,2.54,2.1358585,2.083325,2.2222152,1.9732637,1.8533344,1.9613519,1.9910314,2.0635624,1.978529,1.7964268,2.0544452918659557,0.19152876627774884
102,sm8-16_cation->neut,5.1,5.4938693,5.519638,5.882969,5.4683084,4.9442434,5.8586493,5.351575,5.376747,5.2225513,5.0827527,5.391027589277788,0.2865558675255524
103,sm8-17_cation->neut,6.58,7.159931,7.646245,7.7277412,7.1675177,7.521657,7.682146,8.080057,7.1241164,7.3746057,6.976009,7.367275114926425,0.39929045344972697
104,sm8-18_cation->neut,2.72,2.2430978,1.9293048,2.6305206,1.439487,2.5406756,1.8558724,1.9633479,1.9979618,2.3122468,1.07897,2.0646804220026187,0.4775363967195648
105,sm8-19_cation->neut,4.93,5.5616264,4.472456,6.724244,6.0205727,6.0001993,2.8129997,4.4536133,5.969901,4.3665977,5.9887667,5.209179720445113,1.0674254955126736
106,sm8-19_neut->an,6.99,7.36834,7.913216,7.8041315,7.51546,7.52814,7.0129285,7.5230975,6.796344,7.082073,6.9449067,7.316239767941562,0.35495944244576816
107,sm8-20_cation->neut,2.44,2.7838054,2.5841198,2.706979,2.0811143,2.6696064,2.7487955,2.3995626,2.583549,2.9152026,1.497098,2.4918029689788814,0.38075611885508
108,sm8-20_neut->an,11.44,12.845182,12.813737,12.890348,12.72535,12.516424,12.268755,12.465488,12.471123,12.941465,11.992938,12.488255625638095,0.43176084405785903
109,sm8-21_cation->neut,5.38,4.925437,5.2544203,6.3749113,5.0844707,5.4143686,6.0001025,5.2974987,5.2525353,4.831216,5.690203,5.409560323195024,0.43652803872499374
110,sm8-22_cation->neut,2.57,2.2805228,2.7500095,2.8364925,2.7489357,2.7212746,3.0238156,2.754892,1.7720451,1.7950525,3.2651703,2.592564632242376,0.4469280003443252
111,sm8-23_cation->neut,2.65,2.9089184,2.4143863,2.4362185,2.694545,2.9683125,2.275052,2.9204772,3.6187277,2.7870479,2.0822191,2.705082234469327,0.39675066844421375
112,sm8-23_neut->an,9.02,9.791702,9.249878,11.329971,10.476074,10.156563,9.463345,9.082016,8.741718,10.308142,8.800437,9.674531461542303,0.778640725744797
