,compn,exp. pKa,pKa predicted by models:3-3,pKa predicted by models:3-9,pKa predicted by models:3-8,pKa predicted by models:3-5,pKa predicted by models:4-2,pKa predicted by models:4-3,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:3-0,pKa predicted by models:8-9,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:5-2,pKa predicted by models:4-7,pKa predicted by models:3-1,pKa predicted by models:4-6,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:4-0,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:4-1,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:9-2,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:9-3,pKa predicted by models:6-0,pKa predicted by models:9-9,pKa predicted by models:8-4,pKa predicted by models:9-8,pKa predicted by models:10-2,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:9-5,pKa predicted by models:10-3,pKa predicted by models:10-9,pKa predicted by models:6-1,pKa predicted by models:10-8,pKa predicted by models:11-2,pKa predicted by models:9-4,pKa predicted by models:11-4,pKa predicted by models:7-0,pKa predicted by models:9-7,pKa predicted by models:10-5,pKa predicted by models:11-3,pKa predicted by models:9-6,pKa predicted by models:11-9,pKa predicted by models:11-7,pKa predicted by models:11-8,pKa predicted by models:10-4,pKa predicted by models:11-6,pKa predicted by models:10-7,pKa predicted by models:11-5,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:10-6,pKa predicted by models:9-0,pKa predicted by models:8-1,pKa predicted by models:10-0,pKa predicted by models:9-1,pKa predicted by models:11-0,pKa predicted by models:10-1,pKa predicted by models:11-1,consensus,std. dev.
10,sm11-11_neut->an,3.73,4.950185,5.105742,4.042846,5.755582,4.8552456,4.403305,4.238596,5.026849,4.721606,4.867951,5.0158825,4.376483,5.405233,5.0089273,5.7359023,3.8487258,4.932193,4.6905975,4.74565,4.248764,4.1624565,4.8133144,4.069751,5.1299896,4.7808976,5.229227,4.8078766,4.2657948,4.4420056,4.70599,4.6393914,4.4982276,5.8230085,4.3951373,4.5997252,4.1305985,4.9656887,4.3622932,4.33877,3.9721851,4.720303,5.0921636,4.8676777,5.0132937,4.7078867,4.718833,3.8653889,4.9082155,4.0406475,5.105706,5.444738,4.544886,4.5433917,5.202759,4.796354,5.0049057,4.5939574,4.736572,4.884674,4.3758945,4.7687654,4.3855963,5.4089484,5.4677114,4.466156,5.659164,5.117386,5.199484,4.8839984,5.0405293,4.4138217,4.743203,4.71023,4.428987,5.016121,4.115863,5.4842134,4.562254,4.640159,4.8832345,4.802061,4.9750156,4.352695,4.9106245,5.2138915,4.5972657,4.9564857,4.4542427,4.4134994,4.868952,4.746674720848,0.43667116553332697
11,sm11-11_cation->neut,1.67,0.5335016,1.0275688,1.3172913,0.94508743,1.089148,0.44677353,1.1376414,2.6665702,0.46507978,1.3273058,1.4787903,1.3578458,2.289991,0.16828299,1.7546823,1.8281896,0.6948824,1.4142704,0.5779276,2.4903598,0.8298359,1.5439463,1.1255717,1.6261778,1.0658517,2.1936703,1.511744,1.4301062,2.0254614,2.07253,1.5073533,1.062232,1.4141517,0.98792315,0.91508245,1.3619885,1.1720676,1.2138143,2.014604,0.8010793,1.8181753,2.5331411,1.5890894,1.8819413,1.5114632,1.7801507,1.3943067,0.17916965,2.4669628,1.30127,1.5729339,1.6263912,1.4322996,2.7777894,0.5126362,1.6934214,1.5654979,1.1827896,1.3163958,1.6890502,1.4112132,1.2826991,1.1083899,1.5686898,1.1435432,1.3685539,2.165666,1.6324472,2.5060475,1.0836854,1.7703395,1.6571856,2.5528915,1.0603786,1.3243699,2.081679,2.070426,2.8116214,1.2902274,1.3169436,3.1117573,1.3315625,1.9172854,2.575241,1.1406641,2.8045678,0.85416365,3.0271142,0.95611334,0.26712132,1.5118004979144088,0.6405618819171239
12,sm11-12_cation->neut,1.98,1.8078995,2.0736208,1.9424353,1.4519229,1.2438097,0.928493,1.1629791,2.5423071,2.2637339,2.1819797,2.2746015,1.5016885,2.6044855,1.9728575,2.5835497,2.162936,0.59766006,2.7183654,1.4409819,2.5949209,1.1427212,2.1242213,1.7649751,1.7119265,1.270175,1.6728449,2.4017673,2.2488012,2.0022762,2.7479572,2.275934,1.7402787,1.8823037,0.7918124,1.2956553,1.3382149,1.7120657,1.1875687,2.3282995,1.187119,1.7010832,2.5342064,1.7335947,2.12895,2.3361683,1.9462485,1.5639338,1.4399264,1.8773978,1.4258137,1.0826893,1.8077545,1.485661,2.6000757,2.462341,1.6910048,1.763206,1.6215377,1.6096978,1.9143534,2.2583816,2.6241212,2.1603136,1.5167575,1.2940812,1.8774164,1.9353161,2.1874228,3.2685375,1.6951201,2.6794605,2.0803869,2.4509878,1.961009,1.4460635,1.5287442,2.6871386,2.1063612,1.8774104,2.1037974,2.750938,1.1914783,1.8972261,3.1464472,1.3115969,2.499978,1.1954641,3.1801639,0.91425514,0.5287199,1.8894382909628062,0.5699496076901241
13,sm11-12_neut->an,3.67,4.786043,4.3932815,5.0166874,4.9544945,4.354855,4.7099113,5.3344803,4.9171505,5.262606,5.308565,4.330222,4.533535,4.126239,4.633392,5.37582,5.15442,4.79902,5.559619,4.895108,5.1969237,4.682428,4.8742514,5.2644525,5.9909096,4.110614,4.2056003,5.0127034,5.256938,4.7592735,3.9790606,4.246202,5.1440687,4.704585,3.9252453,4.995473,4.945243,5.4678707,5.1232004,4.741501,4.8693123,4.0533843,4.762387,4.2767878,4.7766633,4.9069757,4.842057,4.1202793,4.38066,4.706607,4.918589,4.5398617,5.020297,4.4931755,4.5996704,5.0535226,4.590153,3.8247685,5.0801845,4.6861763,4.0680676,4.821944,4.5930076,4.7890043,4.427454,3.6322646,5.2027664,5.0365877,4.778881,3.8265743,4.7501817,4.3527694,4.675318,4.321237,4.463291,5.084328,3.5015993,4.890095,4.241672,4.1119146,4.5468154,4.1694813,4.4466605,4.3018465,4.5788574,4.73775,5.0116696,4.775758,4.7319565,4.198572,5.1495266,4.675399538396479,0.45669685640249985
14,sm11-13_neut->an,8.15,8.156682,8.75247,8.858712,8.397472,8.917419,8.284141,8.909955,8.882037,8.514471,8.794153,8.81781,9.1148,8.904121,8.944051,8.731789,8.456481,8.810434,8.111017,7.980525,9.11162,8.248026,9.63129,8.618071,8.86203,8.259508,8.746576,8.541355,8.223457,8.39369,8.731655,9.834841,8.783507,8.683416,8.461431,8.0287,8.356655,8.238895,8.075883,8.887175,8.518879,8.533911,9.009168,7.991272,8.986257,8.997518,7.9974947,8.92035,8.19724,8.239447,7.8712373,8.682075,8.300408,8.22611,8.902571,9.290225,8.407679,8.509615,8.174974,8.125895,8.657782,8.761938,8.049938,9.17951,8.184534,8.719981,8.041511,8.366525,8.265465,8.621855,8.145329,8.358849,7.896061,8.366333,8.614897,8.017733,8.798634,8.671009,8.318431,8.205342,8.150948,8.339773,8.556901,8.885963,9.118163,8.327649,8.850907,8.39133,8.778328,8.312315,8.173102,8.540831680088253,0.3843966588361229
15,sm11-14_neut->an,7.41,7.3709445,9.190864,8.142357,8.709032,9.269951,7.392562,9.152317,8.485933,9.725664,7.8793583,8.929203,8.89659,8.411524,9.365236,8.523253,8.4185295,9.174831,9.000598,8.3509,8.558361,7.644749,9.003699,7.904555,8.47047,9.031387,8.489876,8.277746,7.992219,8.340027,9.17957,9.764775,8.552332,8.880793,9.06995,8.675562,7.686581,8.401701,9.235697,9.029396,8.626528,8.0062065,8.380705,8.620569,8.536037,7.867565,8.238784,8.819809,8.160554,8.604698,8.6462555,8.759812,8.344108,7.6246233,8.23876,8.594318,8.39843,8.761246,9.182138,8.007233,8.418095,8.970303,7.9751153,8.590884,9.11524,8.700772,8.743348,8.71846,8.159205,8.179721,8.949753,8.942249,8.003413,8.1200075,8.257624,8.824086,8.571766,9.0283985,8.267782,8.154318,9.287287,8.106742,8.45363,8.411365,8.515108,7.9245577,8.431487,8.084316,8.560368,8.055028,7.926321,8.514881591587276,0.49497393653027877
16,sm11-15_neut->an,5.18,5.0570436,6.031002,5.8888316,5.67273,5.4623103,5.4011674,5.809096,4.737859,5.597825,5.3657856,6.5932035,6.3391166,5.707796,6.409428,6.000102,4.900047,6.049017,5.6292076,4.4702654,5.9033766,5.389459,6.5325193,5.7161093,5.6661777,5.825334,5.238015,4.990195,5.4532075,5.5372868,6.3508406,7.3284774,6.9120398,6.1212163,5.657078,4.533804,5.9307013,5.7134843,5.8185287,6.3842998,6.2457685,6.083716,5.932047,5.600437,6.1120214,6.2732635,5.3358855,5.794281,4.7640967,5.7138405,6.3130884,5.014056,5.6273546,5.300084,5.6169205,6.494986,5.4329453,5.472937,5.7180057,4.6190996,5.3471174,6.308671,5.613115,6.6748586,5.1666946,6.090472,5.6334777,5.269672,5.7841434,5.564063,5.2071605,6.4547267,6.2194366,6.0025625,6.1992455,5.3328686,5.3929076,5.483525,4.9970565,5.200583,5.8183517,5.8698483,5.13806,5.27595,5.7694025,5.250677,5.2864885,5.5937376,5.770728,4.7987714,4.613634,5.669195873973134,0.5420671603992862
17,sm11-16_neut->an,9.46,9.178261,10.411406,9.7412405,9.370773,9.785131,9.227751,10.3348675,9.613119,9.810423,9.222999,11.024277,10.2162,9.627663,10.585632,9.544954,9.069759,9.1229725,9.516902,9.327442,9.627033,9.18515,11.537838,10.094244,9.331136,9.468106,9.990241,9.100528,9.153277,9.145859,9.239117,11.625417,9.9278755,9.232565,9.604605,9.349636,9.233119,9.230452,9.351812,10.625679,10.209453,8.891524,9.365019,9.392632,9.371397,9.519209,9.335363,10.354914,9.153044,8.775344,9.383785,9.622611,9.337301,8.896143,10.065076,11.701694,9.458214,9.457867,9.421709,9.531622,8.975005,9.261368,9.064832,11.201147,9.476977,9.649977,9.928895,9.745545,9.810881,9.106525,9.416983,8.631371,9.440602,9.053493,10.4294815,9.522383,9.730717,10.022221,9.000235,9.464966,9.053801,9.676567,9.434877,9.207527,9.565692,9.447409,9.2340145,9.410267,9.107594,9.363348,9.512111,9.598199885860904,0.5930427621344962
18,sm11-17_neut->an,3.79,3.6748028,3.8876305,3.786034,3.2892013,3.940402,4.126415,4.281024,3.6401272,3.3146825,3.7569113,3.4973788,4.036536,4.3134775,4.560774,3.8143682,4.0406055,3.5285187,3.779366,4.1053534,4.0428147,3.927885,4.297779,3.522283,3.5652952,4.264492,3.5900924,3.657959,4.130246,3.7307575,4.1269407,4.2694235,3.765944,3.5352,4.2481284,4.2245398,5.041326,3.75211,3.2922845,3.6024218,3.8461313,3.5465565,4.241415,3.796882,3.541072,4.3169403,3.6459188,3.60813,3.4237587,3.8652143,4.004849,3.465045,3.363287,4.2980204,3.8665423,4.341529,3.4404554,4.1605268,3.8499103,4.0624323,3.6429214,4.1653986,3.9630518,4.1604476,4.5352435,4.085312,3.956292,4.2784867,4.3556967,4.2088027,3.8047442,4.0821905,4.053242,4.219181,3.8059597,3.8441591,3.8742657,4.365084,3.686359,4.5577965,3.631526,4.1134734,4.1750226,3.943485,4.3250012,3.9011254,4.316992,4.116374,4.2108603,4.342228,3.3975887,3.9401588915730565,0.33626987894256943
19,sm11-18_neut->an,8.96,9.173273,9.469434,9.067364,9.15115,9.082699,9.194511,9.255255,9.090894,9.4491825,8.824535,9.286436,8.400288,9.2381315,9.970088,9.326797,9.06445,9.238014,9.057471,8.874342,8.865526,8.898763,9.540252,9.726829,9.25953,9.198077,9.188347,8.854454,8.697527,8.95502,9.737482,9.598867,8.7539215,9.263383,8.99435,8.935665,9.111706,8.62537,9.55485,9.309845,9.257761,8.863741,9.680094,8.688837,9.328291,8.742625,9.125235,9.318373,8.6705265,8.4662285,8.939876,9.374791,9.155541,9.106709,9.147296,9.077536,9.090509,9.144502,8.970856,8.733887,9.005567,9.166489,9.184,9.838322,9.120196,9.350343,8.267214,9.336749,9.446428,9.377822,9.622223,9.119528,8.940077,8.990883,8.750538,9.239392,8.822243,9.716877,8.406576,8.785944,9.314842,9.29663,8.991132,8.928125,9.438205,8.560989,9.351177,8.63304,9.529182,9.013269,9.001052,9.1172785283183,0.3284587797404098
20,sm11-19_cation->neut,6.76,6.8773713,7.205765,7.138752,7.8847513,6.2048345,6.7112403,6.0869226,7.3662863,7.6917796,6.6081324,7.139748,6.4764175,7.4004445,7.4507713,7.879157,7.4024124,5.829621,6.8528004,6.1005454,7.523094,7.017716,8.089161,5.591504,7.928056,5.781018,7.199138,6.9789658,8.026401,6.3159866,7.8303156,7.291922,6.1242085,7.914775,6.019252,6.1547856,7.1108956,6.2711577,7.816241,8.001038,5.640517,7.8617806,7.023272,6.0615773,8.335241,6.6355004,7.2523794,6.5434017,6.6904263,7.4745426,5.9978786,6.0229387,6.9274635,7.042939,7.627616,7.120648,6.9696474,6.568284,6.2260838,7.0796013,7.5899906,6.573794,6.8335485,7.3410053,5.547661,6.52347,5.688258,7.313753,6.847072,7.101009,6.87173,6.612416,7.3863416,7.5708666,6.762224,7.1091394,6.358293,7.046958,7.8349886,6.568734,7.5250936,7.179177,5.684043,8.346975,7.4493513,5.655677,7.777386,4.7359953,7.4325,5.1477356,4.7266197,6.882383826119559,0.7829447522574379
21,sm11-20_neut->an,4.24,4.0956507,4.4746404,4.659994,5.160307,4.702757,4.5113416,4.824153,4.249485,4.3107653,4.5336914,4.5678363,4.558865,4.375988,4.4934964,5.4307,4.6420445,4.501819,3.9619172,4.6685143,4.914879,4.197825,4.677969,4.566731,5.269212,4.6832285,4.218938,4.799059,4.35654,4.1731195,4.786216,4.6711106,4.300249,5.42323,4.9211125,4.3156524,5.0682793,4.808765,4.144497,4.28126,4.272235,4.1678414,4.32392,4.0808115,4.643215,4.2991247,4.7010064,4.3964357,4.28272,4.5898542,4.4896336,4.1408663,5.0052967,4.3768806,4.752493,4.415321,4.094213,4.726301,4.5658407,4.4005423,3.8269901,5.095031,4.2143106,4.2323117,4.351022,4.4583325,4.6942916,4.96701,5.12878,4.8395805,4.447886,5.3541684,4.6853385,4.3767195,4.7524996,4.538493,4.683197,5.2853427,4.0971293,5.018144,4.621734,4.143641,4.1156235,4.2844105,4.257513,3.9707332,4.547414,3.946703,4.6159515,4.0516686,3.9617157,4.525605233056205,0.3560890220444891
