,compn,exp. pKa,pKa predicted by models:3-3,pKa predicted by models:3-9,pKa predicted by models:3-8,pKa predicted by models:3-5,pKa predicted by models:4-2,pKa predicted by models:4-3,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:4-9,pKa predicted by models:4-8,pKa predicted by models:3-0,pKa predicted by models:8-9,pKa predicted by models:4-5,pKa predicted by models:4-4,pKa predicted by models:5-2,pKa predicted by models:4-7,pKa predicted by models:3-1,pKa predicted by models:4-6,pKa predicted by models:5-3,pKa predicted by models:5-9,pKa predicted by models:5-8,pKa predicted by models:5-5,pKa predicted by models:6-2,pKa predicted by models:4-0,pKa predicted by models:5-4,pKa predicted by models:6-3,pKa predicted by models:5-7,pKa predicted by models:5-6,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:4-1,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:5-0,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:9-2,pKa predicted by models:5-1,pKa predicted by models:8-5,pKa predicted by models:9-3,pKa predicted by models:6-0,pKa predicted by models:9-9,pKa predicted by models:8-4,pKa predicted by models:9-8,pKa predicted by models:10-2,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:9-5,pKa predicted by models:10-3,pKa predicted by models:10-9,pKa predicted by models:6-1,pKa predicted by models:10-8,pKa predicted by models:9-4,pKa predicted by models:7-0,pKa predicted by models:9-7,pKa predicted by models:10-5,pKa predicted by models:9-6,pKa predicted by models:10-4,pKa predicted by models:10-7,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:10-6,pKa predicted by models:9-0,pKa predicted by models:8-1,pKa predicted by models:10-0,pKa predicted by models:9-1,pKa predicted by models:10-1,consensus,std. dev.
11,sm11-11_cation->neut,1.67,0.5290041,1.0104451,1.314683,0.9496045,1.0938978,0.44351768,1.140625,2.6604238,0.46708727,1.3262787,1.4744906,1.3534803,2.2905002,0.15843725,1.7577131,1.8247182,0.69965553,1.4202669,0.5778899,2.4906695,0.8322873,1.5406079,1.1172013,1.6273048,1.0691681,2.194434,1.5103178,1.4308724,2.0231693,2.0661907,1.4992595,1.0578151,1.4125824,0.9916687,0.9154215,1.3602655,1.1670146,1.2235112,2.0081983,0.79201937,1.8132458,2.5299752,1.5943403,1.8869858,1.5101404,1.7794557,1.3832693,0.18380547,2.4702911,1.3046265,1.5764072,1.6300597,1.4336009,2.7733467,0.50728226,1.6923366,1.5532146,1.1857188,1.3124413,1.6857274,1.4162183,1.2845426,1.0998092,1.5694597,1.12676,2.1635346,2.4964528,1.0812616,1.7689712,2.554439,2.0669475,1.2916994,3.1007717,1.3306375,1.9208634,2.565339,1.1382351,2.7966826,0.85434103,0.956429,1.4923748666268808,0.6191285951594667
12,sm11-12_cation->neut,1.98,1.8112941,2.0784397,1.9292054,1.4480715,1.2460976,0.9231186,1.1625719,2.5431435,2.262221,2.176249,2.289599,1.4944973,2.6010668,1.9847207,2.5806932,2.1692536,0.5982609,2.72112,1.441886,2.5962155,1.1454868,2.136344,1.7622194,1.7094007,1.2728605,1.6766238,2.4131868,2.2515383,1.9980941,2.7466424,2.2681286,1.7331686,1.8788738,0.79604244,1.2960587,1.3364878,1.7114933,1.1894541,2.3369312,1.1875262,1.6991754,2.537293,1.733321,2.1339827,2.339108,1.9507854,1.5650573,1.4403214,1.876807,1.4253478,1.0823398,1.8094051,1.4867153,2.5971308,2.4693913,1.6934292,1.76299,1.6242092,1.6154194,1.9075425,2.260535,2.6260352,2.1569467,1.5177436,1.2960382,1.9444685,3.2666636,1.6952932,2.6758828,2.4490588,2.6944828,1.8797309,2.7544684,1.1918488,1.882829,3.1520824,1.3129668,2.5040908,1.1955352,0.91445875,1.8889533028779208,0.5616389298401117
13,sm11-12_neut->an,3.67,4.783637,4.3925443,5.01783,4.956744,4.3541064,4.708512,5.3325443,4.916563,5.261879,5.3079233,4.329471,4.5332007,4.122622,4.6344485,5.377021,5.152284,4.797676,5.5577707,4.894581,5.19516,4.6795597,4.8737073,5.2644854,5.995117,4.1095543,4.2012234,5.0116777,5.2576404,4.759404,3.9763784,4.2476597,5.1446757,4.7073827,3.9242153,4.9948635,4.941497,5.466056,5.120396,4.7414994,4.868581,4.0508304,4.760167,4.2781067,4.77961,4.9064064,4.8388257,4.1195006,4.382451,4.704384,4.9146204,4.540924,5.0224576,4.486108,4.5976667,5.051613,4.5869336,3.823018,5.078974,4.687754,4.0657063,4.821186,4.591737,4.790002,4.426326,3.6314874,5.0328116,3.827528,4.7468863,4.355356,4.3202753,4.8889494,4.1119027,4.1688485,4.4461255,4.2997484,4.5782576,4.737377,5.010109,4.775387,4.197743,4.679212257243969,0.45381870281289566
14,sm11-13_neut->an,8.15,8.155385,8.750956,8.855193,8.39444,8.916498,8.286648,8.903898,8.876967,8.503015,8.791538,8.818918,9.110992,8.892775,8.940324,8.7278595,8.442041,8.81032,8.112015,7.977108,9.114316,8.249914,9.635462,8.609601,8.854911,8.256872,8.734605,8.536242,8.221103,8.401392,8.742823,9.8254795,8.781223,8.672447,8.462295,8.023571,8.3534775,8.232071,8.070317,8.884967,8.516592,8.532845,9.000881,7.9940634,8.974518,8.997578,7.9950953,8.915796,8.198097,8.239314,7.8771644,8.673606,8.295571,8.224634,8.891102,9.292466,8.402193,8.504002,8.171774,8.131104,8.655867,8.755199,8.045927,9.165624,8.182001,8.717633,8.364418,8.61058,8.14505,8.354556,8.362092,8.668635,8.21178,8.323231,8.558089,8.879871,9.103242,8.326056,8.843024,8.388731,8.318354,8.56652265595801,0.3818379664264372
15,sm11-14_neut->an,7.41,7.3749113,9.187759,8.148111,8.714472,9.268375,7.388014,9.149243,8.479267,9.721641,7.875949,8.92989,8.893225,8.408845,9.364401,8.52846,8.415472,9.172576,8.998556,8.348982,8.561834,7.63899,9.005784,7.9082937,8.474829,9.020372,8.487297,8.277405,7.989565,8.340259,9.181115,9.762836,8.552852,8.886017,9.060984,8.679965,7.6809735,8.399989,9.234696,9.027523,8.627941,8.00292,8.379055,8.6142645,8.53901,7.863343,8.23884,8.823574,8.160746,8.602482,8.648067,8.763594,8.344584,7.6202245,8.240216,8.59102,8.395875,8.769986,9.1815,8.006828,8.417358,8.97352,7.969443,8.592815,9.11878,8.711958,8.720271,8.174231,8.94919,8.942805,8.118027,9.030183,8.149557,8.106141,8.468409,8.409178,8.514162,7.92904,8.431567,8.096725,8.059747,8.5215667519746,0.505370230895654
16,sm11-15_neut->an,5.18,5.0575705,6.035966,5.8796744,5.672228,5.459584,5.399301,5.8070574,4.7393694,5.5986967,5.3685746,6.5945864,6.3355308,5.69718,6.4045825,6.0012193,4.9034414,6.044443,5.631566,4.477293,5.9053288,5.3887362,6.53243,5.717009,5.6638594,5.8301554,5.2252016,4.992137,5.4506564,5.5321665,6.3561745,7.3219547,6.90978,6.1311235,5.654168,4.5457163,5.928202,5.7203345,5.818006,6.383643,6.2425365,6.0852375,5.9227157,5.5995884,6.1194625,6.2740355,5.339282,5.7886276,4.7622886,5.7159853,6.3142214,5.0253897,5.632721,5.295632,5.6089478,6.4938583,5.4322186,5.4653444,5.717163,4.6191883,5.347067,6.316119,5.613517,6.67347,5.1711397,6.0816956,5.2671957,5.5615726,5.208797,6.4620843,6.005101,5.4909344,5.198087,5.8774066,5.139081,5.2770095,5.769664,5.2522283,5.287192,5.596571,4.80095,5.680814497912372,0.5474254251228906
17,sm11-16_neut->an,9.46,9.170519,10.413288,9.745511,9.375494,9.7872925,9.234623,10.338802,9.613602,9.803822,9.2284775,11.0228195,10.2120075,9.621256,10.585705,9.540052,9.077032,9.121875,9.512617,9.322421,9.630407,9.187481,11.531798,10.097636,9.32472,9.466869,9.983309,9.099043,9.156812,9.151846,9.245043,11.629673,9.9267,9.245251,9.606124,9.351652,9.232458,9.237468,9.361711,10.62347,10.215936,8.889305,9.35658,9.397738,9.36726,9.522479,9.336863,10.35472,9.158049,8.777707,9.381019,9.617329,9.33244,8.897344,10.050759,11.69678,9.462646,9.460087,9.421942,9.540486,8.97533,9.257753,9.069409,11.191336,9.4768095,9.648169,9.750924,9.106161,9.424317,8.632215,9.054516,10.029528,9.467578,9.681549,9.433509,9.211313,9.566328,9.446102,9.231279,9.404302,9.359724,9.604102546315135,0.6095728217280756
18,sm11-17_neut->an,3.79,3.6760068,3.8906636,3.7885828,3.294002,3.9412112,4.1231346,4.285099,3.6464224,3.3202138,3.756576,3.5039015,4.041741,4.3082285,4.5595565,3.8168783,4.0393677,3.5295162,3.7851462,4.100197,4.048461,3.931047,4.293586,3.5323305,3.5629501,4.2663727,3.5953844,3.6609406,4.134377,3.7347796,4.1320944,4.2651067,3.7686286,3.5327997,4.2489557,4.22114,5.0423555,3.7586484,3.297402,3.597571,3.848061,3.5509548,4.2400503,3.7994921,3.5414066,4.3166814,3.6510563,3.6149006,3.426412,3.8721704,4.003875,3.4472094,3.365994,4.3020506,3.8681097,4.3441653,3.4441743,4.1650248,3.8520846,4.0657606,3.647276,4.1629496,3.9649692,4.1513906,4.520934,4.0893908,4.2854023,4.204591,3.8074641,4.0863624,4.224868,4.3657713,4.5601196,4.1067076,4.159729,3.9490678,4.3260927,3.8877063,4.3071165,4.099001,4.334136,3.9479265983016396,0.34159041306412025
19,sm11-18_neut->an,8.96,9.173942,9.464646,9.067492,9.145157,9.08226,9.19269,9.252605,9.088764,9.443745,8.826125,9.284834,8.4001045,9.234718,9.9715805,9.322079,9.064271,9.236494,9.050146,8.874365,8.864939,8.895044,9.538933,9.725224,9.256428,9.197499,9.183973,8.852913,8.6960945,8.954466,9.735653,9.598127,8.759695,9.260926,8.993269,8.93551,9.11211,8.626325,9.5470085,9.306185,9.256717,8.863759,9.679818,8.687738,9.325907,8.74071,9.127874,9.31583,8.667736,8.463776,8.944143,9.376284,9.153963,9.104051,9.146331,9.073472,9.09071,9.149191,8.974804,8.728138,9.007252,9.161875,9.18107,9.838573,9.120735,9.350465,9.336953,9.378162,9.6195755,9.118218,8.991655,9.71852,8.78302,9.2988615,8.992857,8.925962,9.440106,8.562726,9.350097,8.633395,9.015086,9.134227869952166,0.31329495930746104
20,sm11-19_cation->neut,6.76,6.8733425,7.2071056,7.137554,7.8837967,6.204403,6.7074065,6.0847454,7.3626943,7.690441,6.60728,7.136757,6.4736505,7.396279,7.447791,7.87827,7.4004283,5.828695,6.851682,6.0960383,7.523424,7.014862,8.08943,5.593229,7.932109,5.781191,7.1995974,6.9749637,8.022659,6.3154097,7.829779,7.2899218,6.122767,7.908826,6.0206447,6.154109,7.1078405,6.26926,7.8174376,7.998967,5.6406794,7.854116,7.0214357,6.0623703,8.337463,6.636983,7.2510424,6.5424643,6.691362,7.473304,5.9976497,6.022449,6.9232416,7.0422053,7.6262865,7.115749,6.9655895,6.5651646,6.228348,7.0792284,7.5887237,6.5737705,6.830908,7.3385034,5.541743,6.520811,7.3122616,7.1042137,6.8738785,6.611912,7.567523,7.0449505,6.568441,7.1783814,5.6837745,8.344628,7.4481306,5.654337,7.7777805,4.7325735,5.1460104,6.895249063703749,0.7654689720661483
21,sm11-20_neut->an,4.24,4.103885,4.476145,4.6560845,5.155138,4.7112675,4.5091834,4.827023,4.2506123,4.31746,4.5374646,4.555048,4.551043,4.364874,4.4928102,5.436223,4.6514435,4.510755,3.9668808,4.673807,4.9181814,4.1920896,4.6673656,4.56506,5.2694335,4.6901846,4.2090135,4.8021154,4.35693,4.1721344,4.786421,4.6651387,4.2961726,5.420494,4.9253197,4.320483,5.071614,4.8132644,4.144914,4.2743635,4.272913,4.1761236,4.3146906,4.0893764,4.639169,4.2984056,4.7028594,4.392963,4.2882085,4.596575,4.4965467,4.146332,5.0044413,4.376349,4.7481675,4.41101,4.092734,4.7111154,4.5730076,4.406861,3.8294592,5.0990133,4.216652,4.226777,4.352954,4.4556546,4.97474,4.832218,4.4474883,5.355873,4.3742895,5.28494,5.018263,4.135033,4.118443,4.2833543,4.2471514,3.9750276,4.541379,3.9544916,4.05674,4.519328767752942,0.3603264427165406
22,sm11-21_neut->an,3.05,4.8308654,4.170521,5.372836,3.3050976,4.620261,4.464148,4.737637,4.108595,4.0356026,4.5442295,4.3011837,4.847419,4.566119,4.5273576,3.3365192,4.7077255,4.6327567,3.9521437,3.5081158,4.7087,4.130779,4.10902,4.3305483,4.0595207,5.4701657,4.5189962,4.19158,4.759349,4.1909795,4.467293,4.59426,4.930896,4.227502,4.55304,3.1876435,4.6889915,4.8798976,3.934978,4.4873486,4.463585,4.2906656,3.6303034,4.531394,4.1746526,4.7531953,3.994194,4.466839,3.8344994,4.805442,4.415566,2.714818,3.5993886,4.658085,3.5803218,3.9734516,4.217441,5.0269547,3.8469782,4.340365,3.9117575,4.220932,4.7926183,3.9568653,3.8223605,4.329629,4.0878463,4.05374,3.9643757,3.9941597,4.678937,4.628457,3.9273489,3.5923386,3.862465,4.3217373,3.678444,3.55831,3.5547118,3.3781,3.8745003,4.216646851433648,0.5120693120670545
23,sm11-22_neut->an,8.93,8.638705,9.652146,9.868666,8.718988,9.511627,8.490913,9.53799,9.168907,9.172408,9.747824,10.520985,9.683273,8.95606,9.986197,8.715557,8.895676,9.222315,9.202854,9.49407,9.78881,8.076198,10.47657,10.005123,8.917909,9.027237,9.083815,8.702675,8.876997,9.157523,9.222491,10.473851,9.941753,8.782183,9.153305,9.45208,8.803976,8.057268,9.084398,9.907866,9.574343,9.138048,8.295652,8.9599495,8.845442,9.1761,8.746927,9.8630705,9.26762,9.409067,8.851484,9.591209,8.499037,9.5088825,9.036467,10.822186,8.707153,9.443612,8.263585,8.991875,9.65988,9.012,9.436841,10.921613,9.103807,9.623309,8.938194,8.921963,9.190267,8.576362,9.379992,9.221205,9.460508,9.369105,10.033832,9.49477,9.872847,9.565109,9.531055,10.16652,9.843183,9.301497055336283,0.5752461588312406
24,sm11-23_neut->an,3.16,3.3580618,3.9113545,3.2225885,3.392589,3.85747,4.0260468,4.066007,4.787367,5.2162714,3.9884677,4.1253986,3.3618484,5.347327,3.3225422,3.8481388,4.9798803,3.9285312,4.0774837,4.1779633,4.1061735,4.00088,3.8336735,3.188849,4.549263,3.9741092,5.3780804,5.494961,4.138451,4.059882,4.116883,3.5470304,3.054647,3.4987411,3.7905498,4.4127564,3.9442153,5.718256,4.606473,3.460528,3.4641604,3.7110944,5.345705,3.7507477,3.853179,4.1017003,5.0683265,3.3413935,2.6885133,4.494279,3.4309678,4.2055054,3.8266733,3.6860852,5.626203,3.5218182,5.1722527,3.4368858,4.011816,4.256895,3.0684142,3.606101,3.8017917,3.6333604,4.395619,3.4967022,5.611356,5.932631,3.9663036,3.5817695,3.8927073,5.5473413,3.6656845,5.5305395,4.173793,4.1266494,6.1551867,4.0576687,5.981604,3.9672,4.275268,4.154217674820511,0.777628386699882
