,compn,exp. pKa,pKa predicted by models:8-9,pKa predicted by models:6-2,pKa predicted by models:6-3,pKa predicted by models:6-9,pKa predicted by models:6-8,pKa predicted by models:6-5,pKa predicted by models:7-2,pKa predicted by models:7-3,pKa predicted by models:6-4,pKa predicted by models:6-7,pKa predicted by models:7-9,pKa predicted by models:7-8,pKa predicted by models:6-6,pKa predicted by models:8-2,pKa predicted by models:7-5,pKa predicted by models:8-3,pKa predicted by models:7-4,pKa predicted by models:8-8,pKa predicted by models:7-7,pKa predicted by models:7-6,pKa predicted by models:8-5,pKa predicted by models:6-0,pKa predicted by models:8-4,pKa predicted by models:8-7,pKa predicted by models:8-6,pKa predicted by models:6-1,pKa predicted by models:7-0,pKa predicted by models:8-0,pKa predicted by models:7-1,pKa predicted by models:8-1,consensus,std. dev.
10,sm11-11_neut->an,3.73,5.0027556,4.775937,4.2639914,4.6436157,4.4979253,5.80684,4.3949075,4.119461,4.9685783,4.3428116,4.3245554,3.9814377,4.7196865,4.8841734,5.031504,4.700251,4.742798,3.855649,4.9222736,4.047982,4.526042,5.2086296,5.0105653,4.861598,4.3734646,5.432221,4.887365,4.8013678,4.969677,5.204244,4.678461566432831,0.45897644227628565
11,sm11-11_cation->neut,1.67,0.1748929,1.0537095,1.4211249,1.5175738,1.0408602,1.4325581,0.9851117,1.3586855,1.1825166,1.2545395,2.0287352,0.7451272,1.8106482,1.6035976,1.8790469,1.5012393,1.7692156,1.3533258,0.22455883,2.4540682,1.68716,2.751555,1.6868033,1.3282471,1.6848576,1.5772371,2.4691408,3.0691705,1.3170202,1.1400313,1.5216889818253057,0.6127476148810462
12,sm11-12_cation->neut,1.98,1.9881649,1.2202568,2.2113972,2.255961,1.7189355,1.9128156,0.7811737,1.3099394,1.7124951,1.1470394,2.353868,1.1636791,1.7002192,1.7146904,2.1620855,2.2964342,1.9402328,1.5509329,1.4094748,1.8749583,1.7723448,2.5952528,1.6757722,1.562005,1.9269581,1.4927049,3.2537975,2.7216587,1.1645894,1.2843337,1.8017474445219963,0.5176617847382529
13,sm11-12_neut->an,3.67,4.621077,4.1085916,5.2496176,4.2352023,5.1388702,4.7061787,3.9246774,4.9300203,5.4606977,5.101974,4.718306,4.8631115,4.0312634,4.272353,4.799933,4.9099073,4.8401556,4.1234503,4.3799458,4.6867437,5.0274262,4.5923567,4.5910277,4.6526413,4.057292,4.432973,3.821035,4.161213,4.452589,4.753746,4.558528267029794,0.4329752779649567
14,sm11-13_neut->an,8.15,8.947061,8.268361,8.241285,9.848037,8.797322,8.700942,8.453232,8.363619,8.242368,8.062182,8.884256,8.531654,8.5455475,7.9876604,8.993614,8.994979,8.005332,8.933049,8.165784,8.235111,8.310319,8.91654,8.4198475,8.101133,8.655918,8.155114,8.63746,8.366858,8.53427,8.321145,8.508709735255087,0.39224126034795387
15,sm11-14_neut->an,7.41,9.370574,9.017437,7.989222,9.760934,8.5490885,8.88973,9.044589,7.6937,8.399464,9.230911,9.026529,8.626966,8.003902,8.606541,8.544571,7.860931,8.242483,8.819294,8.159748,8.600113,8.351209,8.239119,8.395958,8.003681,8.42059,9.121853,8.173226,8.106594,8.487997,7.9362803,8.486555996556435,0.5167961765961656
16,sm11-15_neut->an,5.18,6.426533,5.8158793,5.4552298,7.340373,6.9274197,6.0945406,5.673725,5.9367375,5.691966,5.81596,6.395046,6.267357,6.060836,5.618185,6.092361,6.269033,5.32564,5.8283653,4.756726,5.7103176,5.6410255,5.6279964,5.436452,4.637211,5.330221,5.1499224,5.5713735,5.829895,5.1135263,5.2305923,5.750014402943273,0.5659172777566472
17,sm11-16_neut->an,9.46,10.586028,9.469664,9.142464,11.614258,9.9460745,9.209675,9.60134,9.222958,9.20344,9.344045,10.617564,10.20406,8.899105,9.387407,9.372608,9.519792,9.332165,10.368149,9.128708,8.774153,9.34349,10.092827,9.451902,9.476358,8.972799,9.473872,9.116592,9.667164,9.435743,9.435274,9.57644120985462,0.5820874925851296
18,sm11-17_neut->an,3.79,4.595043,4.282375,4.127256,4.2733,3.7692633,3.5162182,4.260715,5.0352716,3.7373376,3.2868154,3.6158204,3.8528028,3.5454993,3.792473,3.518721,4.303018,3.6235757,3.6127453,3.4186997,3.8528824,3.3195705,3.8458374,3.4131804,4.0562572,3.641543,4.551504,4.219823,4.1132865,4.176459,3.920613,3.905416351441414,0.40382123089089944
19,sm11-18_neut->an,8.96,9.971641,9.18939,8.6771345,9.583448,8.784565,9.2691765,8.998552,9.118274,8.629257,9.5351095,9.296416,9.271685,8.867904,8.683802,9.332874,8.742613,9.131264,9.313022,8.664109,8.461453,9.158885,9.145919,9.0913515,8.721472,9.015668,9.128115,9.378914,9.308081,8.995344,8.572812,9.064459676434918,0.33109786051277
20,sm11-19_cation->neut,6.76,7.4419327,5.789578,8.004974,7.3042674,6.107956,7.894231,6.0309095,7.0906053,6.259821,7.837207,7.992325,5.634759,7.8412685,6.0674005,8.352985,6.628231,7.2516127,6.5323696,6.7008667,7.4743156,6.9117293,7.6098475,6.9530625,7.0652795,7.5870285,5.5243425,7.1006503,7.1616206,5.6767707,5.6438994,6.910704728403399,0.801022281918175
21,sm11-20_neut->an,4.24,4.500901,4.667229,4.3711524,4.6870365,4.299337,5.430564,4.8944364,5.0392323,4.7985835,4.13609,4.295829,4.2374144,4.1466913,4.055203,4.665748,4.2911305,4.6788917,4.3998184,4.258565,4.5646057,5.0208945,4.7664723,4.0929637,4.3708878,3.8148499,4.339651,4.854595,4.167888,4.1113205,3.95893,4.456674583188949,0.357938313674772
22,sm11-21_neut->an,3.05,4.551674,5.4727297,4.7511296,4.610264,4.951949,4.245175,4.549093,4.7115955,4.8387065,3.9404259,4.5120573,4.4848337,4.295065,4.525594,4.145299,4.740693,3.962534,4.451332,3.837709,4.8143454,3.5711012,3.5921474,4.1951876,4.325548,3.907289,3.836422,4.0372415,3.606526,3.8819213,3.5628986,4.256725382035778,0.5069285593704118
23,sm11-22_neut->an,8.93,10.017444,9.053299,8.827221,10.480496,9.939661,8.77169,9.171001,8.798418,8.0468025,9.028421,9.878254,9.569816,9.121531,8.98707,8.856087,9.156273,8.701696,9.857833,9.232754,9.364809,8.515279,9.055458,8.697801,8.968477,9.656049,9.116695,8.926346,9.37571,10.044434,9.561629,9.216401736351752,0.515023351629944
24,sm11-23_neut->an,3.16,3.2998738,3.9714642,4.1356697,3.5177774,3.0631256,3.480239,3.7834826,3.9485679,5.709797,4.6180944,3.4290547,3.4456816,3.7068658,3.7465928,3.8546672,4.1094723,5.06227,3.3369117,2.6958046,4.499151,3.8078723,5.6148205,5.169242,4.2649274,3.0543718,4.395979,5.924817,5.523777,4.161394,4.048773,4.081952815209665,0.8282315636617059
25,sm11-24_cation->neut,7.63,7.280328,7.7391057,7.3159423,7.6261606,7.5525846,7.3843565,7.4731984,6.30021,7.2846265,7.9310226,7.715767,7.131975,6.777819,7.608934,6.809303,6.6423826,7.887226,7.2415724,7.374382,6.903507,7.1349716,6.8011656,7.8151474,7.907284,6.6894636,7.620786,7.364007,7.4333663,7.4987535,7.0784035,7.321088771820068,0.4073398112147938
26,sm11-25_cation->neut,5.75,5.9102345,6.447458,5.3808846,5.9755554,5.7911243,5.6013412,6.0573626,6.0679398,5.370619,6.2354984,6.1533504,5.496354,6.0763874,6.1003075,6.002596,5.519863,5.631679,5.663472,5.265616,6.072888,5.541573,5.5775127,6.0196795,5.430478,6.2022524,4.8811326,5.503738,5.6465807,5.495449,5.2956815,5.747245434791811,0.34925848554742556
27,sm11-26_neut->an,9.24,10.543178,9.389402,8.176741,10.611776,9.039274,9.306366,9.370777,9.2843275,9.6372175,9.978796,10.261034,9.307004,9.677009,8.805539,9.326414,9.223682,9.563574,8.791929,9.994431,9.093248,8.625523,9.914061,9.846068,9.838772,9.805911,9.746264,10.033869,9.863032,10.199621,9.729898,9.555636751728674,0.540491890293825
28,sm11-27_cation->neut,4.47,3.7283053,5.021614,4.816064,4.256859,3.5283914,3.9708085,4.829266,4.6346025,4.3080254,4.6717634,3.7102313,3.8301811,4.5618587,4.590665,4.6315994,4.1852016,4.6285367,3.9705338,4.6196246,4.450115,4.044035,5.407677,3.9944396,4.2769184,3.6426945,4.972914,5.3293667,5.716268,5.0801287,5.369275,4.491869810165897,0.5539311460621954
29,sm11-28_cation->neut,5.95,5.043384,5.3269753,5.5956573,5.1178017,5.7250276,6.2912636,5.2755866,5.5269628,5.717613,5.85023,5.708381,5.4841413,6.543491,5.354268,6.402221,5.135863,5.9806724,5.932044,5.4761605,5.9332323,5.659816,6.7537727,5.4907894,4.465492,6.341028,5.5141134,6.482076,6.6478186,5.2626553,4.8928804,5.705852222442626,0.5378846917756105
30,sm11-29_neut->an,3.28,4.0125012,3.9874706,3.5769835,4.082819,3.8669043,3.3939838,3.5239701,3.9566374,3.4179492,3.1546588,3.4547138,3.590654,3.3185554,3.3806925,3.1847625,3.6889296,3.3719177,3.8302622,3.095848,3.366211,2.9895673,3.6100402,2.89649,3.590887,3.2532053,3.566208,3.393776,3.5721412,4.0905056,3.4087968,3.5131626369107156,0.3086391498770419
31,sm11-30_neut->an,7.89,8.187206,8.477217,9.281143,8.667587,7.9729943,8.397348,8.770769,9.16412,7.6259723,8.551632,8.382397,8.427867,7.8419647,8.381109,9.001352,9.434291,7.7680125,8.6733265,8.061774,7.6977615,8.088217,8.336443,7.8743615,7.846986,8.007708,8.4186735,7.9593563,8.498764,7.917877,7.941636,8.30793118138467,0.46601729715199536
32,sm11-31_neut->an,2.87,3.5941157,3.138741,3.0365186,4.236053,3.272007,2.3738003,2.53047,3.1230464,2.9055681,2.8695107,2.9097838,2.7830424,2.3148336,2.5333395,2.3072538,2.855485,2.5018544,3.0771818,2.7248912,2.5351882,2.482449,3.215611,2.9208403,3.034975,2.555078,2.7092175,3.3005385,2.9446344,2.9339037,2.851685,2.8852134556924143,0.39146725831462015
33,sm11-32_cation->neut,6.64,7.092383,8.262997,7.8889704,7.9987097,7.946357,7.1644387,8.10462,7.1780987,6.868955,7.5814185,6.5195146,7.7972255,7.858214,7.268502,7.543064,6.760836,7.9429736,7.4029193,8.0480795,7.654868,7.481762,7.9162607,7.2508535,7.708399,8.160034,7.3817315,7.6716046,7.773835,7.5820856,7.080257,7.533224756179317,0.4531437622209177
34,sm11-33_cation->neut,6.79,7.2981014,7.236023,6.9428997,6.911394,6.462044,7.486481,6.959831,7.731365,6.1401043,7.555019,7.3963456,5.65076,7.3660717,7.2970753,7.30742,6.858169,6.7586775,6.6060243,7.162878,7.4707847,6.998063,6.5443144,7.0549216,6.5363913,7.48294,6.5931244,6.6311493,6.634369,5.942052,5.7047186,6.8874036278263215,0.5262151288063779
35,sm11-34_neut->an,4.04,4.4339194,4.5764794,4.1062336,4.598402,4.240603,4.3490906,4.7562428,4.6544085,4.8996787,3.5100884,3.9704566,4.5818405,3.9234738,4.546749,4.5591016,4.662212,4.527524,4.6714115,3.9113338,4.254758,4.154997,4.2864246,4.3340898,4.020513,3.9234114,4.806919,4.5003605,4.4662914,4.8540154,4.239117,4.366456332975818,0.32550117104259724
36,sm11-35_cation->neut,6.3,6.835039,6.5738697,6.7540245,7.1493864,6.607324,6.1781387,6.816403,6.6941805,7.5558987,7.344967,6.425677,6.31099,6.4591446,6.7558684,6.312544,6.5938044,7.42542,6.351143,7.475672,6.0165434,6.412219,6.865196,7.246488,7.055696,6.4359374,6.5167985,6.404833,6.016435,7.052411,6.7339897,6.699227142333985,0.41450242766974216
37,sm6-1_neut->an,9.53,11.090725,10.425433,9.7667885,11.569242,9.926373,9.836024,10.572536,9.720953,10.073121,9.797694,10.209978,10.128697,9.219676,9.7092705,9.614772,10.399363,9.943558,10.160686,9.693337,9.085349,9.745298,10.5731325,10.074657,9.934906,9.102031,9.440413,9.996037,10.11771,9.4977865,9.406716,9.947169804726876,0.5288008764793326
38,sm6-2_cation->neut,5.03,5.6657653,5.0238976,4.4502354,5.8629026,5.285305,4.602563,5.0105295,5.5447617,5.2551394,5.3690023,5.4167175,5.08856,4.635697,5.1526327,4.712679,5.991477,5.339259,4.4513907,4.930134,4.65425,4.6309195,5.8407145,5.731336,4.670779,4.7986097,4.243407,6.028495,6.1162386,4.781594,5.064722,5.141281090397989,0.5082795461576329
39,sm6-3_neut->an,7.02,6.6301255,7.4279666,7.8878393,7.288323,6.2024446,7.5126057,7.136032,7.8706975,7.4289184,7.839303,7.067314,6.5833445,6.466921,8.085415,7.544142,8.102106,7.4580736,6.7478094,7.354248,6.8374233,7.5439405,5.865948,6.962036,6.829457,6.093665,6.964511,6.8430843,6.5283937,7.4626236,6.8057137,7.109368555622716,0.5649811470801618
40,sm6-4_cation->neut,6.02,6.2243094,6.2182336,5.769105,6.816537,6.3113203,5.5735826,5.976781,6.7053146,6.3097143,6.906053,6.6283317,6.325143,5.8137717,6.8832173,5.6093054,6.6197424,6.153476,5.5544987,6.5381784,6.120493,5.556057,6.4891253,6.700362,6.2655597,5.7394733,5.223899,5.9403296,6.357932,5.81336,6.3606257,6.178188140007757,0.43515003101061517
41,sm6-5_cation->neut,4.59,3.0813184,4.177139,4.3365726,3.6982324,3.8697226,3.7336586,2.9310398,3.871317,3.559279,3.95184,3.1465588,4.1176167,3.129315,3.7852387,2.9570808,4.177152,3.5543315,4.152314,3.4626756,3.2287266,3.5302813,4.0494576,3.5986829,3.5863872,3.2221916,4.631837,4.3352513,3.9714055,4.8816614,4.933936,3.8145877650476274,0.535779656030931
42,sm6-6_cation->neut,3.03,2.28844,1.9199572,3.2078788,2.3571267,2.0355043,2.6865308,2.2507548,2.431263,1.6189466,2.4517195,1.622859,2.1631923,2.148591,2.0016613,2.893622,2.389714,1.59585,1.8806515,2.3256245,2.2936413,2.1872318,2.0966578,1.4796357,2.5558376,2.1821868,3.4121299,2.079556,2.8333874,3.248936,3.032495,2.3452123374323692,0.49522919178749364
43,sm6-6_neut->an,11.74,11.684962,10.950815,13.203077,12.826904,11.46422,10.813914,10.804407,13.008879,12.785007,12.58683,11.88048,10.838591,11.292683,10.745302,10.063074,13.2276945,12.374535,11.281992,12.45846,11.046919,10.83787,10.840056,12.785998,12.547812,10.801047,10.309732,11.086597,10.804712,10.189371,10.494705,11.54118221775178,0.9531158605795884
44,sm6-7_cation->neut,6.08,6.4203296,5.9779315,5.66248,6.641811,5.937681,5.932457,5.754353,6.3131504,6.3080845,6.367445,6.467608,5.7166877,6.2919016,5.9673624,5.745553,6.5943036,6.3856463,5.632248,6.2871084,6.051332,5.945942,6.025398,6.2056413,6.0651274,5.9116244,6.0243454,6.0653505,6.648099,6.1333766,6.67041,6.136477042167417,0.2924308969222263
45,sm6-8_neut->an,4.22,4.813102,3.4916182,3.7564964,5.1114764,3.943624,3.8471193,2.9791117,3.8025417,3.9074087,4.094419,4.479374,3.5681548,3.9110222,3.4897823,3.1945505,3.73348,4.5880785,4.2384295,4.3276024,3.7193794,3.9173813,3.7196422,4.1211653,4.563338,2.9727087,3.700324,3.853559,3.8162599,4.0501504,4.1978774,3.9396508653702274,0.472724842331047
46,sm6-9_cation->neut,5.37,5.7280445,5.217494,5.417268,6.233533,5.767973,5.3966293,5.282771,5.420461,5.07925,5.593875,5.7061806,6.059577,5.051638,5.4100285,5.6276164,5.880135,5.280637,6.096608,5.4201527,5.285968,4.925374,4.9015694,5.2512517,5.4964867,5.034362,4.7166605,5.6341133,5.4777603,5.388054,5.4402103,5.438441341769311,0.3452457656981594
47,sm6-10_neut->an,9.02,8.94046,8.5542145,9.1437645,8.942677,9.251059,9.685707,9.029011,9.530291,8.352282,9.589099,8.972733,9.212723,8.640033,9.451078,9.547351,9.376957,8.614967,9.309504,8.903429,8.096792,9.509378,9.667618,8.583778,9.109755,7.374009,8.490283,8.963161,8.931817,8.244186,8.196852,8.943063475085843,0.5271437542461925
48,sm6-11_cation->neut,3.89,3.8550832,3.5401354,4.180835,4.5836387,3.9905295,3.380663,3.35119,3.8591523,4.1934934,4.171858,3.9616108,3.9759517,4.06061,3.4353716,3.8229823,4.631326,4.2259417,3.3450613,4.1766415,3.6607416,3.850553,3.7950284,4.531624,4.152446,4.1279526,4.0171,4.2742524,4.1240954,4.447709,4.296757,3.9971075562507874,0.3434087744265815
49,sm6-12_cation->neut,5.28,5.646723,5.168131,5.5149717,5.827998,5.8344173,5.276178,5.207282,5.1149673,5.6429095,5.2923026,5.8987327,4.9892273,4.7311773,5.3678327,5.1639543,5.3841314,5.8025618,5.0928555,5.0849485,5.3055096,4.6772566,5.101422,6.0891685,5.2690306,4.758134,4.708291,5.123102,5.243049,4.8934755,4.668644,5.263173696456417,0.3729268289702067
50,sm6-13_cation->neut,5.77,5.8995376,5.988122,5.763385,6.3713865,5.5788326,6.0528307,5.6768956,5.3991265,5.4544153,6.439788,5.918358,5.2978673,5.0326757,5.618428,6.2996798,5.743386,5.1468954,5.9691896,6.488474,5.358289,5.9339023,4.906702,5.6034327,6.1478744,5.250987,5.310992,5.3770065,5.7142606,5.4413753,6.137278,5.712624919645247,0.40816739403354907
51,sm6-14_2cation->cation,2.58,3.2317293,2.8992236,2.9796476,3.0173078,3.2670746,2.7567506,3.061371,2.9987729,3.2736044,2.8610055,2.794233,2.9883623,3.2758636,3.2451694,2.9255033,3.19764,3.8109279,2.5481105,2.0581162,3.4690528,2.3489366,2.848853,3.2530448,2.9187717,3.0440738,2.3266315,2.75954,2.1840887,3.0876226,2.6367154,2.924120797803325,0.37326363397202716
52,sm6-14_cation->neut,5.3,6.087769,5.469804,5.718364,6.023655,5.6881056,6.063841,6.0013924,5.8261924,5.76264,6.394804,6.051544,5.466868,5.4662886,5.562468,6.2148714,5.255286,5.9346285,5.2937574,4.7812567,5.9574165,4.922227,5.931789,6.1283584,5.7279325,5.7664413,5.6189795,5.581687,5.802055,5.8941674,5.110526,5.703390807490195,0.37253785014134677
53,sm6-15_cation->neut,4.7,5.741352,4.8196764,5.1084423,5.4173098,4.5819798,4.67809,5.0715475,5.176507,5.0349617,5.976685,5.5964847,4.466549,4.39084,5.1503067,5.2341924,4.943693,5.2079773,4.34165,4.871205,4.626519,4.0138354,4.744728,5.531571,5.0118318,4.5963793,4.4084415,5.0530405,4.869025,4.6952047,4.2754416,4.9140473550365815,0.44339887017321905
54,sm6-15_neut->an,8.94,9.958882,9.726818,9.009926,10.717878,9.293391,9.270471,9.502173,9.291606,9.346363,8.336803,9.47909,9.247259,8.5831,9.257803,9.323404,9.481819,9.020786,9.726443,8.182908,8.462957,9.066372,9.414452,9.273289,8.290655,8.667269,8.569912,9.223204,9.524986,8.395502,8.605932,9.135208235709898,0.5429840033356275
55,sm6-16_cation->neut,5.37,5.4021854,4.5529547,5.2726936,5.5116825,5.389469,4.970271,4.6781344,5.1292844,5.369697,5.644197,5.281381,5.0017247,5.3055496,4.857378,4.8159423,5.886955,5.6568146,4.773201,4.925862,5.505142,5.058017,4.389811,5.4486036,4.967575,5.0090294,4.9112034,4.357315,4.318175,4.872381,4.858911,5.080372291072723,0.39003788350783175
56,sm6-16_neut->an,10.65,12.305405,11.960181,11.438889,11.571585,11.938313,11.873664,11.762676,12.11348,11.6354475,12.402369,11.912996,11.890966,11.610144,11.325488,11.725223,11.860065,11.599914,11.841833,12.432967,10.560642,11.505579,11.283534,11.387939,12.254103,10.991818,11.741828,11.065876,11.330496,13.381062,11.843051,11.716049421987226,0.5387760550037957
57,sm6-17_cation->neut,3.16,4.879947,2.86476,3.7841315,4.886655,3.7016666,3.2855995,3.42095,4.207132,4.181172,3.9467359,4.1986136,3.8431592,4.154243,3.320236,3.6872573,4.395441,4.1412697,3.4431627,3.2755358,4.126093,3.7280118,3.133629,4.5003633,3.515499,3.402661,3.556908,3.369934,3.6070752,3.665766,4.0340266,3.7876656335399996,0.48920421196155
58,sm6-18_cation->neut,2.15,3.2554288,2.4342756,2.6070735,3.0509422,2.8339262,2.456194,2.914517,2.7090302,2.718082,2.4299774,2.9708915,2.0636663,2.6031055,2.6063044,3.2710419,2.1999707,2.6826122,1.7968149,3.1895268,1.9233787,2.9150772,2.63334,2.8270216,2.639658,2.1410048,2.711067,2.3728318,2.4249015,2.6739106,2.5539238,2.6051450283296647,0.3614676323616658
59,sm6-18_neut->an,9.58,7.682432,9.305397,10.853511,9.101635,9.602706,8.589933,9.054178,10.742386,9.515354,9.070654,8.767977,8.816991,8.766268,9.747157,7.9667134,11.259699,9.231007,8.636501,9.229279,9.412946,8.507665,8.975065,10.16074,9.442043,9.043891,9.966203,9.001131,9.283109,8.870064,8.807667,9.257751636505127,0.7520027611815107
60,sm6-18_an->2an,11.02,11.301518,10.767433,11.847073,10.774517,10.488447,11.367242,9.554535,11.769447,11.288195,11.191352,10.310222,10.692186,10.342274,9.9517,10.52882,12.443491,10.704582,10.332468,10.487875,10.746802,10.34147,11.976764,11.70216,10.878937,10.557089,11.545092,11.821428,11.801489,10.836737,11.367074,10.991561874881867,0.6536116968156722
61,sm6-19me_neut->an,9.56,8.977554,9.118911,9.2290745,9.285364,9.379848,8.906969,8.773546,9.338662,9.160664,9.958939,9.173855,8.887981,8.775857,8.952688,8.605116,9.243378,9.314234,9.399037,9.154158,9.173328,8.203679,7.6284704,9.588451,9.887462,8.756107,9.76387,8.14725,8.022083,10.100448,9.459784,9.09441186720325,0.552713882597849
62,sm6-20_neut->an,5.7,6.2011766,5.728832,6.6645017,6.969145,5.744331,6.3114414,6.2699776,6.1946044,6.1879764,6.1554227,5.548417,5.9820614,5.567418,5.5445576,4.9844913,6.4605145,6.526477,5.9697104,6.0666847,6.1385508,5.3661747,5.835647,7.021493,6.600287,5.822543,7.3831463,6.736307,6.592168,5.7916365,6.2295847,6.13855736332555,0.515320478330586
63,sm6-21_cation->neut,4.1,4.114517,4.586273,3.874,4.2446213,3.990443,3.6523197,5.18756,4.028622,4.193555,4.3418303,3.904389,3.9942188,4.322882,5.8270116,3.6182237,3.7745624,4.510295,3.7471309,4.11491,3.7405596,3.7634132,4.5998373,4.306468,3.8459773,3.3862474,2.6654387,4.136203,4.383958,3.503449,3.7385004,4.070884407720258,0.544713822178557
64,sm6-22_cation->neut,2.4,3.4626465,2.893279,2.2064943,3.121849,3.0110264,4.780412,2.729432,1.9373941,3.149659,3.4313564,2.934249,1.5876527,2.9017022,3.1766582,5.049809,2.4430652,3.831302,2.6947215,3.1112235,2.341198,4.342344,2.9888942,4.264823,3.8929462,1.9402971,2.725458,2.9424195,3.2019963,3.1897504,2.819923,3.0807735966097924,0.7808383218117674
65,sm6-22_neut->an,7.43,7.0423517,7.0519257,7.4654655,7.1582284,8.144238,7.9510326,7.509661,7.5581617,7.5661216,8.794392,7.2382817,7.5005035,7.957793,7.550548,7.9360437,7.566219,8.208712,7.6076055,9.458819,7.1894865,7.8140917,8.397258,8.44648,8.867118,7.2203927,7.604617,8.130012,7.942857,8.058504,7.8374815,7.813045214991416,0.5534612339716191
