compn,pKa,correct name,reference,smiles,smarts,inchi,inchiKey
11cyclopentanediacetic_neut->an,3.8,"1,1-cyclopentanediacetic acid",Lange's handbook of chemistry,['[H]OC(=O)C([H])([H])C1(C([H])([H])C(=O)O[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]'],['[#8](-[#6](=[#8])-[#6@](-[#6@]1(-[#6@](-[#6@](-[#6@@](-[#6@@]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6@@](-[#6](-[#8]-[H])=[#8])(-[H])-[H])(-[H])-[H])-[H]'],"['InChI=1S/C9H14O4/c10-7(11)5-9(6-8(12)13)3-1-2-4-9/h1-6H2,(H,10,11)(H,12,13)']",['FWPVKDFOUXHOKQ-UHFFFAOYSA-N']
11cyclopentanediacetic_an->2an,6.77,"1,1-cyclopentanediacetic acid",Lange's handbook of chemistry,['[H]OC(=O)C([H])([H])C1(C([H])([H])C(=O)O[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]'],['[#8](-[#6](=[#8])-[#6@](-[#6@]1(-[#6@](-[#6@](-[#6@@](-[#6@@]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6@@](-[#6](-[#8]-[H])=[#8])(-[H])-[H])(-[H])-[H])-[H]'],"['InChI=1S/C9H14O4/c10-7(11)5-9(6-8(12)13)3-1-2-4-9/h1-6H2,(H,10,11)(H,12,13)']",['FWPVKDFOUXHOKQ-UHFFFAOYSA-N']
12dihydro1methyl2oxopyrazine_cation->neut,-0.04,1-methyl-2(1h)-pyrazinone,10.1002/jcc.23068,['[H]c1nc([H])c(=O)n(C([H])([H])[H])c1[H]'],['[#6]1(:[#6](:[#7](:[#6](:[#6](-[H]):[#7]:1)-[H])-[#6@@](-[H])(-[H])-[H])=[#8])-[H]'],"['InChI=1S/C5H6N2O/c1-7-3-2-6-4-5(7)8/h2-4H,1H3']",['AXDPIARTQUKALL-UHFFFAOYSA-N']
12dimethylindole_cation->neut,0.33,"1,2-dimethylindole",10.1021/jo00019a034,['[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])[H])n2C([H])([H])[H]'],['[#6]12:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H]):[#7](:[#6](:[#6]:2-[H])-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H]'],"['InChI=1S/C10H11N/c1-8-7-9-5-3-4-6-10(9)11(8)2/h3-7H,1-2H3']",['BJMUOUXGBFNLSN-UHFFFAOYSA-N']
12dimethylurazole_neut->an,7.5,"1,2-dimethylurazole",10.1021/jo00019a034,"['[H]Oc1nc(=O)n(C([H])([H])[H])n1C([H])([H])[H]', '[H]n1c(=O)n(C([H])([H])[H])n(C([H])([H])[H])c1=O']","['[#6]1(:[#7]:[#6](:[#7](:[#7]:1-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H])-[#8]-[H])=[#8]', '[#6]1(:[#7](:[#6](:[#7](:[#7]:1-[#6@@](-[H])(-[H])-[H])-[#6@@](-[H])(-[H])-[H])=[#8])-[H])=[#8]']","['InChI=1S/C4H7N3O2/c1-6-3(8)5-4(9)7(6)2/h1-2H3,(H,5,8,9)']",['YBYOSHLIDYZJAD-UHFFFAOYSA-N']
12ethanediamine_2cation->cation,6.85,"1,2-ethanediamine",Lange's handbook of chemistry,['[H]N([H])C([H])([H])C([H])([H])N([H])[H]'],['[H]-[#6@@](-[H])(-[#6@@](-[H])(-[H])-[#7](-[H])-[H])-[#7](-[H])-[H]'],['InChI=1S/C2H8N2/c3-1-2-4/h1-4H2'],['PIICEJLVQHRZGT-UHFFFAOYSA-N']
12ethanediamine_cation->neut,9.92,"1,2-ethanediamine",Lange's handbook of chemistry,['[H]N([H])C([H])([H])C([H])([H])N([H])[H]'],['[H]-[#6@@](-[H])(-[#6@@](-[H])(-[H])-[#7](-[H])-[H])-[#7](-[H])-[H]'],['InChI=1S/C2H8N2/c3-1-2-4/h1-4H2'],['PIICEJLVQHRZGT-UHFFFAOYSA-N']
12phenylenediamine_2cation->cation,0.8,"1,2 phenylenediamine",Lange's handbook of chemistry,['[H]c1c([H])c([H])c(N([H])[H])c(N([H])[H])c1[H]'],['[#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[#7](-[H])-[H])-[#7](-[H])-[H])-[H]'],"['InChI=1S/C6H8N2/c7-5-3-1-2-4-6(5)8/h1-4H,7-8H2']",['GEYOCULIXLDCMW-UHFFFAOYSA-N']
12phenylenediamine_cation->neut,4.47,"1,2 phenylenediamine",Lange's handbook of chemistry,['[H]c1c([H])c([H])c(N([H])[H])c(N([H])[H])c1[H]'],['[#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[#7](-[H])-[H])-[#7](-[H])-[H])-[H]'],"['InChI=1S/C6H8N2/c7-5-3-1-2-4-6(5)8/h1-4H,7-8H2']",['GEYOCULIXLDCMW-UHFFFAOYSA-N']
13cyclohexanedione_neut->an,5.26,"1,3 cyclohexanedione",Lange's handbook of chemistry,"['[H]OC1=C([H])C(=O)C([H])([H])C([H])([H])C1([H])[H]', '[H]C1([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C1=O']","['[#8](-[#6]1-[#6@@](-[#6@@](-[#6@](-[#6](=[#8])-[#6]=1-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H]', '[#8]=[#6]1-[#6@@](-[#6@@](-[#6@](-[#6](=[#8])-[#6@]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]']","['InChI=1S/C6H8O2/c7-5-2-1-3-6(8)4-5/h4,7H,1-3H2', 'InChI=1S/C6H8O2/c7-5-2-1-3-6(8)4-5/h1-4H2']","['FXYSLMWUJOJBBA-UHFFFAOYSA-N', 'HJSLFCCWAKVHIW-UHFFFAOYSA-N']"
135benzenetricarboxylic_neut->an,3.12,"1,3,5-benzenetricarboxylic acid",https://doi.org/10.1016/B978-1-4832-3166-2.50018-4,['[H]OC(=O)c1c([H])c(C(=O)O[H])c([H])c(C(=O)O[H])c1[H]'],['[#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[#6](=[#8])-[#8]-[H])-[H])-[#6](=[#8])-[#8]-[H])-[H])-[#6](=[#8])-[#8]-[H]'],"['InChI=1S/C9H6O6/c10-7(11)4-1-5(8(12)13)3-6(2-4)9(14)15/h1-3H,(H,10,11)(H,12,13)(H,14,15)']",['QMKYBPDZANOJGF-UHFFFAOYSA-N']
135benzenetricarboxylic_an->2an,3.89,"1,3,5-benzenetricarboxylic acid",https://doi.org/10.1016/B978-1-4832-3166-2.50018-4,['[H]OC(=O)c1c([H])c(C(=O)O[H])c([H])c(C(=O)O[H])c1[H]'],['[#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[#6](=[#8])-[#8]-[H])-[H])-[#6](=[#8])-[#8]-[H])-[H])-[#6](=[#8])-[#8]-[H]'],"['InChI=1S/C9H6O6/c10-7(11)4-1-5(8(12)13)3-6(2-4)9(14)15/h1-3H,(H,10,11)(H,12,13)(H,14,15)']",['QMKYBPDZANOJGF-UHFFFAOYSA-N']
135benzenetricarboxylic_2an->3an,4.7,"1,3,5-benzenetricarboxylic acid",https://doi.org/10.1016/B978-1-4832-3166-2.50018-4,['[H]OC(=O)c1c([H])c(C(=O)O[H])c([H])c(C(=O)O[H])c1[H]'],['[#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[#6](=[#8])-[#8]-[H])-[H])-[#6](=[#8])-[#8]-[H])-[H])-[#6](=[#8])-[#8]-[H]'],"['InChI=1S/C9H6O6/c10-7(11)4-1-5(8(12)13)3-6(2-4)9(14)15/h1-3H,(H,10,11)(H,12,13)(H,14,15)']",['QMKYBPDZANOJGF-UHFFFAOYSA-N']
13phenylenediamine_2cation->cation,2.54,"1,3 phenylenediamine",doi.org/10.1039/J29660000533,['[H]c1c([H])c(N([H])[H])c([H])c(N([H])[H])c1[H]'],['[#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[#7](-[H])-[H])-[H])-[#7](-[H])-[H]'],"['InChI=1S/C6H8N2/c7-5-2-1-3-6(8)4-5/h1-4H,7-8H2']",['WZCQRUWWHSTZEM-UHFFFAOYSA-N']
13phenylenediamine_cation->neut,4.88,"1,3 phenylenediamine",Lange's handbook of chemistry,['[H]c1c([H])c(N([H])[H])c([H])c(N([H])[H])c1[H]'],['[#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[#7](-[H])-[H])-[H])-[#7](-[H])-[H]'],"['InChI=1S/C6H8N2/c7-5-2-1-3-6(8)4-5/h1-4H,7-8H2']",['WZCQRUWWHSTZEM-UHFFFAOYSA-N']
13propanediamine_2cation->cation,8.49,"1,3-propanediamine",Lange's handbook of chemistry,['[H]N([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]'],['[#7](-[#6@@](-[#6@@](-[#6@](-[#7](-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]'],['InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2'],['XFNJVJPLKCPIBV-UHFFFAOYSA-N']
13propanediamine_cation->neut,10.47,"1,3-propanediamine",Lange's handbook of chemistry,['[H]N([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]'],['[#7](-[#6@@](-[#6@@](-[#6@](-[#7](-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]'],['InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2'],['XFNJVJPLKCPIBV-UHFFFAOYSA-N']
14butanediamine_2cation->cation,9.19,"1,4-butanediamine","C. R. Bertsch, W. C. Fernelius, and B. P. Block. J. Phys. Chem. 62, 444 (1958).",['[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]'],['[#7](-[#6@](-[#6@](-[#6@@](-[#6@](-[#7](-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]'],['InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2'],['KIDHWZJUCRJVML-UHFFFAOYSA-N']
14butanediamine_cation->neut,10.65,"1,4-butanediamine","C. R. Bertsch, W. C. Fernelius, and B. P. Block. J. Phys. Chem. 62, 444 (1958).",['[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]'],['[#7](-[#6@](-[#6@](-[#6@@](-[#6@](-[#7](-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]'],['InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2'],['KIDHWZJUCRJVML-UHFFFAOYSA-N']
14dimethylurazole_neut->an,5.3,"1,4-dimethylurazole",10.1021/jo00019a034,"['[H]n1c(=O)n(C([H])([H])[H])c(=O)n1C([H])([H])[H]', '[H]/[O+]=c1\\n(C([H])([H])[H])nc([O-])n1C([H])([H])[H]', '[H]Oc1nn(C([H])([H])[H])c(=O)n1C([H])([H])[H]']","['[#6]1(:[#7](:[#6](:[#7](:[#7]:1-[H])-[#6@@](-[H])(-[H])-[H])=[#8])-[#6@@](-[H])(-[H])-[H])=[#8]', '[#6]1(:[#7](:[#6](:[#7](:[#7]:1)-[#6@@](-[H])(-[H])-[H])=[#8+]/[H])-[#6@@](-[H])(-[H])-[H])-[#8-]', '[#6]1(:[#7](:[#6](:[#7](:[#7]:1)-[#6@@](-[H])(-[H])-[H])=[#8])-[#6@@](-[H])(-[H])-[H])-[#8]-[H]']","['InChI=1S/C4H7N3O2/c1-6-3(8)5-7(2)4(6)9/h1-2H3,(H,5,8)']",['NWNNZPUYFSACQS-UHFFFAOYSA-N']
14phenylenediamine_2cation->cation,2.97,"1,4-phenylenediamine",doi.org/10.1039/J29660000533,['[H]c1c([H])c(N([H])[H])c([H])c([H])c1N([H])[H]'],['[#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#7](-[H])-[H])-[H])-[H])-[#7](-[H])-[H])-[H])-[H]'],"['InChI=1S/C6H8N2/c7-5-1-2-6(8)4-3-5/h1-4H,7-8H2']",['CBCKQZAAMUWICA-UHFFFAOYSA-N']
14phenylenediamine_cation->neut,5.94,"1,4-phenylenediamine",https://doi.org/10.1016/0027-5107(91)90107-Y,['[H]c1c([H])c(N([H])[H])c([H])c([H])c1N([H])[H]'],['[#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#7](-[H])-[H])-[H])-[H])-[#7](-[H])-[H])-[H])-[H]'],"['InChI=1S/C6H8N2/c7-5-1-2-6(8)4-3-5/h1-4H,7-8H2']",['CBCKQZAAMUWICA-UHFFFAOYSA-N']
17phenanthroline_cation->neut,4.3,"1,7-phenanthroline",Lange's handbook of chemistry,['[H]c1nc2c(c([H])c1[H])c([H])c([H])c1nc([H])c([H])c([H])c12'],['[#7]1:[#6]2:[#6]3:[#6](:[#7]:[#6](:[#6](:[#6]:3-[H])-[H])-[H]):[#6](:[#6](:[#6]:2:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H]'],['InChI=1S/C12H8N2/c1-3-9-5-6-11-10(4-2-7-13-11)12(9)14-8-1/h1-8H'],['OZKOMUDCMCEDTM-UHFFFAOYSA-N']
1amino2naphtalenesulfonic_neut->an,1.71,1-amino-2-naphthalenesulfonic acid,Lange's handbook of chemistry,['[H]c1c([H])c([H])c2c([N+]([H])([H])[H])c(S(=O)(=O)[O-])c([H])c([H])c2c1[H]'],['[#6]12:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#7@@](-[H])(-[H])-[H])-[#16@@](=[#8])(=[#8])-[#8-])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H]'],"['InChI=1S/C10H9NO3S/c11-10-8-4-2-1-3-7(8)5-6-9(10)15(12,13)14/h1-6H,11H2,(H,12,13,14)']",['ONZWNZGVZFLMNZ-UHFFFAOYSA-N']
1amino3naphtalenesulfonic_neut->an,3.2,4-amino-2-naphthalenesulfonic acid,Lange's handbook of chemistry,['[H]c1c([H])c([H])c2c([N+]([H])([H])[H])c([H])c(S(=O)(=O)[O-])c([H])c2c1[H]'],['[#6]12:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#7@@](-[H])(-[H])-[H])-[H])-[#16@@](=[#8])(=[#8])-[#8-])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H]'],"['InChI=1S/C10H9NO3S/c11-10-6-8(15(12,13)14)5-7-3-1-2-4-9(7)10/h1-6H,11H2,(H,12,13,14)']",['HXXMONHYPKNZHE-UHFFFAOYSA-N']
1amino4naphtalenesulfonic_neut->an,2.81,1-amino-4-naphthalenesulfonic acid,Lange's handbook of chemistry,['[H]c1c([H])c([H])c2c(S(=O)(=O)[O-])c([H])c([H])c([N+]([H])([H])[H])c2c1[H]'],['[#6]12:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#7@@](-[H])(-[H])-[H])-[H])-[H])-[#16@@](=[#8])(=[#8])-[#8-]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H]'],"['InChI=1S/C10H9NO3S/c11-9-5-6-10(15(12,13)14)8-4-2-1-3-7(8)9/h1-6H,11H2,(H,12,13,14)']",['NRZRRZAVMCAKEP-UHFFFAOYSA-N']
1amino5naphtalenesulfonic_neut->an,3.69,1-amino-5-naphthalenesulfonic acid,Lange's handbook of chemistry,['[H]c1c([H])c(S(=O)(=O)[O-])c2c([H])c([H])c([H])c([N+]([H])([H])[H])c2c1[H]'],['[#6]12:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#7@@](-[H])(-[H])-[H])-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[#16@@](=[#8])(=[#8])-[#8-]'],"['InChI=1S/C10H9NO3S/c11-9-5-1-4-8-7(9)3-2-6-10(8)15(12,13)14/h1-6H,11H2,(H,12,13,14)']",['DQNAQOYOSRJXFZ-UHFFFAOYSA-N']
1amino6naphtalenesulfonic_neut->an,3.8,1-amino-6-naphthalenesulfonic acid,Lange's handbook of chemistry,['[H]c1c([H])c([N+]([H])([H])[H])c2c([H])c([H])c(S(=O)(=O)[O-])c([H])c2c1[H]'],['[#6]12:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#7@@](-[H])(-[H])-[H])-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[#16@@](=[#8])(=[#8])-[#8-])-[H]'],"['InChI=1S/C10H9NO3S/c11-10-3-1-2-7-6-8(15(12,13)14)4-5-9(7)10/h1-6H,11H2,(H,12,13,14)']",['UWPJYQYRSWYIGZ-UHFFFAOYSA-N']
1amino7naphtalenesulfonic_neut->an,3.66,1-amino-7-naphthalenesulfonic acid,Lange's handbook of chemistry,['[H]c1c([H])c([N+]([H])([H])[H])c2c([H])c(S(=O)(=O)[O-])c([H])c([H])c2c1[H]'],['[#6]12:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#7@@](-[H])(-[H])-[H])-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[#16@@](=[#8])(=[#8])-[#8-])-[H])-[H]'],"['InChI=1S/C10H9NO3S/c11-10-3-1-2-7-4-5-8(6-9(7)10)15(12,13)14/h1-6H,11H2,(H,12,13,14)']",['QEZZCWMQXHXAFG-UHFFFAOYSA-N']
1amino8naphtalenesulfonic_neut->an,5.03,1-amino-8-naphthalenesulfonic acid,Lange's handbook of chemistry,['[H]c1c([H])c([N+]([H])([H])[H])c2c(S(=O)(=O)[O-])c([H])c([H])c([H])c2c1[H]'],['[#6]12:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#7@@](-[H])(-[H])-[H])-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[#16@@](=[#8])(=[#8])-[#8-])-[H])-[H])-[H]'],"['InChI=1S/C10H9NO3S/c11-8-5-1-3-7-4-2-6-9(10(7)8)15(12,13)14/h1-6H,11H2,(H,12,13,14)']",['CYJJLCDCWVZEDZ-UHFFFAOYSA-N']
1aminoacridine_cation->neut,6.02,1-aminoacridine,10.1002/jcc.23068,['[H]c1c([H])c([H])c2c([H])c3c(N([H])[H])c([H])c([H])c([H])c3nc2c1[H]'],['[#6]1(:[#6](:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6]1:[#6](:[#6](-[H]):[#6](:[#6](:[#6]:1-[#7](-[H])-[H])-[H])-[H]):[#7]:2)-[H])-[H])-[H]'],"['InChI=1S/C13H10N2/c14-11-5-3-7-13-10(11)8-9-4-1-2-6-12(9)15-13/h1-8H,14H2']",['LOMMDWBTANPFEJ-UHFFFAOYSA-N']
1aminocyclopropane_cation->neut,9.1,aminocyclopropane,Lange's handbook of chemistry,['[H]N([H])C1([H])C([H])([H])C1([H])[H]'],['[#7](-[#6@]1(-[#6@](-[#6@@]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H]'],"['InChI=1S/C3H7N/c4-3-1-2-3/h3H,1-2,4H2']",['HTJDQJBWANPRPF-UHFFFAOYSA-N']
1cyanomethylpiperidine_cation->neut,4.55,1-cyanomethylpiperidine,Lange's handbook of chemistry,['[H]C([H])(C#N)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]'],['[#7]1(-[#6@](-[#6@](-[#6@@](-[#6@@](-[#6@@]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6@](-[#6]#[#7])(-[H])-[H]'],"['InChI=1S/C7H12N2/c8-4-7-9-5-2-1-3-6-9/h1-3,5-7H2']",['CLVBVRODHJFTGF-UHFFFAOYSA-N']
1hydroxyacridine_cation->neut,5.72,1-acridinol,"Zeitschrift fuer Elektrochemie und Angewandte Physikalische Chemie (1958), 62, 94-105","['[H]Oc1c([H])c([H])c([H])c2nc3c([H])c([H])c([H])c([H])c3c([H])c12', '[H]c1c([H])c2n([H])c3c([H])c([H])c([H])c([H])c3c([H])c-2c(=O)c1[H]']","['[#7]1:[#6]2:[#6](:[#6](:[#6]3:[#6]:1:[#6](:[#6](:[#6](:[#6]:3-[H])-[H])-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[#8]-[H]', '[#7]1(:[#6]2-[#6](:[#6](:[#6]3:[#6]:1:[#6](:[#6](:[#6](:[#6]:3-[H])-[H])-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])=[#8])-[H]']","['InChI=1S/C13H9NO/c15-13-7-3-6-12-10(13)8-9-4-1-2-5-11(9)14-12/h1-8,15H', 'InChI=1S/C13H9NO/c15-13-7-3-6-12-10(13)8-9-4-1-2-5-11(9)14-12/h1-8,14H']","['XIVOUNPJCNJBPR-UHFFFAOYSA-N', 'DSTNUFDTTMKLQR-UHFFFAOYSA-N']"
1hydroxyacridine_neut->an,8.51,1-acridinol,"Zeitschrift fuer Elektrochemie und Angewandte Physikalische Chemie (1958), 62, 94-105","['[H]Oc1c([H])c([H])c([H])c2nc3c([H])c([H])c([H])c([H])c3c([H])c12', '[H]c1c([H])c2n([H])c3c([H])c([H])c([H])c([H])c3c([H])c-2c(=O)c1[H]']","['[#7]1:[#6]2:[#6](:[#6](:[#6]3:[#6]:1:[#6](:[#6](:[#6](:[#6]:3-[H])-[H])-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[#8]-[H]', '[#7]1(:[#6]2-[#6](:[#6](:[#6]3:[#6]:1:[#6](:[#6](:[#6](:[#6]:3-[H])-[H])-[H])-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])=[#8])-[H]']","['InChI=1S/C13H9NO/c15-13-7-3-6-12-10(13)8-9-4-1-2-5-11(9)14-12/h1-8,15H', 'InChI=1S/C13H9NO/c15-13-7-3-6-12-10(13)8-9-4-1-2-5-11(9)14-12/h1-8,14H']","['XIVOUNPJCNJBPR-UHFFFAOYSA-N', 'DSTNUFDTTMKLQR-UHFFFAOYSA-N']"
